Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Zn Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		DI02_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	49	71.90591097	0		12.65441328		0.04226091	9.909179807		0.058035576	0	0.154341676	1.693818718	1.241951529	2.340091392	0
2		DI02_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	13	65.26498199	0		11.09653711		16.30204916	5.823216215		0.13777694	0.147355208	0.165466976	0.187527773	0.227617193	0.284560584	0.362908118
4		DI02_02	PM10	9.945300275	3.55847574	14.96280397	1.791423258	271	64.7880435	0		0		8.63865912	1.132587343		0	2.321380563	10.35269946	12.76663244	0	0	0
10		DI02_02	PM2.5	4.246307982	2.325202624	7.574225677	1.075115512	150	45.33566833	24.61331189		9.658680856		10.13600528	0.261801481		0	0	0	0	0	9.994532168	0
11		DI02_02	PM2.5	1.899664097	1.555225852	5.595808581	1.311713598	58	77.42462754	0		0		0	9.247667342		0.124810496	0	2.039536647	6.769938767	4.393418506	0	0
12		DI02_02	PM10	5.587247345	2.667190332	8.656257917	1.067216704	176	47.84708023	0		16.65740311		0.557538867	5.149004236		10.88168472	0	0	1.187169924	0.349973468	0	17.37015098
14		DI02_02	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	31	26.38301253	55.68087697		4.351804778		0	2.009962499		0	0	6.33168444	0.116422726	0	5.126238987	0
13		DI02_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	20	28.08436453	46.30666971		4.450708255		0.051039725	0.02053815		12.03028262	0	0	6.454512477	2.601889893	0	0
17		DI02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	57.84076452	14.09740597		5.816216767		0.030422502	0.051997451		0	0	0	0	0	22.16318846	0
18		DI02_02	PM10	15.75603751	4.478974216	15.4109964	1.199511919	571	48.32191467	2.711995877		1.715073921	35.91771126	0.041808625	2.89982371		0	2.682994306	0	0	0	0.353732356	5.354949087
19		DI02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	67.88068414	0		0		0	0.804042816		2.822086215	3.027448803	3.393597901	3.861841187	4.715465009	5.922465771	7.572367042
23		DI02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	0	80.1609695		1.739718392		0.258999853	0.444304291		1.567472145	1.681408472	1.887367107	2.146921307	2.620172687	3.288361803	4.204294458
22		DI02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	50.27742386	0		21.41643018		0.024397385	0.040639788		13.30730766	0	0	0	2.22522188	12.70857751	0
26		DI02_02	PM2.5	4.581542823	2.415243569	9.552642774	1.58498611	130	37.47346103	14.70760852		0		9.133305401	0		0	0	0	0	11.89614162	7.393472642	19.39601749
25		DI02_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	45	74.5665729	0		1.650921442		0.317138317	0		3.918165714	5.520410091	0	0	0	14.02679086	0
28		DI02_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	49	73.44811559	0		5.580136925		0.629925448	0		0	0	0	20.34181803	0	0	0
30		DI02_02	PM2.5	3.799328195	2.199421492	7.126033249	1.063601679	95	37.06192672	1.286661066		6.8913728	31.69793785	3.258422762	6.55978322		0	0	1.709065959	8.377655596	0	3.157181665	0
27		DI02_02	PM10	38.32851679	6.985798685	40.37463558	3.384428575	866	58.9070797	0	12.99783289	0.81499787		9.971299022	3.644628078		0	1.15264412	2.691998333	0	0	1.334302034	8.485218883
32		DI02_02	PM2.5	1.78791915	1.508790696	5.147616152	1.179382202	80	26.12365186	0		5.374335125		0	0.047822611		47.64324427	20.56700587	0	0	0	0.243937084	0
31		DI02_02	PM2.5	1.117449469	1.192803778	5.749603908	2.354171493	50	32.89704323	40.89851975		5.777028203		0	4.64130491		0	0	0	7.287827879	4.783130065	3.715148568	0
33		DI02_02	PM2.5	3.575838301	2.133752265	6.67784082	0.992394593	158	40.7935828	10.88046432		14.11773264		0	0		8.370518684	0	0	3.660713136	14.26493824	0	7.912061363
35		DI02_02	PM10	8.269126071	3.244777082	14.48275949	2.018520478	210	48.54923189	12.18742281		0		12.46507764	2.072494663		0	14.45868611	9.557224065	0.69016288	0.019694575	0	0
34		DI02_02	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	90	63.129884	0		10.70780009		0	18.1801945		3.037905321	1.502846461	0	0	0	3.441378102	0
36		DI02_02	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	88	31.84295595	0		0		0.511203846	0		9.791379422	9.000743181	9.411498159	2.802048437	0	21.19037211	15.44979811
