Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
5		GB02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	13	68.62476468	8.805951476		0.107119652			4.432601482	16.937913	0.162235054	0.099593541	0.111836707	0.126733666	0.153808226	0.192261545	0.245169341
4		GB02_01	PM10	16.98523193	4.650405248	15.93608649	1.189822044	485	75.54703951	8.656336367		4.253502563			0.453913445	4.846050218	2.181656845	0	0	0	4.061505571	0	0
2		GB02_01	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	75	47.28082418	0		6.104277819			1.319930423	0	0	14.01386559	23.76406491	6.739089638	0	0	0.777951069
6		GB02_01	PM2.5	1.229194416	1.251023157	4.328128958	1.212746254	61	21.45357579	3.727772832		0.95003657			0.006973011	30.29055297	11.78168729	0	0	0	27.28204429	4.507366568	0
1		GB02_01	PM2.5	1.005704522	1.131593022	3.956834194	1.238840621	52	24.04545546	28.17270756		2.113238722			9.15280208	0	0	12.47906089	0	0	0	0	24.03674126
7		GB02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	0	0		0			0.020032804	0.028626149	2.00056918	0	0	2.150234208	71.15408778	18.67180169	5.974650756
8		GB02_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	28	12.18010262	2.052384987		0			1.071483921	0.011379096	2.281375229	13.47062886	16.46330655	25.86759031	0	1.644443534	24.95730221
9		GB02_01	PM2.5	2.570133779	1.808976496	5.93525129	1.090718373	75	28.96989584	0		5.577747151			2.239197306	32.27449954	5.255447701	9.967506677	3.135760501	0	0	12.57994473	0
10		GB02_01	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	52	12.53938526	15.11564851		1.973724738			3.051472828	0	0	0	0	11.24720126	43.51151288	12.561059	0
11		GB02_01	PM10	9.38657554	3.457073787	11.90235464	1.201015822	254	34.71974134	12.49400452		10.94048992	19.10939217		0	0.321120769	2.597112395	9.995860606	8.92103985	0	0	0	0.901238248
16		GB02_01	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	60	59.51462388	0		8.142963052			0.006694481	28.13509703	0	0	0	0	0	3.722096607	0.478537101
17		GB02_01	PM2.5	2.123153991	1.644166543	5.858353627	1.286351947	50	16.69901162	35.08122563		0			34.07577574	0	0	6.856322289	6.918693334	0	0.368970656	0	0
15		GB02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	31.08474314	65.65595865		0.25615003			0.031446238	0.05634689	0	0	0	0	0	2.915349416	0
14		GB02_01	PM10	32.51777955	6.434510302	26.01381936	1.656065439	993	87.70834804	0		0			0	2.102584392	0	0	0	0	0.737535907	0	9.451526403
12		GB02_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	50	34.95235741	0		0			2.136290446	2.045485564	0	20.68566382	13.40416819	0.813570339	0	19.89568025	6.0667824
19		GB02_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	49	31.18357956	14.15134668		0			0.926920027	0	0	0	39.11835849	0	11.90773398	0	2.712054923
13		GB02_01	PM10	12.40368911	3.97402409	13.4325793	1.157598859	458	47.04968333	15.36069959		7.95358941	29.40106988		0	0.234952592	0	0	0	0	0	0	0
18		GB02_01	PM10	10.39228006	3.637562637	11.45416221	1.004629559	368	30.90620935	2.883599512	30.01662195	0.303830672			27.07384229	0	1.78742595	0.63910014	0.677895406	0	0	0	5.711482465
21		GB02_01	PM10	18.99664097	4.918055968	26.35326207	2.909256966	588	62.6167357	8.930581808		0			0.850642473	0	0	6.363191456	1.955111511	2.856732346	0	12.96126842	3.465743363
20		GB02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	40.50022364	1.12009095		0.63636601			7.182951272	0.092461874	3.565723076	3.599121049	0.84005408	6.865795702	0	0	35.59721112
23		GB02_01	PM2.5	1.564429257	1.411344463	6.044001009	1.858160668	58	24.75657463	0		22.19134569			8.1312038	0	12.6191169	0	0	23.83706868	0	8.464698493	0
25		GB02_01	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	41	67.24596024	0		0			0.87720938	0.034731973	7.561700046	0	0	24.2803961	0	0	0
22		GB02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	9	37.860623	0		0			0.097543676	0	0	0	27.18682587	0	11.94943637	17.3251912	5.580385029
24		GB02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	0	0		0			0.014541417	2.207301743	0	0	5.260434374	58.36131573	0	28.98536026	5.171038583
26		GB02_01	PM2.5	2.234898938	1.68687928	5.595808581	1.114956559	89	48.90988469	8.684527129		10.04818901			0	2.305663563	0	0	13.93144578	0	8.7809138	0	7.339371741
28		GB02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	18	0	99.15292263		0			0.303122099	0.543955201	0	0	0	0	0	0	0
32		GB02_01	PM2.5	1.564429257	1.411344463	4.405026622	0.987032111	53	50.08564591	0		0			0.006196107	12.1226415	14.94432092	1.865295134	6.375921518	11.68419421	2.802766487	0	0.113012444
29		GB02_01	PM10	11.28623964	3.790789709	12.87563716	1.168902608	292	41.35465026	0	11.05195135	0.336577371		13.12170178	2.139568701	13.13037723	0	0	0	8.78566131	0.871793274	0	9.207714349
34		GB02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	19.21894401	70.73461413		4.174922034			0.176068512	0.311751012	4.180575907	1.203121804	0	0	0	0	0
33		GB02_01	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	25	37.49765158	0		17.6028654			0.349325663	0.262394315	0	0	0	22.46840149	21.81937099	0	0
31		GB02_01	PM2.5	4.469797876	2.385607556	7.388578295	0.971905435	119	19.73506361	5.255527794	31.74515367	3.33057344			32.70058334	0.080177095	0	0	1.163041312	2.091923542	3.897947446	0	0
