Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		GB02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	0	33.39806199	0.346068782		34.85424221	25.2307862	0.689466717	0.515446952	0.30572731	0.422736024	0	0	4.237462208
1		GB02_02	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	55	2.904110588	45.83286047	10.96245125		34.084782	0	5.191556364	0	0	0.825914741	0.198336947	0	0
5		GB02_02	PM10	30.84160535	6.266478401	20.8211576	1.11856932	1158	46.89722955	3.284454718	0.732422853	40.6894058	0	0	1.094622444	2.010093816	0.610504113	0	3.465189412	0	1.216079853
4		GB02_02	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	47	19.93199587	0	8.136380464		5.853974074	0	2.49651093	13.57762963	18.34522337	28.26737165	3.390918672	0	0
7		GB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	95.4123199	0	0		0.060424296	0.109673187	0.39552995	0.425013807	0.478596287	0.544852996	0.665968889	0.836580712	1.071041916
8		GB02_02	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	63	63.24819922	1.228000037	0		0	12.28032336	11.77055612	0	0	6.215285882	4.627436772	0.630195625	0
9		GB02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	35	74.73494411	0	0		0.980462786	0	3.071291	10.58303267	10.63027158	0	0	0	0
15		GB02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	16	42.54693985	50.90141296	0.526241446		0.081377552	0.145186274	0.520414626	0.558839971	0.628853962	0.715564936	0.873941462	1.09722279	1.403995045
10		GB02_02	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	64	9.203093499	46.49534225	9.053977579		34.5851928	0.047511506	0.07402543	0.079034409	0.088624138	0.100291031	0.121414801	0.151488546	0
13		GB02_02	PM2.5	2.90536862	1.923338301	6.229648392	1.062957658	117	20.63845843	31.60483837	0		24.04497415	0	2.332431264	1.924107596	0.900112092	3.30956243	0	0	15.24551958
11		GB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	3	92.73914099	0	0		0.096572493	0.174047111	0.62590586	0.672595995	0.756961107	0.862016529	1.053924859	1.32395979	1.694876701
16		GB02_02	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	48	70.37665844	0	0		28.0174166	0.034311475	0.120200613	0.128590956	0.144429004	0.163723296	0.198835065	0.248651067	0.567181176
