Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		GB02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	48	27.65360773	0		2.717764117		0.016320054		13.90140057	16.69753194	28.48083079	0	0	5.233899131	3.594077379	1.704568043
11		GB02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	28	59.53428745	0		0		0.262238435		16.19769931	2.448101901	0	0	21.55767679	0	0	0
17		GB02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	42	0	56.78781271		0		41.91533029		0.045138341	0.681559835	0.57015717	0	0	0	0	0
21		GB02_03	PM2.5	1.229194416	1.251023157	4.328128958	1.212746254	59	43.29683185	0		0.342406239		0		39.86467421	0.773086632	6.510192156	0	0	0	7.306183875	1.906635053
24		GB02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	26	37.25410998	0		8.395136148		25.80901384		0	0	0	0	0	22.95040935	0	5.591331422
27		GB02_03	PM10	5.810737239	2.72001111	9.290097728	1.181950977	137	44.18954253	37.3019278		2.619321458		0.177066366		0	0	9.665449709	0	0	0	5.040178448	1.006514113
28		GB02_03	PM2.5	3.24060346	2.03127164	7.651123341	1.4375225	125	28.49061191	31.46673739		0		2.073526755		9.637267143	23.01476896	5.31709604	0	0	0	0	0
29		GB02_03	PM10	22.23724443	5.321028	17.42126555	1.086096884	779	19.42425519	0	36.38190031	1.163883694		40.7240212		0	2.305946685	0	0	0	0	0	0
33		GB02_03	PM10	27.1540221	5.879929824	22.42827993	1.47417114	846	61.57329679	0		0.63161971		0		37.07748055	0	0	0	0	0	0.717600761	0
35		GB02_03	PM10	6.369461974	2.847779989	9.738290157	1.184821176	201	38.13830614	5.595882237		29.57073748		3.875054419		1.384326536	6.170011684	4.898783565	2.528556064	0.604345789	0	0	7.233993709
