Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	P Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		GB03_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	49	38.15652132	12.16687784		0.675019203		0	0.008588065	0	0	0	0	0	12.25025058	36.74273789
1		GB03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	13	12.82281429	20.86600512		0		8.529217541	0.041320329	0	0.294340332	3.69810164	1.300618798	10.32805219	3.030744381	39.08878863
4		GB03_01	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	36	0	63.75499964		2.286805212		0	9.446825832	0.290773343	1.36387907	0.693610823	9.137564152	0	0	13.02554607
2		GB03_01	PM10	8.380871018	3.26662768	10.74342473	1.095939223	316	20.85507363	3.670730069	33.26356709	1.533099264		28.32532525	6.71140179	0	0	3.593848646	2.046950161	0	0	0
8		GB03_01	PM2.5	3.911073142	2.231531534	8.733155581	1.551803019	86	5.77606447	0		0		0	0	33.26323628	32.57292211	0	0	0	0	28.38777006
9		GB03_01	PM10	5.810737239	2.72001111	10.89722006	1.626261352	144	56.43976331	40.18089175		0		1.102891844	1.810902916	0	0.465549156	0	0	0	0	0
10		GB03_01	PM10	33.41173912	6.522357512	22.50517759	1.206301709	914	10.59778631	2.48571001	31.91241026	0		35.97483337	0	0	2.717308886	3.053123131	2.945266664	3.434231132	2.583658881	4.295667261
11		GB03_01	PM10	8.492615965	3.288333086	13.4325793	1.690703597	183	42.5489217	0		2.655128576		5.316316709	5.350588635	0	4.733188823	11.85493469	16.66895747	10.87195277	0	0
13		GB03_01	PM2.5	2.570133779	1.808976496	6.120898673	1.160018156	71	9.73064974	0		2.097893134		0	1.801517978	6.40507862	27.29606628	12.41865233	0	18.99304241	7.27320388	13.98390085
14		GB03_01	PM10	9.945300275	3.55847574	13.4325793	1.443746892	146	48.3194828	0		0		13.26719522	0	0	2.88973283	12.21233681	9.391506016	0	13.91974539	0
17		GB03_01	PM10	10.9510048	3.734066465	12.24179735	1.088996636	374	19.40292269	4.668571427	30.88575304	0		28.02585363	0	0	0	10.12766659	1.259771176	0	0	5.629469454
18		GB03_01	PM10	25.36610295	5.683055988	19.89292069	1.241462162	1116	12.66732663	0	34.28308368	0.402130699		48.59062433	0	0	0	0	3.886960819	0	0.169872784	0
21		GB03_01	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	52	36.0134095	0		0		2.227322571	0.010649495	2.86956802	0.761865079	1.913223043	9.6597597	0	33.3851546	13.15905005
19		GB03_01	PM10	6.592951867	2.89731031	9.104450346	1.000501385	218	42.99270213	15.93043804		3.5011895		1.017371379	0	3.339120746	7.179347426	10.11177301	10.12248918	0	5.805567652	0
24		GB03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	45.03512383		0.455718441		44.38183904	0.26743107	0.908163656	0.968209282	1.083208621	1.224840153	1.481054537	1.846295968	2.34811455
25		GB03_01	PM2.5	3.017113566	1.959976608	9.181348009	2.223368133	55	0	0		10.85743755		0	0	69.48789358	7.223870605	0	11.78147718	0	0	0.649327599
27		GB03_01	PM10	16.2030173	4.542061467	15.07155369	1.115604584	399	27.87331939	14.74203318		0		44.76362765	5.033707246	0	7.587312907	0	0	0	0	0
26		GB03_01	PM10	6.034227133	2.771825501	9.213200064	1.119410784	169	33.13019872	37.188676		0		0	0.927969813	0	0	0	1.64793618	2.756226622	6.334105134	18.01489294
29		GB03_01	PM2.5	3.575838301	2.133752265	6.940385866	1.071962265	92	48.02873433	6.231112033		0.497021666		0	0.967154279	14.52463716	12.57913709	2.695028484	0	0	0	14.47717547
31		GB03_01	PM2.5	1.117449469	1.192803778	3.956834194	1.114956559	35	45.42373717	51.61797404		0		0	0	0.749704381	0.488501322	0.198156503	0.225323276	0.275238068	0.345646148	0.675713923
34		GB03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	49.64767992	0		0		2.659407631	44.72089112	0.450036116	0.274770544	0.307043106	0.346430717	0.417358847	0.518553331	0.657825591
35		GB03_01	PM2.5	2.570133779	1.808976496	6.306546055	1.231452174	86	44.28165555	24.22842681		0		0.209156098	10.15295237	4.679469392	0	0	14.60186392	0	0	1.84647236
33		GB03_01	PM10	34.08220881	6.587474176	30.97578813	2.240304924	716	38.76804411	0	16.0282135	0		5.461212248	0.019904436	5.928948522	4.854995757	9.031901509	4.943314567	7.027871162	0	7.935599983
