Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	P Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		GB03_02	PM2.5	4.246307982	2.325202624	8.284963152	1.286351947	151	32.0007354	18.27398688	0.930738635			7.504180819		0	1.288342103	0	0	0	2.492713556	2.381265163	35.1280421
3		GB03_02	PM10	11.39798458	3.809509772	13.4325793	1.259739935	313	35.57132185	3.765779361	10.23563594			0		0.618461799	0	0	10.02691388	0	0	8.129251003	31.6526413
4		GB03_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	0	38.33436668	5.593972653			7.700446993		0.112969207	6.273014098	4.812604561	2.403992601	17.74102002	0	0	17.02760905
5		GB03_02	PM10	12.06845427	3.919953216	14.36081622	1.359867942	448	44.77233291	3.624946997	0	46.13124132		0		0	3.004190139	0	0	0	0	2.46728994	0
6		GB03_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	11	39.15905654	47.86441922	0.391172431			0.021002184		0.036922999	1.379944291	6.153676659	4.993810505	0	0	0	0
8		GB03_02	PM2.5	1.899664097	1.555225852	5.487058862	1.261224967	59	43.32196116	0	0			11.05524078		0	37.58823574	0	0	8.034567535	0	0	0
9		GB03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	36	0	58.85272622	0			38.93593848		0.057478412	0.19757275	0.210882071	0.236364151	0.267442851	0.323724933	0.40382049	0.514042005
15		GB03_02	PM10	10.16879017	3.59823648	14.93095192	1.744599903	309	47.41004109	0	13.58165741			3.749990091		0.962437596	0	4.03711684	0	0	20.48368454	6.431733072	3.34334597
23		GB03_02	PM10	6.14597208	2.79737282	13.88077173	2.494748543	223	31.60074353	23.0882436	0.32743453			24.68003035		0	0	0	11.16521358	0	8.080661297	0	1.057676785
28		GB03_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	32	30.43612242	11.67846695	8.310334384			0.662617804		8.420091122	0	8.618208021	2.339680865	0	23.60032648	3.537128493	2.397029288
29		GB03_02	PM10	5.475502398	2.640383718	9.366995392	1.27516615	160	22.30209261	10.39532349	0			3.847689927		0	16.36535525	7.348718494	12.16992065	2.188210562	0	25.38269162	0
31		GB03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	42.84962714	22.06114233	0.106084708			11.60031781		0	0.901459157	1.460013445	0.947050471	0.165476545	0.202986086	0.25374	19.45210397
32		GB03_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	29	0	12.93054521	15.26886076			0.013950729		0	1.209615357	0	0	0.093344762	51.69581175	18.78785938	0
34		GB03_02	PM10	5.810737239	2.72001111	9.104450346	1.135184264	154	55.54146171	7.866159827	10.00149474			0.22949304		0.870108232	16.14040434	9.350884706	0	0	0	0	0
37		GB03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	12.84132302	0	0			0.018053071		0.027120669	0	0	12.649104	72.43186831	2.032536268	0	0
38		GB03_02	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	42	50.4455328	35.46860218	13.95362467			0.04752758		0.084717065	0	0	0	0	0	0	0
39		GB03_02	PM10	28.15972662	5.987827444	20.44986283	1.181795958	689	59.30454135	6.092846766	0			3.68116796		6.573411077	4.13658917	5.401345715	0	0	0	8.74659121	6.063502654
41		GB03_02	PM2.5	2.793623673	1.88598837	6.120898673	1.067216704	115	14.74604905	25.45829713	2.93344073			30.31787872		0.514715863	0	0	0	11.00685298	0	13.56033683	1.462423895
44		GB03_02	PM10	6.592951867	2.89731031	10.55777735	1.345411789	190	9.619220346	13.44162077	0			28.59364152		0	3.561022505	5.436340347	2.273772098	11.85585633	9.049140662	16.16939306	0
43		GB03_02	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	66	3.848570958	10.92292368	0			19.63967681		0	0	0	17.78054237	16.14631414	0	21.28392309	10.3780508
46		GB03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	11.67189255	0	0.285808416			0.012885492		1.309183426	55.02172112	1.730104163	0	29.96838689	0	0	0
47		GB03_02	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	81	53.11620831	0	7.634901255			1.171821821		0.019051442	38.0580157	0	0	0	0	0	0
48		GB03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	77.15029716	0	0			0.320964213		0.557470229	1.974104717	2.119566873	2.379233949	2.709129453	3.310700506	4.158615693	5.319917202
50		GB03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	21	2.519164234	0	20.42955756			0.031914815		0.047266419	6.120749936	0	0	20.64260393	0	50.20874143	0
51		GB03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	19	19.13429946	0	0			0.024753835		0.401963899	5.647830293	7.578472048	7.228606194	9.522470087	14.85077888	0	35.6108278
54		GB03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	32	76.03781223	0	6.003000215			0.051445444		14.10262436	0.34545071	0.369760557	0.415338064	0.471100304	0.572562031	0.716494489	0.914410036
52		GB03_02	PM2.5	1.78791915	1.508790696	5.224513816	1.214881794	62	15.94126821	68.36920977	0			2.119655907		0.283069303	0	0	0	5.968280137	3.553593531	3.764927015	0
55		GB03_02	PM10	29.83590082	6.16346078	21.45499741	1.227744265	669	66.60500765	0.690393383	0			0.179011014		29.58865762	0	0	0.309897563	0	2.627026476	0	0
53		GB03_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	37	24.44002032	33.8072896	0.389712257			4.429339617		0	0	0	0	15.92637897	11.45528704	0	9.551974386
56		GB03_02	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	52	87.43095994	0	0			11.5721792		0.024537722	0.087661232	0.09400532	0.105810503	0.120178529	0.146406482	0.183569069	0.234685256
59		GB03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	41	0	39.92895484	8.750464767			0.060003414		21.05059475	0	0	1.550559606	0	5.555817857	23.10359925	0
62		GB03_02	PM10	7.375166496	3.06436839	10.18648259	1.119610083	172	36.22233272	14.420259	0.418583304			6.739351898		13.01877648	0	0	0	0	9.810033441	6.416407973	12.95425296
