Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		GB03_03	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	44	48.05471599	34.42460895		7.387121022		0.409860956		9.055714309			0.087573251	0.061906414	0.069612288	0.078980805	0.096050423	0.120267109	0.153583114
2		GB03_03	PM2.5	2.90536862	1.923338301	6.492193438	1.154441146	83	0	38.4441942		0		10.46448573		0.25288004			0.363657018	1.466359943	1.638899371	0.266255252	0	0	47.10326493
1		GB03_03	PM2.5	1.564429257	1.411344463	5.224513816	1.388436336	50	41.24204814	3.681738302		4.357700422		23.42070043		0			6.497005373	5.560217425	0	0	0	15.24059176	0
4		GB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	68.14550757	0		16.97590947		3.217413276		0.290182675			1.025852561	1.099985559	1.235611644	1.404525805	1.712488569	2.147614583	2.744907513
7		GB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	24.65690225	47.75511622		0.265287119		0.038447129		24.38507676			0.273213466	0.28269852	0.316958409	0.35877435	0.434556091	0.542342896	0.690628681
8		GB03_03	PM2.5	3.687583248	2.166835669	7.202930912	1.119610083	85	19.84282434	21.81929499		0		17.50643104		7.9846479			0	0	22.65486717	10.19193456	0	0	0
10		GB03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	31	0	0		3.154912218		0.154494646		1.770111173			48.89897108	43.81201565	0	0	0	0	2.20949389
13		GB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	38.1395936	0		0		0.010081995		0			0	0	3.250205144	0	36.59668267	22.00343609	0
12		GB03_03	PM10	9.610065434	3.497987327	12.16489968	1.225408405	252	38.30986619	12.09173948		5.501058325		0		23.86566848			0	0	0	9.43781957	2.561823837	0	8.232016116
14		GB03_03	PM10	29.83590082	6.16346078	20.37296517	1.107030195	520	33.93357098	17.02250987		1.929050311		1.98124554		0			1.387672219	4.608874023	17.63923168	15.86147994	5.63637428	0	0
15		GB03_03	PM10	7.375166496	3.06436839	10.63467501	1.220300397	195	33.78497362	25.59143305		2.83559747		7.744415849		2.705987543			0	0	1.622333936	19.46231425	6.252949685	0	0
18		GB03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	17	21.39395922	55.18454313		14.93041962		0.114802725		0			1.113708317	0.899834186	0.85007064	0.966202654	1.178499963	1.478272118	1.889687032
17		GB03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	16	31.43024147	22.14922458		0.215752306		0		0.071178004			0	0	0	17.31437445	16.78802818	12.03119308	0
19		GB03_03	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	37	0	22.18536586		6.150457636		0		0			0	11.7403321	59.92383957	0	0	0	0
20		GB03_03	PM10	16.76174204	4.619709168	15.67354145	1.166286522	409	49.71773922	0		8.826130629	29.15183306	1.355837751		5.488367379			0	0	1.097116061	0	2.354283817	0.564895943	1.443783287
21		GB03_03	PM10	12.06845427	3.919953216	13.4325793	1.189754383	304	57.46224523	0		0		16.65920168		2.900591865			0	0	0	4.578124359	2.453542873	0	15.94628543
23		GB03_03	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	35	43.66931915	35.36615372		0.155358971		6.341223419		0			9.168683738	2.992361598	0	0.719104521	0.609018141	0	0.978771597
32		GB03_03	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	13	88.56977224	0		7.112018019		0		0.105177925			0.377981924	0.405912893	0.456967205	0.519907055	0.634918921	0.797172729	1.020171307
34		GB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	0	62.6716435		0		0.56563504		0.935564563			3.245311975	3.475864232	3.890812024	4.421572387	5.389128998	6.763766706	8.640694618
35		GB03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	14	0	48.99133146		44.31539178		0		0.169472501			0.592553895	0.63413647	0.711859763	0.807528477	0.981599744	1.22844493	1.56767983
36		GB03_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	19	41.89045727	45.66113353		0.779844169		0.027198179		5.887100846			3.300658241	1.416318305	0	0.262773805	0.297441473	0	0.477072969
37		GB03_03	PM2.5	2.681878726	1.847883667	6.940385866	1.42928302	67	37.770015	0		5.94178848		6.304804981		0			0	0	0	11.40972897	10.10740176	0	28.46626341
39		GB03_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	16	60.67852974	0		0		0.019271931		19.97615397			11.71135232	7.614699006	0	0	0	0	0
40		GB03_03	PM10	5.475502398	2.640383718	9.104450346	1.204685341	95	68.21712852	0		0		0		25.78854561			0	0	5.39835766	0	0.190941407	0.405018125	0
45		GB03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	43	0	3.684810176		0		0.073059782		0.144842756			48.32395911	42.36351252	5.409812555	0	0	0	0
48		GB03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	18	72.2110033	19.70452219		0		0		6.177704781			0	0	0.382862566	0.267356378	0.32577198	0.408495311	0.522289518
49		GB03_03	PM2.5	3.017113566	1.959976608	6.492193438	1.111684066	51	23.33863676	0		11.54556721		0		0			41.91862345	19.17981654	0	4.017359763	0	0	0
50		GB03_03	PM10	5.698992292	2.693730193	8.918802963	1.110721569	142	47.713539	17.17625409		6.199170649		0.068130583		5.891266465			0	0	10.78554243	9.705039114	0	0	2.461053431
51		GB03_03	PM2.5	4.581542823	2.415243569	9.552642774	1.58498611	102	20.24382651	30.66121638		0		16.83813781		1.688923873			1.460407861	0.084612693	0	0.484015513	0	27.24207342	1.29678417
52		GB03_03	PM10	9.051340699	3.394779067	11.53105987	1.16900314	186	28.82774472	0	24.157767	2.995328978		21.86625451		0.595052447			6.546956301	0	0	1.083026081	2.547534741	0	11.38033569
54		GB03_03	PM2.5	1.564429257	1.411344463	4.96196877	1.252397696	54	62.57184148	28.78451645		2.300464548		0.01846408		0			1.442772988	3.960207105	0.653091306	0	0	0	0.268641696
56		GB03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	18	40.9783721	13.08680326		0.195644842		0		1.252142712			1.807490736	0.794204604	8.686136454	16.43254161	16.76666439	0	0
55		GB03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	29.84739542	1.86735522		2.492733113		0.018212771		3.336435929			12.80327439	0	0	0	38.54114413	11.09345034	0
57		GB03_03	PM2.5	1.676174204	1.46088031	5.038866433	1.205415236	45	0	0		15.46490639		0		2.189758047			0.882344414	1.742361858	0.987926964	0.508261705	0	66.30510688	11.91933304
53		GB03_03	PM10	10.9510048	3.734066465	14.59150921	1.547164863	288	39.4695133	40.05030096		11.31174266		0		0			0	0	0	3.827059641	0	0	5.341384187
58		GB03_03	PM2.5	3.017113566	1.959976608	6.831636147	1.230971318	108	42.34721363	11.84946895		1.835448854		8.483830839		14.23381567			0	0	0	0	1.405983511	17.65605956	2.188183554
59		GB03_03	PM2.5	2.458388832	1.769213915	6.67784082	1.443483044	67	57.56328702	12.87931204		1.208870765		17.40083843		0.012133737			0	0	0	1.945963874	4.387216642	4.489898682	0.112476281
61		GB03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	13	94.39425468	0		0		0.074110064		0.134146365			0.48325886	0.519298436	0.584635697	0.665664393	0.813741144	1.0222218	1.308672037
60		GB03_03	PM2.5	0.782214628	0.997971241	3.87993653	1.531487459	31	50.97154975	44.12674904		0.157355401		0		3.401716053			0	0	0.462261122	0.147561356	0.179870822	0.264293584	0.288649625
62		GB03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	5	41.38168395	52.45913863		1.307291165		0.065405527		0.116860983			0.419176556	0.450084265	0.506574521	0.576307392	0.703697139	0.883410126	1.130378433
65		GB03_03	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	18	28.73049676	0		7.151717693		0.011175424		1.035255566			0	0	12.809515	46.85898423	3.402845562	0	0
66		GB03_03	PM10	9.163085646	3.415670212	14.77715659	1.896400849	210	74.67803955	0		0		1.74107682		3.772006556			19.80887949	0	0	0	0	0	0
63		GB03_03	PM10	8.939595752	3.373758561	11.45416221	1.167881862	222	51.22992992	0		0.170874444		4.910475761		4.902970418			19.85949427	14.87546414	0	0	0	0	4.050789401
67		GB03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	22	25.2800405	0		8.733319491		1.951029524		2.642463893			0	0	12.83730865	7.767680287	2.993224189	26.82313621	10.97178683
68		GB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	90.37183523	0		0		0.109309121		0.195710314			0.701054884	0.75299642	0.846817344	0.96424073	1.180572528	1.482576597	3.394883499
70		GB03_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	39	0	1.667428762		6.095848233		0		0.043989392			0	17.29499102	5.318253115	0	49.82329905	16.07477665	3.681407124
72		GB03_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	26	21.91303372	37.07611263		0		19.42582279		20.30893564			0.191797421	0.117328193	0.13138355	0.148501771	0.179438526	0.223499234	0.284149288
