Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		JN01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	23	0	76.20392442			0		0.022288201	21.97436094		0	0	0.603917148	0.205951021	0.249460782	0.343399355	0.396701368
2		JN01_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	65	5.560752377	2.35883221			0		22.77004868	0		10.37942097	25.32602847	19.04930919	9.277054667	2.972593158	0	2.305963822
1		JN01_02	PM2.5	1.78791915	1.508790696	6.306546055	1.7702125	101	38.70498538	16.76142961			1.086570602		7.11395517	9.307020903		0.469451584	0	4.227973148	8.97788927	0	1.088330895	12.26239279
4		JN01_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	40	83.99463296	0			0		0	12.39040419		0	0	3.053615615	0	0	0.561341736	0
5		JN01_02	PM10	23.01945906	5.413805092	22.13388283	1.693597622	891	52.97718048	3.546293825		6.22109957	0.196012016	13.09142113	0	1.786801778	18.01891178	0	0	0	0	0	4.162271693	0
7		JN01_02	PM10	15.75603751	4.478974216	15.30224668	1.182642624	633	32.47939646	0	27.79995501		0.825251639		33.42719972	0.240258011		3.20950821	0	0	0	0	0	2.018443309
6		JN01_02	PM2.5	2.458388832	1.769213915	5.595808581	1.013596872	127	59.68104005	0.652103825			3.056697175		0.890062284	33.5457176		0	0	1.330483984	0	0.137523306	0.452144677	0.254229875
																								
																								
																								
																								
