Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		JN01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	5	94.90782022	0		0.133665034	0.065409165	0.118591986	0.427505001	0.459371833	0.517243193	0.588870374	0.719789416	0.904177688	1.157553867
4		JN01_03	PM2.5	1.676174204	1.46088031	5.038866433	1.205415236	59	24.94065464	10.39662361		0	0	0.608617533	9.650085121	13.79669458	8.646290749	9.669742733	2.889061905	0	19.40222681
6		JN01_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	27	56.47919178	0		0	4.470328987	10.49963981	0	0	3.394485638	6.620801985	0.375192636	12.67712712	5.483238399
9		JN01_03	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	28	10.36637351	0		6.00515902	8.230565488	14.92299289	37.04858124	20.52948177	0	2.896852791	0	0	0
10		JN01_03	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	66	53.37373018	12.29666397		0	1.106672268	15.61225057	0	0	0	0	7.090672851	4.053876176	6.466139108
11		JN01_03	PM2.5	2.234898938	1.68687928	7.01728353	1.753356774	84	50.10034442	3.026225232		1.780349202	0	15.11184126	19.83324736	0	0	10.14799178	0	0	0
12		JN01_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	47	15.3065294	18.80085617		0	0.340530416	7.629701495	1.395248622	0.309564429	1.486319024	0.978917256	4.49055098	38.81707489	10.44470891
13		JN01_03	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	19	69.43899989	0		0	4.814533889	0.018849243	0	0	0	0	0	12.13597134	13.59164566
14		JN01_03	PM2.5	1.899664097	1.555225852	5.147616152	1.110006779	79	36.90043986	8.038538694		0.811824203	0	18.00599247	0	0	7.705317438	16.82921946	0	7.076255977	4.632414877
15		JN01_03	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	38	43.69897246	0		0	0.004328463	7.520089298	0	0	10.66387668	5.258092657	0	1.823356189	31.0312897
18		JN01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	14.49406594	0.006090073		0.006660588	0.016454382	4.740851	24.97995347	0	0	9.675302356	0	39.44485486	6.635759026
19		JN01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	51.82318687	0		0	0.010836723	23.64967614	4.374892637	14.24188465	5.899526551	0	0	0	0
