Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		JN03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	35.99576354	16.62798524	0.497874292	0.072685268	25.61537027		6.437926739	10.76170355	0	0	2.007871494	1.354593504	0.628226483
2		JN03_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	41	38.08246851	0	0.961112045	0.052106794	0.008254524		1.483985595	0	0	0.054039015	0	12.03731224	47.32072353
3		JN03_01	PM2.5	4.805032717	2.473450559	7.75987306	0.997247648	164	47.09522128	10.94321236	0	0	30.56107163		0.181076606	0	0	0	4.381329939	6.838082522	0
6		JN03_01	PM2.5	1.45268431	1.360005555	4.513776341	1.116089345	56	53.25679779	28.75208855	0	0.002679763	12.01974154		0	0	0	0.024329165	5.94435893	0	0
5		JN03_01	PM2.5	3.128858513	1.995942481	6.492193438	1.071981064	138	34.44511294	4.208163545	0.720697222	1.416063309	1.264689025	52.09857821	1.311323699	0	0	0	4.535369202	0	0
9		JN03_01	PM2.5	2.346643885	1.728536893	5.858353627	1.163842238	96	56.64154887	9.577459097	0.851595961	2.036399581	12.31397539		0	0	0	7.458331436	1.994777843	0	9.12591666
7		JN03_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	20	0	0	2.617640793	0.03025209	0		2.540624142	2.369306237	0	0.527688675	0	67.20800996	24.70648289
10		JN03_01	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	69	59.57376361	0	3.261376917	0	32.464993		2.938797884	1.761071384	0	0	0	0	0
8		JN03_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	79	65.88768363	0	10.40115282	0	18.57369691		2.646154538	0	0	0	0	2.491315827	0
12		JN03_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	50	44.26521957	7.376009226	0.577626238	0	38.62898052		0	0	0	0	6.45802319	0	2.694134787
11		JN03_01	PM10	7.263421549	3.04106487	10.18648259	1.136834854	228	41.70383215	10.56297421	0	0.012616609	26.10253394		0.813131593	1.443945151	6.597620994	9.534285218	0	2.352508157	0.876559597
14		JN03_01	PM2.5	4.358052929	2.35559872	7.836770723	1.121429348	192	59.21074748	2.508326061	0.149160542	0.099052629	26.62300766		0	0	0	9.752229601	0	0	1.657472923
15		JN03_01	PM2.5	0.782214628	0.997971241	4.776321387	2.320872518	42	59.04346704	25.00365674	0.119176821	0.054194417	5.831919238		0	0	0	0	9.947588295	0	0
