Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		JN03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	51.44505501	5.643140152	0.100225664		0.021510654	0		19.81338114	14.70053345	0	0	0	6.755597889	1.520553604
3		JN03_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	30	61.2344563	0	0.055093464		0.003917019	22.13378549		13.99601549	0	0	2.576735243	0	0	0
5		JN03_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	23	22.44400829	0	9.152966738		5.938599259	6.37775138		0	18.91129911	16.7252481	0	3.147674724	2.094336413	15.20811915
6		JN03_02	PM2.5	2.234898938	1.68687928	5.672706244	1.145810601	124	73.28085303	0	0.038638723		0.126964878	19.25372332		0	0	0	2.656759322	0	0	4.643057287
2		JN03_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	82	29.88719642	9.35042277	1.531705819	33.4349215	0.005311648	0		0	1.115719695	1.900423691	5.518467724	7.626587898	2.376930416	7.252308726
4		JN03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	65.36145806	0	0		0	33.53236616		0.33525012	0.092693773	0.092040905	0.104068976	0.125842053	0.156820647	0.199452764
8		JN03_02	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	70	34.76222157	0	0		0.344445789	26.14263296		0	0	2.155495621	13.10935318	14.11783695	3.580610082	5.787401646
9		JN03_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	24	86.22444272	0	1.333404984		0.022534288	10.50768793		0	0	0.832111388	0	0.254313531	0.418353127	0.407158211
13		JN03_02	PM2.5	3.24060346	2.03127164	7.388578295	1.340559221	131	48.43213558	20.06108761	1.066287421		1.31833367	20.78106552		0	0	0	1.241366565	0	7.099724561	0
14		JN03_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	25	15.18867165	1.217072643	0.282037654		0	0		0	0	9.035650641	11.96506992	0	47.26446271	15.04703313
15		JN03_02	PM2.5	1.45268431	1.360005555	5.224513816	1.495239131	60	44.85518038	15.40888101	0		0.004243333	13.339746		0	0	0	15.70535004	3.831440955	0	6.855160743
20		JN03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	23	45.95677555	39.92129564	0		12.81725764	0.032353605		0.114963879	0.123209041	0.138600834	0.157348276	0.191536522	0.239999848	0.306661241
21		JN03_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	29	39.74521756	10.70003733	0		0.12280402	0.535708852		3.560017049	13.33727539	13.49772513	14.87334371	2.58290451	0	1.04496507
19		JN03_02	PM10	15.08556783	4.38264093	13.88077173	1.016379036	478	26.17196143	0.062363793	0		0.220983522	1.188443229	61.2667799	9.715610743	1.373862196	0	0	0	0	0
22		JN03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	62.263304	16.06389433	0.016215032		8.811109513	3.288783506		1.507385261	4.624168202	2.864219993	0.107062934	0	0.453850627	0
23		JN03_02	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	38	55.80824614	0	0		0.255444366	21.99180126		0	0	0	8.37905854	7.96135366	5.604097247	0
