Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	B Wt%	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
5		MG01_01	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	641		32.8759104	10.67114174	1.15346266		2.342331782	25.76666474	0	7.886954397	11.24153733	6.163500622	1.898492314	0	0
11		MG01_01	PM10	7.151676602	3.017581393	9.366995392	0.976299084	198		43.94250214	12.26172	17.34600514		0.244696136	0	0.968611334	0.788276549	0	1.187948789	0.779428193	3.511315584	18.96949112
17		MG01_01	PM2.5	2.458388832	1.769213915	7.126033249	1.643748049	75		31.37634993	0	7.507349551		3.060114384	0	0	0	1.758349314	28.22081447	25.33929646	0	2.737727016
19		MG01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	99		78.26605439	0	17.23396182		0.061626371	0.109009631	0.389514118	0.417952426	0.470276503	0.534645841	0.652185734	0.818250794	1.046520658
29		MG01_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	261		94.38003302	0	0		3.864273429	0	0	0	0.760110049	0	0.247582304	0.500802929	0.247200136
33		MG01_01	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	370		44.61649656	44.4902122	0.917110778		0	9.976176172	0	0	0	0	0	0	0
35		MG01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29		57.66615868	0	0		0.010204182	0.01676949	0.125545019	0.061276095	2.373337001	2.847458608	8.299859613	0	28.59939635
37		MG01_01	PM2.5	1.564429257	1.411344463	6.197796336	1.953929135	113		38.00280988	0	3.362702951		3.713188693	0.083568972	3.417123854	3.679841757	21.04831785	10.63007787	4.836877063	5.201108754	6.024380773
36		MG01_01	PM10	20.44932528	5.102635556	18.91963817	1.392954098	3116	0	40.74243903	0	15.93147516	26.03316903	0.872680452	0	1.286103018	4.22356464	0	0	0	4.704260454	6.206309423
40		MG01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	17		53.79998088	0	0		0.024297892	7.11575672	0	0	0.972757954	15.53156227	22.55564332	0	0
42		MG01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8		0	49.42359626	35.81132293		0.222477154	0.369291194	1.286768075	1.377234329	1.544594206	1.753089018	2.132585645	2.670495212	3.408550099
39		MG01_01	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	60		31.97805882	0	0.815196149		3.241962194	0.005549809	4.474365711	4.854954407	24.39049929	6.284520775	21.61532491	2.339570597	0
44		MG01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6		0	57.55226016	10.06940454		0.49165315	0.812096987	2.817251906	3.016581573	3.377806023	3.837267682	4.674506932	5.863167346	7.488012314
48		MG01_01	PM2.5	2.234898938	1.68687928	6.306546055	1.41617	92		19.37284321	0	4.072421044		0	6.234445423	0.057382969	0.191712985	16.46729857	18.8692227	7.741123438	0	26.99355185
53		MG01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9		90.08002281	0	0		1.416945085	0.207347027	0.743551459	0.79878252	0.898653362	1.023174264	1.250577439	1.570671424	2.010277845
55		MG01_01	PM2.5	1.564429257	1.411344463	6.67784082	2.268330498	73		50.41238666	0	6.649307907		0.650475547	0	0	20.35033554	16.38706625	0	5.55043444	0	0
54		MG01_01	PM2.5	1.78791915	1.508790696	5.410161198	1.302754765	74		48.71819019	8.121740818	6.047837809		0	2.541680634	0	0	7.624335587	13.0264774	8.924990147	0	4.994747415
56		MG01_01	PM2.5	4.358052929	2.35559872	7.75987306	1.099529458	97		40.97490013	0.103786611	11.58206463		2.014228143	2.694870718	5.558674783	10.27745828	17.84544587	2.606370114	3.558952734	1.360978838	1.422267314
