Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count
1		MG01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	
3		MG01_02	PM2.5	2.681878726	1.847883667	8.022418106	1.909684335	
4		MG01_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	
5		MG01_02	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	
6		MG01_02	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	
7		MG01_02	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	
9		MG01_02	PM2.5	0.558724735	0.84343964	2.689154571	1.029968091	
10		MG01_02	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	
11		MG01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	
12		MG01_02	PM10	10.39228006	3.637562637	14.14331678	1.531728635	
13		MG01_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	
14		MG01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	
