Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		MG01_03	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	22	27.62392163	0	17.37455279		8.464089781	25.99052191	5.220624059	7.100183517	0.172536413	0	0.235907314	4.864940047	2.95272097
1		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	97.22217917	0	0		0.03634007	0.066291669	0.239564595	0.25739579	0.289974432	0.330007193	0.40322803	0.506515941	0.648503099
3		MG01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	40	85.24890542	0	13.64966333		0	0.047209245	0	0	0.419247989	0.106556027	0.159130991	0.167833711	0.201446097
4		MG01_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	52	32.01740086	0	6.543991715		5.795588344	12.95452714	0	0.782673992	0	0	0.269226683	41.63659513	0
6		MG01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	39	31.710428	50.20579696	1.265705936		5.004483834	6.964099407	0.725469878	0.517306477	0.341321272	2.064863592	0	0	1.200513821
5		MG01_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	60	47.75089324	0	1.863810606		0	35.03116369	0	1.621887833	8.482190222	0	5.250061303	0	0
8		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	0	0	0		27.53715813	2.004816383	6.562226266	6.970397383	7.74295181	8.734064549	10.53840071	13.17223459	16.73775017
7		MG01_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	49	30.75340986	4.770772532	0	21.4444384	0	6.268718094	15.52715302	6.374188513	0	2.180073969	12.10820898	0.573040824	0
10		MG01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	25	77.6953578	0	14.41452205		0.031422544	6.663785875	0	0	0	0.281264377	0.485094218	0.42855842	0
12		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	93.79394054	0	0.573211024		0.074561458	0.134856603	0.48567201	0.521863392	0.587510364	0.66889883	0.817629788	1.027055457	1.314803585
14		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	0	51.02180243	0.475048926		0.14027484	37.97307014	0.963678677	1.025513373	1.14554083	1.293214783	1.559444796	1.939849928	2.462556399
11		MG01_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	57	51.97921991	19.99643594	9.179312736		0	7.160846144	0	0	0	11.68419272	0	0	0
13		MG01_03	PM2.5	1.676174204	1.46088031	5.038866433	1.205415236	79	64.27251697	11.0137701	0		2.775628865	18.36152226	0	0	1.228244137	0	2.34832149	0	0
15		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	30	32.61064291	50.53041577	0		0.015136953	0	0	8.146990091	8.696809411	0	0	0	0
20		MG01_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	22	75.07227063	0	8.858421445		0.040686547	0.070672168	0	0	0	0	15.95795006	0	0
18		MG01_03	PM2.5	3.575838301	2.133752265	6.940385866	1.071962265	148	50.00661016	0	2.36306265	40.02386034	0	6.175812334	0.387762301	0.017559579	0	0	0.126278296	0.855926797	0.043124135
23		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	91.25683308	0	6.966345757		0.023536729	0.042591625	0.153506093	0.16483058	0.185677712	0.211157184	0.257748272	0.323606329	0.414162735
22		MG01_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	34	32.27013648	0	0.63557839		0.008436874	0.024104695	9.902770072	13.25037032	23.15397859	0	13.44473809	0	7.309889048
24		MG01_03	PM2.5	2.793623673	1.88598837	6.831636147	1.329449024	79	50.41483045	5.353790894	8.388072997		5.480434373	0.684870733	16.13016129	6.195252761	0	7.352571934	0	0	0
25		MG01_03	PM2.5	1.117449469	1.192803778	3.956834194	1.114956559	64	60.52364707	0	3.377052397		0	16.74221903	0	0	2.782355435	0	12.19186038	4.382862523	0
26		MG01_03	PM2.5	2.681878726	1.847883667	8.733155581	2.263046069	105	0	0	23.32492322		0	49.55317378	0	0	23.02848846	4.09341529	0	0	0
27		MG01_03	PM2.5	1.78791915	1.508790696	5.672706244	1.432263251	95	49.97647703	0	2.354894951		0	24.49544519	11.58589199	4.953888804	2.311888896	4.321513698	0	0	0
29		MG01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	39	58.73450041	0	6.586738676		0.012367425	10.85421741	4.368777946	7.446655631	8.056142181	0	0	3.940607607	0
31		MG01_03	PM2.5	3.575838301	2.133752265	7.202930912	1.154597898	165	33.45969915	10.45883521	1.772019267		0.93207201	16.76340401	19.50321496	14.39364105	0	0	0	2.717114985	0
28		MG01_03	PM2.5	2.681878726	1.847883667	6.120898673	1.111684066	106	51.23483539	0	1.246426813		0	21.88878357	0	9.411951154	9.352652729	4.258241877	0	2.60710977	0
33		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	25.77236891	0	2.041499317		0.974390842	0.032836714	60.07748842	0	0	11.10142469	0	0	0
32		MG01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	68.34780574	11.95266843	0		0	0	5.727135763	6.137265638	0	7.835130394	0	0	0
30		MG01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	30	62.69833446	1.162850391	8.079636097		0.008931249	12.88075298	7.642741501	0	0	0	2.220479399	5.306274816	0
34		MG01_03	PM2.5	1.899664097	1.555225852	6.940385866	2.017811322	93	27.08547115	45.8125025	11.51087582		9.823264182	3.704894707	0	0	0	0	2.062985301	0	0
35		MG01_03	PM2.5	4.69328777	2.444520318	10.26338025	1.786050733	180	60.55008173	0	1.043509785	19.8260352	0.078008906	18.18681061	0	0	0	0.315550179	0	0	0
36		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	13.38262409	59.41909552	0.651813997		0.340902829	3.386752307	2.062394656	2.210401744	2.478682064	2.817565948	3.435122594	4.309015349	5.505627766
38		MG01_03	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	61	31.04007244	7.092435658	4.284931347		0.516264606	0.101006217	15.76037258	9.261707962	3.676808253	19.87494826	7.299507409	0.034133164	1.057808008
39		MG01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	22	22.03605473	1.914169639	0.251356419		0.011783369	0.102702423	0	0	0	0	0.093083089	6.649384648	68.94147992
37		MG01_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	35	61.045748	0	12.88778335		0	17.58462936	0	4.087640718	4.394201189	0	0	0	0
41		MG01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	33.24497044	63.08799982	1.174898911		0.033422073	0.05994825	0.215425831	0.23126856	0.260419189	0.296134106	0.361408386	0.453646295	0.580459461
42		MG01_03	PM2.5	3.128858513	1.995942481	7.126033249	1.291516324	113	60.3500545	23.55351448	11.4423573		4.654067755	0	0	0	0	0	0	0	0
43		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	25.84370673	0	0		0.01632561	0	0	36.94533408	30.60058653	0	0	2.225120738	4.368925467
44		MG01_03	PM10	12.627179	4.009666276	18.81088845	2.22998743	313	36.04066372	8.111840487	4.892107099	14.74764794	1.24761546	1.305783354	0	0	4.621525481	2.217317559	0	6.154095009	20.6613943
50		MG01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	37	0	1.597077399	0		0	0	26.4854908	37.65498698	16.12886041	0	6.270594895	7.031751424	4.831239954
49		MG01_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	39	77.0781517	0	16.25478864		6.35624826	0.023417198	0.08350464	0.089513115	0	0.11437505	0	0	0
47		MG01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	49	63.13394308	10.85614264	0.214384519		4.268458113	16.91735834	0	0	2.645127289	0	0.742996857	1.221597102	0
48		MG01_03	PM2.5	4.581542823	2.415243569	8.470610535	1.246257583	180	43.93797219	6.512331218	2.747742645		0	8.43398124	6.166854128	10.96418723	18.44691932	2.790010162	0	0	0
51		MG01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	18	87.01582551	0	10.07787436		0	0	0.260954071	0.280164089	0.315457024	0.35876038	0.437899446	0.549688842	0.703371828
46		MG01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	37	45.79844177	0	4.688903689		8.463722467	0.578898005	31.16072416	5.400378257	0	3.908933327	0	0	0
53		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	33.06295574	60.25272608	4.413001984		0.029753975	0.117908209	0.1908798	0.204867218	0.230669184	0.262235175	0.319914497	0.401471276	0.513609499
54		MG01_03	PM2.5	2.011409044	1.600314199	5.147616152	1.048339735	72	76.32772923	0	0		0	2.044336498	4.289951175	13.45823258	0	0	0	3.879748285	0
52		MG01_03	PM2.5	3.24060346	2.03127164	6.569091101	1.059680187	125	62.94623613	0	0	27.21658051	1.036035456	0	2.438253537	1.33795375	4.774602503	0	0	0.250346796	0
55		MG01_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	38	0	29.94920015	16.6704461		0.011308323	10.8764872	0	0	0	0	35.33031642	7.001310587	0.160928082
58		MG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	48.47766459	0	42.0235157		0.048018954	6.221501529	0.29388566	0.314349495	0.352923851	0.400071731	0.485778367	0.607462972	0.774824759
