Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		MG02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	18.31348985	9.504734725	0.573579315			5.418477207		0.61934907		10.79976112	16.16576314	38.47028017	0	0	0	0.134562247
4		MG02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	38	27.20066011	19.65246797	2.809161507			0.113260641		0.017827498		0	0	14.52215314	18.20026338	10.64733788	5.102861673	1.734012738
2		MG02_03	PM10	6.704696814	2.92176062	10.63467501	1.342330437	235	31.10054731	19.6747303	0.287025608	28.6919415		1.661339775		3.036959097		0	0	1.933838241	1.045159623	0	12.56846488	0
6		MG02_03	PM10	11.73321942	3.865125995	13.17003426	1.176377617	291	49.80461001	0	10.93226746	28.18709016		0.691537606		3.267923743		0	3.42612192	3.690453991	0	0	0	0
5		MG02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	41	58.67969394	20.44645399	15.45448601			0.015826712		0.027819417		0.098860008	0.105968514	0.215071253	0.135385164	0.246174075	0.586127769	3.988137469
9		MG02_03	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	39	51.7082274	0	38.91705275			0		0.032201744		0	0	0.135357108	0	1.532316115	7.674840838	0
8		MG02_03	PM2.5	1.117449469	1.192803778	4.513776341	1.450916148	61	65.0192678	17.13332087	0			0		16.16629958		0.086147932	0	0	0	0	1.594958082	0
10		MG02_03	PM10	16.09127235	4.526372089	16.30738126	1.315128533	614	48.59702289	3.991452605	0	34.83631611		1.612593234		0.883512478		1.084625721	0.589537481	0.544519909	2.778271958	0	5.082144961	0
11		MG02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	17	0	51.70655847	0.048929657			0		0.116575812		1.160774939	0	0	0	0	46.9671607	0
12		MG02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	57.39949346	0	33.04989338			0.040484825		6.723721325		0.253098761	0.270863739	0.304255472	0.345040369	0.419240678	0.524536287	0.669358857
13		MG02_03	PM2.5	4.469797876	2.385607556	8.361860816	1.244824479	200	52.43009925	2.896372229	1.473353244			3.205487877		23.93726707		0	0	0.739051681	2.177440934	2.914853767	0	10.22606418
14		MG02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	28	81.80992603	2.865619957	4.863093793			1.731033251		5.186958984		2.111417055	1.126641128	0	0.305314176	0	0	0
15		MG02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	9	20.120278	3.323406354	2.804649062			0.023839963		0.03706039		21.68557942	37.47698963	0	0	7.168421149	5.029003695	2.330781333
16		MG02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	29	23.29299599	0	13.60942572			0.090619799		0.014572384		1.18001923	3.561945632	0	0	41.53558016	11.75995469	4.954889789
18		MG02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	0	0	0			1.845964976		2.700189501		8.851217479	9.406530112	10.43557674	11.78023145	14.2521143	17.90667623	22.82149047
