Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Ni Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		MG03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	8	0	0	82.05233216		0.295349234	0.463451631				1.577839442	1.683565229	1.883318461	2.131830156	2.582456172	3.224590421	4.105262458
4		MG03_02	PM2.5	3.24060346	2.03127164	7.651123341	1.4375225	137	73.35429192	3.32005471	13.00451159		0	3.36432755				0	0	0	0	0	6.956813484	0
5		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	41.26494229	13.44500631	5.450369045		1.523230225	0.030778092				0	0	20.29691041	17.98875779	0	0	0
6		MG03_02	PM10	12.73892395	4.027369083	14.40586182	1.296390623	375	41.79385602	0	7.928740978	26.74236894	0	1.165697258			16.13080204	0	0	0	6.238537654	0	0	0
8		MG03_02	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	84	14.39207494	21.94033861	6.21821247		0.029003754	0				0	0	0	0	0	1.11718094	56.30319118
9		MG03_02	PM2.5	2.570133779	1.808976496	6.229648392	1.201604309	88	68.32841635	9.833699465	10.21929905		7.182919234	0				1.430628728	0	0	0	3.005041182	0	0
10		MG03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	28	35.86671948	0	10.39270535		0.005278983	0.021296256				8.688176423	17.89335757	14.98399526	2.044247091	1.166223083	0	8.938007057
11		MG03_02	PM2.5	0.670469681	0.923941834	4.033731857	1.93119017	29	28.73439491	0	6.648155302		0	0.323157292				0	2.765036188	37.57886589	23.95039201	0	0	0
12		MG03_02	PM2.5	2.011409044	1.600314199	6.044001009	1.445236075	92	41.69035554	0	4.032077268		0.064407877	3.297473863				12.62851804	27.83680856	2.016053349	0	0	8.434297144	0
14		MG03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	35	48.69942367	22.43197411	2.634291537		0	7.00398311				0	0	0	0	0	19.2303285	0
15		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	93.55076551	0	0.049063563		0.084868324	0.153286045				0.551728392	0.592879485	0.667361123	0.759918382	0.929029379	1.16705168	1.494046301
16		MG03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	35.25643051	35.49530804	9.15523842		0.098622788	0				0.659278547	0	2.276227809	7.434072345	4.053383693	0	5.571440235
18		MG03_02	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	46	68.95478368	17.63361394	1.882227138		0	0.014316806				0	0	1.727911644	0.272655045	0.54097781	0.50353827	8.469974995
19		MG03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	19	36.88945174	0	5.914375186		0.943803508	3.153743967				50.36541224	0	0	0	0	1.248744503	1.484459452
17		MG03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	51	45.63677311	24.12389517	0		0	0.024564669				0	0	9.345401078	0.548502663	0	20.32086402	0
20		MG03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	12	38.0764097	0	34.11301076		0.023925664	0.302092778				8.492211998	10.86932719	1.594449021	0	6.528578699	0	0
21		MG03_02	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	82	78.10897827	0	5.779030174		0.692381151	7.178767771				0	0	2.553783916	0	0	5.687060207	0
22		MG03_02	PM10	60.45401628	8.773394107	36.83414176	1.785936806	1520	34.13179815	0	0.159653777	18.09934527	0.708503136	0.795701891	20.50398439	14.672409		1.165018138	2.037216164	5.660839006	2.065531164	0	0	0
25		MG03_02	PM10	10.28053512	3.617952992	13.24693192	1.35832916	286	48.74814153	8.181081712	3.743044287	14.78751302	0	8.408819139				3.31829004	2.958098799	0	0	0	0	9.8550044
27		MG03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	34.86508131	60.41352749	0		0	0				1.289069746	0.826971978	0.347199896	0.394824985	0.482328841	0.605823938	0.775174517
28		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	29.21716571	0	4.660332948		1.95305571	1.55091919				8.511989564	3.522731364	0	0	0	8.103027195	42.48078465
29		MG03_02	PM2.5	2.123153991	1.644166543	5.410161198	1.097056644	82	19.53317821	11.10789254	2.927868813		4.017828777	0				12.8202334	4.986827075	0	0	0	21.55248523	23.05369675
33		MG03_02	PM2.5	4.022818089	2.263186044	7.279828576	1.048339735	145	48.05869162	17.57092476	3.36233452		0	4.760128632				2.891538478	8.675923198	6.972707063	7.707753778	0	0	0
32		MG03_02	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	30	17.40830243	12.64692694	4.355518892		20.32224089	0.076143414				0.271036522	0	0	0	0	0	44.91983652
31		MG03_02	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	75	25.17133951	2.518939227	0	30.75805604	0	1.909176819				0	8.996146917	10.74737608	10.90039015	0	6.725884974	2.272685058
35		MG03_02	PM10	8.157381124	3.22277834	10.0008352	0.975690158	314	60.66560149	0	12.95650005		0.878890324	21.05460912				1.841176488	0	0	0	0	2.6032269	0
37		MG03_02	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	48	52.55519748	0	8.036834002		0	0				0	6.314145029	1.952384599	0	22.34462649	7.19961226	1.597192511
34		MG03_02	PM2.5	1.45268431	1.360005555	4.513776341	1.116089345	81	27.33851969	17.05418974	9.539473057		0.669662515	0				7.302889228	32.40012527	5.21819517	0	0	0.476940349	0
36		MG03_02	PM2.5	3.464093354	2.100147767	7.388578295	1.254071529	99	43.17717254	19.05886531	11.72325388		1.062421966	1.899221726				8.099111915	11.89896986	0	0	0	3.08098048	0
38		MG03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	20.93112618	17.06993282	1.916908845		3.945937753	20.9978044				7.996764779	19.79770213	0	0	0	7.343826443	0
39		MG03_02	PM2.5	0.782214628	0.997971241	3.771186811	1.446839294	46	43.27462614	3.742166981	0		0	11.94417179				31.6036582	5.488421023	0	3.94696407	0	0	0
40		MG03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	34	66.78851247	0	3.898945078		0.676122867	0.013760441				0.438579544	0.549831241	2.97565069	4.075907171	6.310909986	0	14.27178383
43		MG03_02	PM2.5	2.90536862	1.923338301	7.651123341	1.60339048	107	53.03375721	2.391370758	4.505513981		0	0				0	39.47931528	0.590043142	0	0	0	0
44		MG03_02	PM2.5	2.793623673	1.88598837	7.465475959	1.587585912	93	60.3151381	5.838392675	11.72394753		2.867538854	0				0	0	0	0	0	19.254978	0
45		MG03_02	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	67	40.17906487	0	7.655770332		0.659610238	0.008685671				4.838357493	8.863983303	26.86360776	10.9309122	0	0	0
46		MG03_02	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	31	46.52046561	48.05257022	4.022417217		0.014405798	0.351255899				0.093356945	0.10020216	0.112863234	0.128290046	0.15648983	0.196399377	0.251284754
47		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	67.89717674	9.406618774	16.41563326		0.086681539	0.152497052				0.543697458	0.583369099	0.656134868	0.746031385	0.910112821	1.141828392	1.460214518
49		MG03_02	PM2.5	3.017113566	1.959976608	6.754738484	1.20341538	103	51.31481886	0	28.46184075		0	4.15087156				0	0	6.231876463	2.062610723	0	7.777985185	0
51		MG03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	17	18.09391677	26.92537606	2.279479988		0.139756198	0.133099				30.56998253	0	0	2.445246652	0	19.41314191	0
52		MG03_02	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	71	36.1594528	15.06046504	0		6.08381182	1.032990776				9.707453102	14.1268909	10.87066606	0	0	0.533728441	6.424536556
53		MG03_02	PM10	58.77784207	8.650911679	34.2537369	1.588519	1531	43.83492768	0	0.028313466	12.06308603	0.536285201	0.366680906	40.72617888			0	0	2.444527671	0	0	0	0
54		MG03_02	PM2.5	2.793623673	1.88598837	6.492193438	1.200618792	101	74.99926686	0	9.095011652		3.820225969	10.10175794				0	0	0	0	0	1.983734779	0
56		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	79.22731638	0	0		0.046543957	0.081016496				3.215178475	2.677103691	0	4.559296742	0	0	10.19354016
57		MG03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	33.88634026	0	46.57412469		1.383146923	0.027629343				0	0	6.985156983	0	3.327869996	5.48918806	2.326542139
60		MG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	91.84051156	0	5.191295221		0	0.072085962				0.259711244	0.278930715	0.314141111	0.357384491	0.436443137	0.548041705	0.701455353
58		MG03_02	PM2.5	3.911073142	2.231531534	9.629540438	1.886710736	142	46.1260587	7.240534574	1.641209237	26.53209865	0	2.179040946				0	0	2.406518161	0.176472135	2.522108704	0	11.17596403
59		MG03_02	PM10	6.928186708	2.970057456	10.44902763	1.254071529	268	46.80472016	9.174284339	9.404967725	20.39321959	0	0.838580728				6.569287926	0.532909995	0	0	0	4.581710696	1.700317673
62		MG03_02	PM2.5	2.234898938	1.68687928	5.595808581	1.114956559	109	46.55277729	18.6183542	0		6.562678516	1.489080954				3.02980952	4.421418533	0	0	0	19.32588369	0
