Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
5		MG03_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	43	52.53914595	32.20381737	14.73109573		0	0.012889382			0.046191341	0.049551594	0.055797555	0.06338997	0.077259773	0.096911227	0.123941957
1		MG03_03	PM2.5	0.893959575	1.066876133	5.333263534	2.531968765	34	21.79041356	4.626648873	0.597402034		0	0.249626231			17.70029217	19.15587783	17.21335649	0	18.66638958	0	0
3		MG03_03	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	92	56.18715882	0	0		0	0			1.533468813	0	4.119787365	0	0	38.15959394	0
4		MG03_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	55	43.76275539	18.5539484	6.878783554		1.9653311	0.224098656			0	0	4.651038349	5.901730433	18.06230843	0	0
7		MG03_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	57	75.76709986	7.190651447	10.94311774		0	0.26750986			2.372880094	3.238873184	0.219865702	0	0	0	0
8		MG03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	69.00464296	20.27399391	1.511579379		0.010037448	7.906978577			0.446279719	0.240148278	0.081209559	0.092199765	0.112289132	0.140754681	0.179878832
6		MG03_03	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	84	42.36054718	34.91969705	4.538522661		2.338515781	0			0	10.95892861	4.883792624	0	0	0	0
9		MG03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	33	81.96443915	0	9.908569604		6.66333884	0			0.131928059	0.141484546	0.159240211	0.180886406	0.220401841	0.27636867	0.353342108
10		MG03_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	45	38.46043944	46.47635818	13.69765699		0	0			0.77045192	0.595090166	0	0	0	0	0
11		MG03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	93.92281175	0	3.672317415		0.031686723	0.057534734			0.207589986	0.222969498	0.251170923	0.285742595	0.348965544	0.438237377	0.560969999
14		MG03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	11	22.31670022	0	20.39824873		0	0			37.45658696	17.54541993	0	2.283033542	0	0	0
15		MG03_03	PM2.5	3.575838301	2.133752265	9.181348009	1.875966862	98	54.65016961	19.05112863	16.14120454		0	0			0	0	0	0	8.106251806	0	2.051248401
12		MG03_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	66	23.55015278	9.911385179	8.5602507		0.757613312	1.669900119			0	0.992463063	3.196192905	0	0	31.44942224	19.91262287
19		MG03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	28	51.79475546	0	2.363724075		0	12.46192902			4.88903746	16.80890471	11.46887615	0	0	0	0.212772144
18		MG03_03	PM2.5	3.128858513	1.995942481	7.913668387	1.592795084	142	26.88659728	3.369187191	10.34112051		10.01623943	0			0	5.341361091	8.837346733	6.806753576	1.501245424	0.980042387	25.92010796
16		MG03_03	PM10	16.87348698	4.635082619	15.85918883	1.186170818	425	37.09125221	0	0	11.29288897	0	0.585148204	40.29679		5.584177002	5.149752647	0	0	0	0	0
23		MG03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	19	39.7352457	0	1.060026325		0.009476548	0.201124628			0	0.052488782	1.168820728	0.304567977	4.336259142	0	53.1319797
22		MG03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	45.5539763	29.67301309	2.920616791		20.14342844	0			0.267382408	0.242765807	0.161127804	0.182744523	0.222117174	0.277992804	0.354830665
26		MG03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	56	60.00949144	0	3.316716105		7.4113518	0.072994729			5.969572812	12.63009459	0.307659199	1.19059654	0	9.09152627	0
27		MG03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	14.85149264	0	78.88206244		0.098741718	0.159277709			0.54941494	0.586891687	0.657935534	0.745132985	0.90334462	1.128252503	1.43744899
24		MG03_03	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	73	48.12239707	2.621781267	5.840107054		0	4.987964779			0	0	0	0.365301059	3.628801927	2.370538376	32.0631057
30		MG03_03	PM2.5	4.581542823	2.415243569	9.552642774	1.58498611	144	77.34535933	0	4.807966202		5.765707791	0			1.660020277	8.301373571	0.64811823	0	0.701338705	0	0.770117063
31		MG03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	16	48.73214662	0	0.695235468		9.969516844	0.027409123			0.092647807	0.728181656	2.057909407	0.859665964	4.492412135	0	32.34487176
32		MG03_03	PM10	18.1026814	4.800942597	27.05080599	3.216678433	533	48.39832485	0.884458609	9.086705744		7.50688836	0.2902237			0	0	0	0	0	17.00990051	16.82349741
33		MG03_03	PM2.5	2.570133779	1.808976496	7.202930912	1.606397076	67	44.6472764	3.170312569	4.104043543		5.292760208	8.610487729			0	0	1.140167657	0	7.061045617	25.97390115	0
34		MG03_03	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	133	59.72735882	11.83767244	0		5.656431243	17.92130917			0	0	0	4.857236147	0	0	0
36		MG03_03	PM2.5	3.128858513	1.995942481	6.415295774	1.046737008	106	45.26799023	23.58275503	14.28974271		0.157497684	3.773593903			2.169981785	0	0	10.25636941	0	0.502073718	0
35		MG03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	40	32.81806707	30.11720181	36.86049581		0.204230845	0			0	0	0	0	0	0	0
