Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
3		MGL01_01	PM2.5	0.893959575	1.066876133	4.96196877	2.191695967	39	0	35.56816578		0		41.52732491	4.855696857	0	0	2.086425945	0.345695927	6.750159711	8.866527677	0	
6		MGL01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	0	4.849711061		0		8.668486774	0.027862526	6.219215691	16.22995138	9.653387219	4.145106301	6.223285943	0	43.98298562	
7		MGL01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	25	0	12.82571107		47.26943672		0	0.145708036	28.4707427	11.28839627	0	0	0	0	0	
8		MGL01_01	PM2.5	3.128858513	1.995942481	6.569091101	1.097525907	169	51.44462585	0		0.581951067	34.40656066	0.513781887	0	0	1.929356903	3.491414338	0	0	7.632311434	0	
12		MGL01_01	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	30	39.72805142	31.39795363		0		10.15210077	17.72772521	0.16787179	0.088876009	0.099696522	0.112863118	0.136743137	0.170694827	0.217417884	
13		MGL01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	28	49.92224276	26.22055113		0.931265391		15.57113826	6.666421145	0.059427187	0.058780826	0.066031265	0.074848102	0.090883218	0.113650667	0.224762131	
14		MGL01_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	51	30.13414443	0		33.49150121		0	0.201489776	27.55248845	0	0	8.620370924	0	0	0	
17		MGL01_01	PM10	13.52113858	4.149174415	13.06128454	1.00403454	671	6.416769326	2.594267204	32.25398362	0		43.53614151	1.228411775	0	2.370879799	6.481586397	0	5.117961019	0	0	
19		MGL01_01	PM2.5	4.581542823	2.415243569	7.728021005	1.037325307	126	49.65066016	12.44369373		17.43795127		2.980746888	10.99282056	0	0	0	0	0	6.494126469	0	
29		MGL01_01	PM10	26.59529736	5.819122297	19.44472826	1.131329318	921	53.34193707	0.903288368		11.64817214	28.51398885	0	0	1.083609648	0	0	0	0	4.509000108	0	
30		MGL01_01	PM10	21.11979496	5.18561068	17.57506088	1.163842238	671	50.19621253	0		0.043618804		1.090414356	41.81598425	2.2466233	0.779063907	0.358896051	3.469190747	0	0	0	
31		MGL01_01	PM2.5	2.90536862	1.923338301	6.492193438	1.154441146	157	61.98942065	1.921078749		26.24986768		0	0.506559899	0	0	0	0	9.333071858	0	0	
32		MGL01_01	PM2.5	2.011409044	1.600314199	5.858353627	1.357815944	77	52.32512355	0		0		0	13.91459703	9.037975967	13.23297769	11.48932278	0	0	0	0	
34		MGL01_01	PM2.5	2.123153991	1.644166543	6.120898673	1.404232505	151	16.2745297	0		0.401384337		0.18167895	1.319729723	3.814750537	0	0	0	0	1.388581935	0	76.61933899
36		MGL01_01	PM2.5	1.45268431	1.360005555	5.038866433	1.390863734	79	13.10559362	18.45847219		8.955380321		39.88678753	15.26201069	0	0	0	2.203922719	1.370442472	0.757385418	0	
38		MGL01_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	56	13.20671886	51.51925087		1.828344911		9.22382921	1.14341341	8.282091469	0	0	14.79634792	0	0	0	
40		MGL01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	44	54.27482128	0		22.57212102		0	5.723074079	0.403577741	0	2.092702687	6.505510956	3.555014357	0	4.873179272	
41		MGL01_01	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	49	43.8569963	17.38724113		0		0	8.738176525	1.584445871	0	0	13.32663447	9.849777818	3.551707044	1.70502793	
