Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
5		MGL01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	11	36.30747497	54.17773128			0.14292883		0.022904543		0.040548571			1.90941263	7.398995757	0	0	0	0	0
1		MGL01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	64.86164331	0			5.696365982		0.008599666		6.301315129			0.685938122	1.635143161	0	0	0	9.411503375	11.39949262
4		MGL01_02	PM2.5	1.229194416	1.251023157	5.487058862	1.949165857	72	27.28346586	0			19.15241927		2.118399367		0			33.46509337	0	0	0	15.37673175	2.6038846	0
2		MGL01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	40	60.56433916	0			22.70976007		0.005514655		3.370391205			0	4.414244369	8.562267572	0.373474462	0	0	0
3		MGL01_02	PM2.5	3.24060346	2.03127164	7.836770723	1.508129123	98	39.90850151	21.06066942			7.27487579		0.315658143		23.91394079			7.185262442	0	0	0	0	0	0.341088092
6		MGL01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	44.15382147	7.955826819			0		0.009005603		10.30165255			12.08431944	25.4953742	0	0	0	0	0
9		MGL01_02	PM2.5	2.346643885	1.728536893	5.749603908	1.121034044	103	63.49976659	6.045083329			0		0		4.640536383			0	0	0	24.16650951	1.648108847	0	0
10		MGL01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	39	58.66975188	12.94313967			4.399979115		0		18.8279748			0.179376721	2.475381084	2.504393086	0	0	0	0
12		MGL01_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	46	15.8132866	0			3.069608659	65.9997046	8.057681471		0.011352391			0	0.262519228	1.20349694	0	4.35837619	1.22397542	0
8		MGL01_02	PM2.5	2.570133779	1.808976496	7.388578295	1.690270322	103	33.52662921	6.297203898			10.33691764	23.87506813	0.626494456		3.408385068			3.420428187	0	1.529898867	3.734175861	13.24480474	0	0
11		MGL01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	17	0	0			35.91621518		0.497385813		29.7023356			0	0	14.26338106	0	7.462402433	10.99661291	1.161662396
13		MGL01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	94.06388998	0			0.901393779		0.021398684		0.52097193			2.168024704	1.216029096	0	0.193511893	0.236632163	0.297446572	0.380704366
15		MGL01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	18	14.88728225	4.521355033			0		0.015204326		0.022881753			0	7.454764843	0	0	54.22915816	18.86935681	0
16		MGL01_02	PM10	12.85066889	4.044994414	15.51974612	1.491535613	370	16.80721194	9.223086387			8.083349466		0.684277806		2.495632693	21.36630416	18.96296889	0.496597029	1.688931137	3.6900267	2.861908264	5.874414742	3.25342454	4.511866346
17		MGL01_02	PM2.5	4.69328777	2.444520318	7.836770723	1.041327252	181	36.56537235	0			20.34220845	27.77645588	0		2.170954086			0	4.387299344	8.735347539	0.022363805	0	0	0
19		MGL01_02	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	49	43.08667481	28.56565714			15.41763097		0.006398896		2.177039534			2.525936998	3.334021941	2.825750969	1.599648409	0	0	0.461237459
18		MGL01_02	PM2.5	0.782214628	0.997971241	4.699423723	2.246743078	51	40.11299908	8.429017663			4.93109636		0		16.78740382			0.563792186	19.02672201	7.964248955	0	0	0	2.184713632
21		MGL01_02	PM2.5	2.681878726	1.847883667	7.202930912	1.539463864	77	32.07191825	8.061672747			13.0186066		0		1.599127427			7.772444189	16.24118537	13.57052326	0	0	0	7.664520293
20		MGL01_02	PM10	9.38657554	3.457073787	19.81602302	3.329016539	284	63.70832324	0			6.409372389		3.348848596		16.89167917			4.847502708	3.675150499	0	0	1.119133923	0	0
22		MGL01_02	PM2.5	4.358052929	2.35559872	10.71157268	2.095096894	160	31.4752996	6.158175692			14.03491944	22.40159065	0.838965457		1.129548252			3.017354198	3.714735433	9.11713019	5.039619654	3.07264626	0	0
23		MGL01_02	PM10	46.26240802	7.674837283	33.32549999	1.910360146	1727	51.44577026	0.392268598			0.419901032	40.14934599	0.644859532		0.478246855			0	3.059017286	1.869433187	0	0	0	1.541150827
25		MGL01_02	PM2.5	3.352348407	2.065996747	8.208065488	1.59927303	139	58.38710666	0			7.513811439		0.781062106		24.58004206			0	0	2.210270613	2.032908984	0	0	4.494804889
24		MGL01_02	PM10	31.84730987	6.367829639	32.32036541	2.610176691	1033	45.47422528	9.390588105			11.86026186	22.91234136	1.180230174	4.87518236	0.262261764			0	0	1.069373917	0	0.375043903	1.490888093	1.109600998
26		MGL01_02	PM10	19.7788556	5.018288663	16.97307312	1.159070735	1076	5.964764208	0.898159482	36.26495004		0		53.24241519		0.496609742			0	0	1.382152736	0	0.633352622	0.982469134	0.135124428
27		MGL01_02	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	18	29.25373316	38.06659281			0		0		12.27904335			0	16.41622931	0	0	0	3.187102079	0.797302462
29		MGL01_02	PM2.5	2.458388832	1.769213915	5.672706244	1.041646001	107	24.60148335	0			14.37126547	13.04252148	1.848162897		3.910807148			4.475114122	17.24756509	7.785055786	4.595599324	0	8.122418076	0
31		MGL01_02	PM2.5	4.581542823	2.415243569	8.208065488	1.170199778	208	56.41678572	4.753895849			0.305898068	36.09328568	1.19563397		1.234483812			0	0	0	0	0	0	0
32		MGL01_02	PM10	5.698992292	2.693730193	11.53105987	1.856652046	208	45.77305019	4.399837926			0.300301751	39.16323781	0		0.609094789			6.081808731	0	0	0	0	0	3.67266871
35		MGL01_02	PM2.5	4.246307982	2.325202624	7.651123341	1.097056644	163	44.45445538	0.905845128			1.421495341	31.61767125	0		1.329402905			4.201416671	4.903410748	8.496251702	2.670041844	0	0	0
34		MGL01_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	29	0	0			10.0614436		2.303104848		37.64607906			0	0	0	0	39.76919055	10.22018567	0
33		MGL01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	14	54.02067304	0			17.86985099		6.177034229		0			6.675283611	3.391331807	2.140682377	9.725151211	0	0	0
36		MGL01_02	PM2.5	1.005704522	1.131593022	4.667571668	1.723858931	38	55.60484529	0			27.07060277		0.018056099		0.690215034			5.711029097	0	0	2.960194647	2.555013262	5.390045047	0
37		MGL01_02	PM2.5	2.346643885	1.728536893	8.09931577	2.22453688	127	37.66458929	6.886030734			8.990681171		0		15.95782936			0.833050162	0	20.06113827	8.987333626	0.619345205	0	0
39		MGL01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	30	33.15688074	40.92157781			0		0		24.41400439			0.242536259	0.136119721	0.152663921	0.172810489	0.209347298	0.261292118	0.332767144
38		MGL01_02	PM10	12.06845427	3.919953216	16.41613098	1.776970033	394	52.75623798	7.129771262			10.78954339	20.95536143	0.071754586		4.453935847			3.250899538	0	0	0.592484977	0	0	0
40		MGL01_02	PM2.5	3.687583248	2.166835669	10.26338025	2.273155478	210	46.29732668	5.788244307		15.27400911	9.669291228		0		0.014901534			0	0	6.576760113	2.417892031	1.755282842	12.18677536	0.019517256
41		MGL01_02	PM10	42.12784498	7.323854051	33.10800055	2.070555137	1560	54.82326746	0			15.18740207	25.225088	0.475938991		1.492739469			0.058429397	0	1.518896781	0	0	0	1.218235772
42		MGL01_02	PM2.5	2.458388832	1.769213915	6.492193438	1.364339536	125	54.71667051	0.441851886			18.14341694		0		1.100750919			0	5.258826539	9.943404049	0.483866408	0	3.983917832	5.927291512
43		MGL01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	53	26.68821514	30.93971908			1.025131438		0		6.686757505			13.90422434	14.77317661	0	5.982779711	0	0	0
44		MGL01_02	PM2.5	3.24060346	2.03127164	7.202930912	1.27403906	142	53.77358198	0			1.677270047		0.529319979		41.4716661			0	0	0	0	0	2.548165247	0
46		MGL01_02	PM2.5	1.117449469	1.192803778	4.96196877	1.753356774	47	32.69216418	15.12269676			10.59240848		0.049326534		0			8.678296953	6.878501922	1.057149004	1.561228838	0	20.60243487	2.765791118
45		MGL01_02	PM10	13.40939363	4.131993495	14.96280397	1.328638917	557	47.03572989	0		10.37072241	7.730518281	17.64512062	0		0.074783299			0.249454193	0	0	0	0	0	16.89366549
49		MGL01_02	PM2.5	3.24060346	2.03127164	6.940385866	1.182854913	159	24.00402725	1.792751253	30.01731038		0		31.91092014		0.005242936			1.825680584	1.025654934	0	0	4.494692385	4.923717305	0
