Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		MGL01_03	PM2.5	2.793623673	1.88598837	6.044001009	1.040569974	189	20.54877579	0	31.84664845	0.07140853		32.68699944	0.526749482	4.238358513	0	0	0	0	0	10.08105054
2		MGL01_03	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	46	49.31487143	0		0		30.12003601	18.60632002	0.30629891	0.179985876	0.089647796	0.130867772	0	0	1.251977962
3		MGL01_03	PM10	11.06274974	3.75306947	17.83760593	2.288759596	513	15.75564295	0	32.70768523	0		38.83781433	0.902474765	0	1.360029913	4.066037014	3.296147287	0	3.074163757	0
4		MGL01_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	97	45.84789276	0		1.387893409		0	24.23958629	0	9.479462355	9.596987814	3.059227578	0.24987394	6.139080599	0
5		MGL01_03	PM10	5.475502398	2.640383718	9.258245673	1.24572897	229	45.6068188	0		1.054948755		0	1.15428213	11.41618267	11.41186133	2.52544526	18.32460612	0	0	8.505857736
6		MGL01_03	PM2.5	0.670469681	0.923941834	3.322994383	1.310600129	39	49.07029569	14.65481371		0		27.72316039	0.009795321	0.296505913	0	1.593653858	3.432977945	3.218803927	0	0
7		MGL01_03	PM2.5	1.899664097	1.555225852	6.120898673	1.569436329	95	11.43040136	27.51704454		0.96355807		20.62939405	9.532894194	0.155352859	0	0	0	3.723565489	7.361322641	18.68646592
8		MGL01_03	PM2.5	2.570133779	1.808976496	6.492193438	1.305020426	101	44.30640936	11.78745255		0.815150235	34.83096659	0	0.416506454	0	3.425868601	3.939182311	0	0	0	0.478456868
9		MGL01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	3.446927667	20.93750685		0		0.01985711	0.024824659	0.246446743	0.644607842	3.741621971	3.775386512	9.198670089	0	57.96414018
10		MGL01_03	PM2.5	0.558724735	0.84343964	2.689154571	1.029968091	51	44.20754313	5.146031454		0.410741754		2.022146434	0	1.346473768	1.103443187	0	0	33.88923109	9.171177447	2.703220211
11		MGL01_03	PM2.5	4.469797876	2.385607556	7.836770723	1.093393614	205	20.1934129	0	27.95221806	0		22.6067543	3.49900797	4.197188839	2.550100908	2.205774002	2.653210051	0	14.14233893	0
12		MGL01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	30.52785397	20.53967863		0		38.80396485	8.088490367	0.187955191	0.200385181	0.224374444	0.253625913	0.306478841	0.38177669	0.485417061
13		MGL01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	43	6.378721446	41.29585922		0.543385092		45.22113204	6.560897827	0	0	0	0	0	0	0
14		MGL01_03	PM10	9.610065434	3.497987327	15.67354145	2.034220678	376	51.69178247	2.691122703		4.079188779		4.329790175	18.15340966	2.902711555	4.342534021	7.257463038	0	2.110921592	2.441080473	0
15		MGL01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	32	43.75260174	33.28821361		0		12.231718	0	1.211725734	0	0.198865472	3.56211327	0	0	5.754768103
16		MGL01_03	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	73	70.85573673	0		0.392940175		6.411790848	15.24032652	0.527101522	0	0	6.483440101	0	0	0.088664715
17		MGL01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	34.77542698	22.04450518		0.015576792		0.022756998	0.037451283	1.654339209	1.370681077	8.71918276	14.29340392	17.0666784	0	0
18		MGL01_03	PM2.5	2.793623673	1.88598837	5.858353627	0.97762748	129	11.41730621	0	39.35778737	3.674665466		38.95125091	0.723210163	0	0	0	0	2.629774995	3.246003389	0
19		MGL01_03	PM2.5	2.011409044	1.600314199	5.038866433	1.004512697	109	0	33.34725201		2.962417342		25.85465014	4.659190029	1.298341993	7.113084942	9.427956492	12.87742704	2.459689789	0	0
