Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		MGL02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	41	23.09887707	5.888390169	9.675587714		0.746918609	0	0	0	2.237820812	14.87547308	0	7.368308306	36.10861599
3		MGL02_01	PM2.5	0.670469681	0.923941834	4.065583912	1.961809578	42	35.84733009	3.053949773	0		1.305915415	20.32444328	0	14.84679133	7.644810528	0	0	13.29783052	3.678932786
4		MGL02_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	14	14.60861862	0	0		14.30874318	35.4506135	23.10833037	12.02795878	0	0.49572764	0	0	0
5		MGL02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	60	64.11782503	0	24.5773226		0.877236947	1.925080456	0.554223359	1.902778819	2.538655698	3.506885841	0	0	0
7		MGL02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	12.35914379	43.11592877	3.427329287		0.187438203	39.15152252	0.396584487	0.148077833	0.165586721	0.186925707	0.225413521	0.280270609	0.355777307
9		MGL02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	23	62.28431463	7.156148553	1.023982838		0	10.56407988	0	0	0	0	15.31394422	0	3.657531738
10		MGL02_01	PM2.5	1.117449469	1.192803778	4.065583912	1.177085747	64	43.40544045	34.33736265	3.540803865		0.668651192	12.54430711	0	0	0	5.50343208	0	0	0
8		MGL02_01	PM10	7.151676602	3.017581393	10.63467501	1.258434784	299	41.25587344	0	0	21.49234414	3.056190535	15.86312652	0	0	0	0	0	13.26707602	5.065390468
12		MGL02_01	PM10	9.163085646	3.415670212	13.40072725	1.55957091	394	45.73712051	6.288385391	6.710860878	22.87487686	1.486757677	0	0	4.712424427	6.954208016	5.235368386	0	0	0
15		MGL02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	33	34.96882319	20.22962719	0		3.901027143	37.78374791	0	0	3.116773069	0	0	0	0
16		MGL02_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	62	79.71673608	0	0		18.1930542	2.090212516	0	0	0	0	0	0	0
13		MGL02_01	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	129	48.42925966	0	0	44.52853203	1.915695518	0	0	0	0	1.393090095	2.088433132	1.644995809	0
14		MGL02_01	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	98	56.18157983	0	1.288754866		0	40.33482373	1.858086325	0.336750154	0	0	0	0	0
17		MGL02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	32	35.36452651	0	0.923726801		0.592470961	15.11159539	30.68385422	10.12298167	2.261834033	4.939008877	0	0	0
18		MGL02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	66.79968834	0	4.755480215		3.329848126	23.48239124	0.226052944	0.15138468	0.169771444	0.19216612	0.23276743	0.290500536	0.369942677
19		MGL02_01	PM2.5	2.011409044	1.600314199	5.410161198	1.158004236	122	38.79005909	0	0	34.379071	3.467511386	0.171993882	5.678690597	0	0	0.50823465	13.43020201	3.57424058	0
22		MGL02_01	PM10	7.59865639	3.110451704	12.98438688	1.76561587	398	42.74843931	0	1.054821908	40.93112648	0	0	0	0	0	3.894016519	6.140829623	0	5.230760202
21		MGL02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	84.61287618	0	0		0	12.10826039	0.296717323	0.317877601	0.35734328	0.405610679	0.493554771	0.61818976	0.789566431
23		MGL02_01	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	61	53.40895653	7.984114438	0		0.907802209	33.28472972	2.346147783	1.676785573	0.147661357	0.181950512	0	0	0.061852497
24		MGL02_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	52	23.75234067	9.887094051	0.271089468		0	10.88410988	0	2.702224068	10.63630432	27.1114856	3.091904148	0	11.66344211
