Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		MGL02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	32.77475536	47.90109992	2.69587636			13.50736171		0.027414408		0.096778362	0.10363895	0.118751987	0.132211123	0.166340009	0.541835558	1.933938079
16		MGL02_02	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	79	31.21871352	11.20518371	0			0.469577033		2.644164115		7.6228939	19.83755231	5.850277096	0	0	21.15164399	0
17		MGL02_02	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	39	32.005319	3.202788159	47.3310709			0		0.032049901		1.124761067	7.764925063	7.119440287	0	1.41964443	0	0
18		MGL02_02	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	34	21.25314921	2.196951956	0			2.094670199		13.4566471		4.881308228	4.898641631	0	0	44.27480102	1.189343631	5.754488334
19		MGL02_02	PM2.5	0.446979788	0.754395348	2.689154571	1.287460114	30	30.66535294	18.78608614	0.074390305			4.786989465		6.755057722		5.828460678	24.89301562	3.764240071	0	2.661284432	0	1.78512577
21		MGL02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	85.23648381	11.48784533	0			0.775170606		0		0.224118144	0.240737246	0.271179504	0.308532943	0.376841519	0.473265816	0.605825661
26		MGL02_02	PM2.5	0.558724735	0.84343964	3.662437092	1.910436406	37	18.72740239	61.64659262	0			11.79082021		7.315963507		0.069639942	0.048110227	0.054049509	0.06126925	0.074399065	0.093045121	0.118702638
27		MGL02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	40	45.3684032	0	0.778525276			0		6.782177091		0	0	7.947585732	0	7.874797285	0	31.24851584
25		MGL02_02	PM2.5	3.464093354	2.100147767	8.208065488	1.547683577	129	38.563326	8.768992871	1.230504178			0.648466777	35.35137475	4.151469469		0	2.360645682	6.104566157	2.820651978	0	0	0
29		MGL02_02	PM10	8.157381124	3.22277834	10.63467501	1.10328529	295	45.94356716	1.693588682	0		16.50267839	1.762574166		23.08956236		0	2.982888371	1.673969254	0	3.272853419	1.091081277	1.987231895
28		MGL02_02	PM2.5	2.793623673	1.88598837	6.940385866	1.372111699	111	0	36.52446568	0.073512632			57.76950121		0		3.946488351	1.686032489	0	0	0	0	0
31		MGL02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	23	55.07615209	0	12.33419329			1.382047404		21.72728479		0	0	0	0	0	0	9.480327368
30		MGL02_02	PM2.5	4.022818089	2.263186044	7.574225677	1.134844151	232	46.72429264	4.30249162	0	39.8286581		0		0.320786447		0	0.284281373	3.731941432	4.807558656	0	0	0
33		MGL02_02	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	69	27.6540637	14.86593485	0			29.72910106		3.162316978		6.419251114	0	0	18.16932559	0	0	0
34		MGL02_02	PM10	9.610065434	3.497987327	11.53105987	1.101037841	422	21.24896497	2.187360264	2.681392618			0.858762395		0	42.3130244	0	2.682253718	2.879020572	2.916703001	0.318084378	2.274329215	19.64010149
37		MGL02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	22	58.01901817	0	11.05398759			1.005991828		0.195398205		25.04029274	0	0	4.68531251	0	0	0
38		MGL02_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	41	7.586259395	27.85926163	0.042220537			64.51225877		0		0	0	0	0	0	0	0
39		MGL02_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	22	73.32553864	0	0			0		18.72624308		0	0	0	0	7.948218286	0	0
40		MGL02_02	PM10	5.810737239	2.72001111	11.08286744	1.682144022	255	41.68025851	0	0	37.56751716		0		0.529153738		0	0	6.683987379	13.06329519	0.475790771	0	0
46		MGL02_02	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	53	51.82019472	0	1.263562124			0.035346986		45.96607685		0.574452942	0.18986807	0	0.036664319	0.044185558	0	0.06965439
45		MGL02_02	PM2.5	3.575838301	2.133752265	10.74342473	2.568607553	204	52.11945772	17.04634428	9.237045795			0.103655295		13.14817369		0	0	0	3.916016594	2.350282669	2.079022117	0
43		MGL02_02	PM10	7.710401336	3.1332392	10.63467501	1.167243858	320	48.77963364	19.75098699	2.426466346	19.494313		0		0		0	0	0	0	0	0	9.548600018
44		MGL02_02	PM10	50.39697105	8.010456696	31.9809227	1.614981977	1620	48.88921678	2.758895978	14.99954015	25.71661174		0		0.342171243		0	1.227839198	0	0	0	4.808589816	1.257137116
47		MGL02_02	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	118	47.15240598	0	0			0.860982109		20.40954679		14.27238286	0	3.738217056	7.611256838	4.108371213	1.846831106	0
48		MGL02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	6.742073596	0	0			0.157670898		0.02424597		1.36916386	62.83515692	25.49095452	0	0	0	3.380731121
49		MGL02_02	PM2.5	1.564429257	1.411344463	4.853219051	1.198102555	95	23.25240821	14.13826942	2.716573142			1.729875803		9.9816598		0	0	0	0	13.92697841	5.515602976	28.73862982
50		MGL02_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	66	47.87989855	3.291298077	0.102750352			0		37.42502034		0	0	0	0.037882285	0.504165608	10.75897887	0
