Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Mo Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	98.07379842	0		0			0.047603669		0		0.168248126	0.180760305	0.203684764	0.231761206	0.283128838	0.355652417	0.455363328
5		MGL02_03	PM10	39.7812011	7.11695148	23.54216423	1.10867694	1769	13.90778422	0	31.01090789	0.119441957			46.31646574		0.745001435		0.138523965	0	0	0	2.463049814	4.57396172	0.724861678
6		MGL02_03	PM10	10.50402501	3.657067134	11.90235464	1.073248181	390	21.6397956	0	28.26538682	0			25.24617314		2.347222343		6.013099849	5.185497925	4.841473326	0.2898162	3.784749657	2.122153714	0.264625484
7		MGL02_03	PM2.5	4.134563035	2.294403878	9.475745111	1.72817317	140	24.57541376	8.621983975		0.113120151			0.908931345		3.488871455	35.6308639	1.460169349	7.329808176	6.064998358	8.002404869	3.803431615	0	0
10		MGL02_03	PM2.5	3.128858513	1.995942481	7.651123341	1.488862589	112	55.06352186	5.573246628		1.472297311			5.048028752		13.05869371		0	0	7.325868309	7.034619898	5.423726887	0	0
12		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	76.49428248	0		0			0.013738575		22.30947167		0.220567104	0.103209529	0.115855038	0.131242443	0.159195124	0.198902516	0.253535202
13		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	39.7455126	0		0			1.548180729		0.046183198		0	15.43984711	40.92756212	2.292717621	0	0	0
15		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	0	76.01123452		0			0.215935963		15.50102234		0.753734028	0.805948954	0.903971028	1.024716441	1.244119368	1.555658597	1.98367089
14		MGL02_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	64	21.94797695	25.82574487		0			21.76067084		15.60711861		0	0	5.921389908	0	5.178859457	0	3.758244216
17		MGL02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	12	0	2.717279643		0.017913053			0.026904841		94.33402419		1.040781662	0.285492721	0	0.287403446	0.341947936	0.420202641	0.528042857
19		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	72.89427519	0		0			0.020875447		26.38558745		0.338986539	0.158720172	0	0.201551127	0	0	0
18		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	36.16639078	32.15551078		1.451652311			0.01421037		28.94061804		0.283550611	0.106620416	0.119487313	0.135150889	0.163518905	0.203874265	0.259409612
20		MGL02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	49	64.49375749	0		0			2.995488979		8.189363033		6.1672654	8.211000264	7.451952994	0	0.288424152	0	2.202761918
21		MGL02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	34	64.77805376	0		0.018247086			0.012260189		34.41004455		0	0	0.106118736	0.119971763	0.144993316	0.180624682	0.229692063
26		MGL02_03	PM2.5	2.90536862	1.923338301	6.492193438	1.154441146	124	0	39.42920864		1.020882092			46.03720903		0		6.834380329	5.642763525	0.355083775	0.680467114	0	0	0
25		MGL02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	35	41.73913002	22.53965288		0.447118003			17.51753986		16.43972844		0.153575186	0.125396554	0.140568987	0.159044762	0.192502944	0.240109675	0.305630825
27		MGL02_03	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	19	17.65776128	0		0			0.011666046		22.43550122		0	0	13.10483217	15.83683044	7.621651888	0.907319784	22.42443413
24		MGL02_03	PM10	20.44932528	5.102635556	16.30738126	1.034855239	651	43.81110668	2.982404083		11.17783263	17.02541262		1.34622464	10.93055978	2.428625152		2.64584478	1.886595041	3.246026486	2.519364469	0	0	0
28		MGL02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	11	0	0		0.425588619			0.089958741		91.49784446		0	0	2.750794962	0.928306486	1.103364676	1.496682316	1.707454771
31		MGL02_03	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	67	0	0		0			0		23.87605458		0	0	37.83253133	38.29141259	0	0	0
32		MGL02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	14	41.68161154	7.074657083		0			42.94942617		0		6.273797899	0	0	0.930677913	0.4211233	0	0.668710331
33		MGL02_03	PM2.5	1.117449469	1.192803778	5.826501571	2.417563991	50	84.76624489	0		11.47974506			0		0.0412561		0	0	0	0	3.712753206	0	0
34		MGL02_03	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	59	53.5399735	23.60319495		0.580944028			1.291531231		16.3046658		0	1.406261232	0.835804641	0	2.437621541	0	0
36		MGL02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	5	85.5720222	0		0			0.837078504		0.117536972		0.416411739	0.446463563	0.510938419	0.570887187	0.724482862	2.363088541	8.441091329
39		MGL02_03	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	27	0	0		58.7887764			0		0		4.339158535	0	3.459073976	15.86205363	3.998947144	0	13.55199069
40		MGL02_03	PM2.5	2.234898938	1.68687928	5.858353627	1.22203435	117	49.52619374	6.031840295		1.965151355			0.922024995		11.93512976		2.809533291	6.357976049	5.903706327	11.33560687	0.632347865	1.297423057	1.283061691
37		MGL02_03	PM2.5	4.358052929	2.35559872	9.104450346	1.513579018	192	78.8498342	0		7.55219534			0		13.59797716		0	0	0	0	0	0	0
42		MGL02_03	PM2.5	2.346643885	1.728536893	5.858353627	1.163842238	122	38.94109428	1.728487387		3.35668996	39.33250606		0		1.268914156		0	0	0	15.37231058	0	0	0
43		MGL02_03	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	68	2.943318151	0		5.273046345			0.005010287		49.38272834		3.806000948	0	0	2.779029123	0.049087056	29.31249142	6.449290365
47		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	0	0		0			0.040138615		95.82755566		1.063293591	0.34423857	0.381500297	0.427132891	0.507948222	0.624109572	0.784082524
44		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	79.03584838	0		2.357408404			0.016752159		17.20076501		0	0	0.423660083	0.157321151	0.191031478	0.312351948	0.304857292
46		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	18.1187883	46.46950066		0.168509921			1.697485149		29.07088399		4.474818707	0	0	0	0	0	0
