Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		MGL03_02	PM2.5	3.352348407	2.065996747	7.574225677	1.361812981	126	34.15096998	0		0		8.818037063	33.22448432	0	1.569765992	0	0	0	6.025860459	16.21089131	0
2		MGL03_02	PM2.5	4.358052929	2.35559872	7.497328014	1.026385858	126	31.24858737	1.543994062		0		21.32546455	26.3107717	1.223125309	0	0	5.764639378	0	4.284976795	0.33091756	7.96751827
5		MGL03_02	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	16	25.49214065	1.119637769		8.894723654		0.040720002		0.013324867	0	0	0	0	0	13.43812197	51.00132823
4		MGL03_02	PM10	24.13690853	5.543651002	21.16060031	1.476265463	1054	47.36345112	4.382217303		5.939819664	27.85846293	0.44179759	11.21960878	0.697574858	0	0	0	0.499395141	0	1.597668603	0
9		MGL03_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	52	68.45043302	0		0		9.661576897		20.95928341	0	0	0	0.272496813	0.217209524	0.193094974	0.245908508
11		MGL03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	55.26811481	0		16.90312624		0		0	0.877532177	0	0	0	24.20368046	0	2.747550048
12		MGL03_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	54	62.24877834	0		0		0		0.2372402	0	11.33157611	0	0	0	26.18240416	0
13		MGL03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	27	69.60573196	0		0		0.02507944		0.042968051	10.64310074	19.68312413	0	0	0	0	0
14		MGL03_02	PM2.5	0.893959575	1.066876133	4.744469332	2.00376849	72	40.2379632	24.99897778		0		4.00784649		0	1.703799702	6.274437904	10.42237729	11.62798926	0	0	0.726601202
15		MGL03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	29	26.29389763	0		1.18279811		0.008002962		18.62270385	11.92493364	16.66757464	15.92737287	0	2.308613248	3.715857118	3.348263353
19		MGL03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	76.08175278	0		19.56646293		0.051014108		0.722356839	0.32232434	0.345746032	0.389003451	0.442078104	0.538960053	0.675974553	0.864334218
16		MGL03_02	PM10	7.375166496	3.06436839	10.18648259	1.119610083	345	6.747668236	0.711529935	45.20086944	1.875106245		40.03986716		2.303509042	2.479899116	0	0	0	0	0	0.641555758
18		MGL03_02	PM2.5	4.022818089	2.263186044	7.126033249	1.004512697	140	33.835271	0		3.321671113	19.92007047	1.033883076		6.085216254	0	3.260585666	0	0	0	18.33247393	14.21083212
