Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	63.27766776	0	2.401889861		1.996036433		0.041073532	0	0	12.51928806	0	5.979198962	10.69874093	3.086112253
2		OC01_01	PM2.5	1.117449469	1.192803778	4.590674005	1.50077349	54	17.46989936	0	6.420635432		59.3378365		0.063178845	0	0	0.248128199	0	2.760169841	13.70015442	0
3		OC01_01	PM10	9.38657554	3.457073787	11.34541249	1.091248192	279	44.95400488	6.129811704	0.706294412		0		25.63777566	7.048594952	10.31092256	0	0	0	1.695345156	3.517251834
4		OC01_01	PM2.5	3.911073142	2.231531534	8.547508198	1.486528535	167	62.01716065	1.566853188	2.185681276		2.63654422		3.739614785	0	0	0	0	1.355096512	4.027030244	22.47203439
5		OC01_01	PM2.5	1.117449469	1.192803778	4.776321387	1.624610762	54	13.61907423	14.91321027	0		13.43293786		7.971583307	1.501620095	0	0	22.69836664	16.79806709	6.144930422	2.920220047
7		OC01_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	27	55.38980961	25.83402395	0		0		0.028148788	7.748635858	7.896760851	0	0	0	3.102628142	0
8		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	40.92198312	0	0		44.47599053		0.094517268	0.320067373	0.341491052	0.972056575	1.010555774	4.050639272	0	7.812698931
9		OC01_01	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	123	29.9878031	0	0.576199079	32.01684058	0		0	3.035555221	12.33183369	6.294060498	7.240021974	8.517687023	0	0
10		OC01_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	37	90.03961682	0	0		0		9.271726012	0.097101135	0.085630472	0.096364686	0.109414628	0.133197103	0.166944112	0
13		OC01_01	PM2.5	3.687583248	2.166835669	6.940385866	1.03947856	120	46.14944756	0	0	44.15883422	1.291657146		0.942940544	0	0	2.113675512	0	1.372052357	2.594548278	1.376842335
14		OC01_01	PM10	6.034227133	2.771825501	9.923937539	1.298782795	217	39.08166587	5.395046994	0	26.2852788	1.087614335		1.012650225	7.864963263	7.042960823	3.954389319	0	8.275426924	0	0
15		OC01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	15	75.8387208	0	0.214199978		0.347446511		0	2.120379359	2.276644669	2.555027604	2.909514494	3.555913642	4.467213526	5.714942515
16		OC01_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	51	61.44195795	0	5.43394275		12.90616691		0	0.490446109	1.295583695	0	0	0	18.43190342	0
17		OC01_01	PM2.5	1.78791915	1.508790696	5.224513816	1.214881794	63	67.62005091	0	0		0.798563752		0	0	0	1.587342843	0	0	7.535920292	22.4581182
18		OC01_01	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	82	25.62249899	14.94879127	7.452762127		2.674618363		5.464603007	0	10.91276854	6.119803712	0	18.56419593	5.77827096	2.461686917
20		OC01_01	PM2.5	4.805032717	2.473450559	9.629540438	1.535694785	131	58.01576376	27.65252292	2.098537795		2.181825601		0	6.43787235	3.464147449	0	0.149323593	0	0	0
25		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	95.82904577	0	0		0.054845616		0.099669176	0.359624159	0.386423781	0.435185386	0.495396554	0.60547539	0.760581437	0.973749068
26		OC01_01	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	99	63.91046643	5.687110871	1.337714773		0		26.52063072	0.665631099	1.494598854	0.099039357	0	0.284802145	0	0
32		OC01_01	PM2.5	0.782214628	0.997971241	3.771186811	1.446839294	37	43.83731484	0	5.107675493		5.157302693		0.025651694	4.405679181	0	0	10.8798936	0	13.70255351	16.88392609
33		OC01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	79.81863618	0	0		0.194895454		0	5.452081934	3.49678956	1.465652045	1.667152345	2.043070644	2.571732923	3.289984167
35		OC01_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	48	30.53825498	30.27026653	0		0		0.028485435	0	0	21.08369619	15.10246843	0	0	2.976827696
38		OC01_01	PM10	6.034227133	2.771825501	9.290097728	1.138175015	199	37.2764349	0	0		0.317079294		27.77133882	0	0.329280249	10.53521782	20.39995044	3.370695561	0	0
44		OC01_01	PM2.5	2.234898938	1.68687928	5.858353627	1.22203435	73	66.16147757	0	0		2.518512867		0	0	0	0	8.535643667	5.163301155	0	17.62106419
48		OC01_01	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	87	47.83665836	0	0		0		0	32.93043077	19.23289895	0	0	0	0	0
50		OC01_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	27	9.134166688	17.67352521	1.18985353		4.424746335		0.484636799	0	0	0	67.09307432	0	0	0
52		OC01_01	PM10	5.922482186	2.746040517	10.71157268	1.541675073	206	67.27243066	0	8.025351912		2.461830154		2.215257846	0	0	0	0	7.051909715	12.97321469	0
54		OC01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	0	16.78720713	29.01065648		0.17816755		0.275924383	0	0	25.54069459	4.445768893	9.88631323	9.819382429	4.05588001
55		OC01_01	PM2.5	4.022818089	2.263186044	8.208065488	1.332727525	122	52.73065567	8.005190641	8.515201509		1.155741047		3.427980095	1.841236465	0	0	0	0.37402343	0	23.9499718
56		OC01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	24	18.0869028	12.67228276	0.157644926		0.010399231		8.394206315	0	0	0	8.620665967	12.63112575	0	39.42678273
57		OC01_01	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	56	44.20361221	27.24842727	26.63407028		0.071651407		0.573788444	0.150963059	0.161819078	0.182058825	0.206715055	0.251589646	0.315315044	0
