Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		OC01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	17	64.25456405	0		9.0751715			4.053400457		0.056770624				0	0	0.235464494	0	0	22.32463509	0
1		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	11	56.81476593	0		0			0		1.09681543				3.808747232	4.080853611	4.567043111	5.19204326	6.331504136	7.950285822	10.15794277
3		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	40.02524316	0		0			0.3234189		0				44.86772716	0	0	6.649700552	3.124506958	0	5.009404197
4		OC01_02	PM10	8.157381124	3.22277834	11.15976511	1.214925058	281	45.13224363	8.249732107		14.16686028			3.499755636		0				11.33405194	0	0	0	0	0	17.61735827
6		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	2	0	26.75867677		0			1.241518091		1.91719979				6.432468444	6.860482693	7.640425861	8.652612567	10.50295159	13.18194419	16.8117106
7		OC01_02	PM2.5	1.229194416	1.251023157	4.590674005	1.364339536	26	44.56252456	0		5.043916032			6.85268268		1.930846274				16.02618992	12.0896548	0	0	13.49419206	0	0
5		OC01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	60	40.02560675	0		8.975373209			0		0.783865992				29.35513854	11.73149943	0	6.828854233	2.299672551	0	0
10		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	0	0		26.24388039			0		1.374479104				0	0	31.39861226	0	10.70242897	22.9429245	7.337675989
8		OC01_02	PM2.5	1.340939363	1.306651072	5.563956525	1.837166224	42	71.47557735	0		1.513132267			12.99496889		14.01631236				0	0	0	0	0	0	0
9		OC01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	13	80.73827028	10.13941243		1.754563674			3.859524056		0.085687259				0.307463785	0.330055086	0.37155305	0.422530342	0.515665952	0.647221738	0.828063581
11		OC01_02	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	39	36.81336045	0		11.51898801			9.433810413		34.28537846				2.440576069	2.543075383	0.405666325	0.45564021	0.549883442	0.684727402	0.868898723
12		OC01_02	PM10	5.698992292	2.693730193	8.470610535	1.001893351	135	22.82072604	18.47960502		50.82321167			0		0				2.825648338	0	0	0	0	5.050816759	0
15		OC01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	0	2.014700882		0.091773854			2.027425915		0.016022255				3.556796536	19.85782832	26.75535083	40.1144743	4.250878841	0	1.314743608
14		OC01_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	13	35.94834805	9.033224732		0			0		10.37822887				0	0	0	0	3.20311971	0	41.43707156
16		OC01_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	48	70.0193584	0		0.235465984			0.108864822		19.5069328				0	0	6.152061746	0	0	0	3.97731103
18		OC01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	34	34.10909772	8.655586094		0.036283338			0		0				1.187818218	3.361818567	0	0	38.93591464	10.81027985	2.903200686
13		OC01_02	PM2.5	2.346643885	1.728536893	8.656257917	2.540992152	44	29.19501066	0		7.505916804			0.627007848		0				0	0	33.24429095	18.89834106	7.253346592	3.276088089	0
17		OC01_02	PM2.5	2.681878726	1.847883667	6.67784082	1.32319279	81	41.01191759	3.539672121		17.18118489			0		0				6.296525896	27.0729363	4.477950558	0	0	0	0.419810181
19		OC01_02	PM2.5	2.90536862	1.923338301	6.940385866	1.319338172	68	22.14525789	0		0.131128589			2.118259296		0.161544885				0	0	25.701195	2.372606844	40.0123626	7.357646525	0
20		OC01_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	15	42.18993485	5.815070122		1.687637158			1.772367395		0.05379066				11.35169417	0	0	37.12950349	0	0	0
22		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	20.16098797	5.232634768		0			0.009433092		0.014580505				0	0	40.92538059	28.26475501	0	0	5.392222106
24		OC01_02	PM2.5	0.558724735	0.84343964	3.739334756	1.991502842	24	58.77091289	29.63982522		0.175679615			0.009350829		10.66758335				0.100880186	0.067766418	0.076216419	0.08649049	0.105217507	0.131778256	0.168316881
23		OC01_02	PM10	6.14597208	2.79737282	11.15976511	1.612536895	177	22.91258126	0		9.877678752			0.183171872		6.439264864				5.468804389	5.835371464	0	0	0	5.030234158	44.25288737
25		OC01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	25	24.23953265	21.01479322		26.0566771			0.263623148		0				18.48845631	8.099712431	0	1.837210543	0	0	0
26		OC01_02	PM10	5.922482186	2.746040517	8.733155581	1.024775579	127	41.8025583	0		9.910256416			0.553327287		5.200895295				0	5.213780329	4.654420912	0	12.79269308	19.87207234	0
27		OC01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	20	8.256240189	0		7.129021734			0.046046646		6.554485112				0	0	0	0	0	78.01421285	0
30		OC01_02	PM2.5	1.676174204	1.46088031	5.487058862	1.429388295	36	62.75818348	0		6.306582689			2.001337148		19.00400072				0	3.139089793	1.496679615	0	5.294132605	0	0
31		OC01_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	19	87.29662299	0		5.618261173			0.031884172		4.715137184				0.210575317	0.225884514	0.254228967	0.288875657	0.352132972	0.441653607	0.564748514
32		OC01_02	PM2.5	1.899664097	1.555225852	6.044001009	1.530249962	54	43.19708347	0		0.568998046			0.173517852		0.267460337				0	0	0	36.12858355	0	19.66435909	0
34		OC01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	19	11.25018299	0		9.980068356			0.007325763		0.011106743				8.272470534	14.40254599	34.25888121	5.123810098	7.993207872	4.15998213	4.540421814
35		OC01_02	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	18	71.35688663	0		0			0.032030436		0				0.190020713	0.207527447	0.851247553	0	27.36228406	0	0
33		OC01_02	PM2.5	4.134563035	2.294403878	7.574225677	1.104172688	176	45.03765106	13.76036406		0	31.18104935		0.136177253		3.306959942				0.017830137	2.538071387	1.806733571	0	0	2.215165272	0
37		OC01_02	PM2.5	3.799328195	2.199421492	8.284963152	1.43768747	134	40.68847299	9.835962206		7.864844054			1.590972021		0.379137066				0	0	12.41237819	27.2282362	0	0	0
36		OC01_02	PM2.5	1.899664097	1.555225852	5.672706244	1.348012472	94	20.4247728	0		1.067425683			1.285785437		0				9.888547659	25.18911362	16.85827076	0	0	24.19642508	1.089669671
40		OC01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	30	0	81.97155595		0			0.263173063		0				13.02229017	1.39155155	0	1.353704277	0.766407	0	1.231319737
41		OC01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	42	21.70375139	21.92788571		0			0.102469721		7.24323988				12.60382086	36.41883135	0	0	0	0	0
43		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	25.91185272	3.530585393		1.244784053			0.009497686		4.380949587				0	0	0	0	2.332164906	2.558942698	60.0312233
46		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	87.70187497	0		10.49479395			0.024085806		0.043344728				0.15591156	0.16737039	0.188502693	0.21432119	0.261516613	0.328255189	0.42002527
47		OC01_02	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	44	0	0		0			0		66.77075028				3.096610121	19.76325363	7.154360414	0	0	1.4195255	1.79550536
45		OC01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	28	0	0		50.90913773			0		0.077694567				32.03816414	13.77856135	0	3.196447715	0	0	0
52		OC01_02	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	84	57.48261213	20.03609091		0.73216334			0.369448098		17.62828231				0.54765013	1.884855889	1.318904944	0	0	0	0
48		OC01_02	PM2.5	0.558724735	0.84343964	2.689154571	1.029968091	25	8.156620711	0		2.692141011			0.010523517		0				3.346556053	19.40757781	25.48305094	38.67265284	2.230873331	0	0
50		OC01_02	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	30	9.00818333	25.22042394		18.29630286			14.48466629		0.041933893				18.90421063	0	0	10.02353281	4.020738229	0	0
53		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	43.05375516	51.87441111		0.272729038			0.064509414		0.115479296				0.414506346	0.445111748	0.501011265	0.570027204	0.696118642	0.873968098	1.118375361
54		OC01_02	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	27	59.317559	3.614852577		4.32488583			2.910465188		6.183199584				0	0	6.707582623	8.798200637	5.744339898	2.398910932	0
56		OC01_02	PM10	6.369461974	2.847779989	11.53105987	1.661214989	231	57.89926052	9.323578328		6.414466351			5.063757673		5.648214743				0	3.448367864	0	0	1.616160944	10.58619171	0
58		OC01_02	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	30	67.60991216	0		0.021580313			0		24.46890324				0	0	0	0	0	7.899600267	0
60		OC01_02	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	27	45.05100548	0		0			0.020649389		0.032849729				0	0.851096958	2.869054489	0.898928568	6.068236753	0	44.20818388
61		OC01_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	42	82.92888999	0		8.482655138			7.111308724		0				0.133129233	0.142777164	0.160698558	0.182547944	0.222435873	0.278927921	0.356622972
62		OC01_02	PM2.5	1.117449469	1.192803778	4.776321387	1.624610762	41	35.19883752	12.796323		0.153765304			0.006733288		3.630404174				30.08109629	15.54349214	0	2.589349076	0	0	0
64		OC01_02	PM2.5	0.782214628	0.997971241	4.033731857	1.65530586	45	95.49670815	0		0			0.059294183		0.10764664				0.388257136	0.417197356	0.469803577	0.534836017	0.653717062	0.821189396	1.051339507
63		OC01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	27	34.80601907	0		0			0.00967346		0.131895265				24.36670363	0	0	26.87542439	12.74205148	1.068228204	0
65		OC01_02	PM2.5	1.676174204	1.46088031	5.038866433	1.205415236	86	63.19900155	19.37972903		2.655225433			2.380146272		7.309586555				0	0	0	3.207556531	0	1.868752204	0
67		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	18	1.252223458	9.729164094		0.487451162			0.017404863		0.026159437				14.4836694	36.67379618	19.64770854	8.983723074	6.006773189	0	2.69193314
66		OC01_02	PM2.5	0.670469681	0.923941834	3.87993653	1.786735369	46	36.48251891	10.64409986		0.281665241			0		0.012382014				0.780444406	1.390538178	2.509316988	2.909361012	0	44.14720535	0.842461549
68		OC01_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	84	51.21122003	2.77200453		0			1.401159167		15.23628235				8.614461124	10.42727977	0	2.311367355	3.737517074	4.288706183	0
69		OC01_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	33	77.04650164	0		0			8.358895779		0.178391382				0	0	6.083176285	0	2.302869782	4.587304592	1.442860998
71		OC01_02	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	54	97.84091115	0		0.87541528			0.01673456		0.0306136				0.110771751	0.118992571	0.134102395	0.152548403	0.186301745	0.23400425	0.299597764
