Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		OC01_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	36	61.09570265	0	37.09665537			0.020093883		0			0.400441373	0.280163786	0.148393284	0.168434298	0.205026381	0.256893854	0.328192604
4		OC01_03	PM2.5	4.134563035	2.294403878	7.465475959	1.072693183	153	53.33858132	9.931308031	2.647733316			2.821693569		7.764893025			0	0	3.690462932	0	1.247624028	0.4767559	18.08094233
5		OC01_03	PM2.5	1.676174204	1.46088031	5.858353627	1.629379133	50	40.30037224	43.48513186	0			0		2.179962024			2.760287188	1.546545327	1.431162283	5.213848501	0	0	3.082687035
1		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	53.75316143	0	0.458478462			0.695489626		1.149905566			3.981824219	4.264588282	4.770928621	5.421919003	6.608733535	8.296854049	10.59812307
3		OC01_03	PM10	33.07650428	6.489554165	33.9593398	2.77452734	1009	54.1954577	0.347881322	3.908058256	19.39908415		0.879997201		11.04916185			0	0	1.717763953	0.308515644	0	3.362876549	4.831208289
6		OC01_03	PM10	11.50972953	3.828138293	14.66840687	1.487616249	415	49.39099252	8.845996857	4.31984514			1.040363312		32.24233985			1.463658828	0.446495041	0	1.440917607	0.809399877	0	0
9		OC01_03	PM2.5	0.670469681	0.923941834	3.322994383	1.310600129	49	45.93447149	0	0.176222844			0.435973937		28.13012898			7.102711499	13.0257681	0	0	2.566386387	1.80980172	0.818529166
8		OC01_03	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	84	29.92172837	0	6.908447295			0.496594002		24.60947484			6.578546017	18.20459962	0	0	13.28061074	0	0
10		OC01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	12	61.21788621	22.96916693	0			0.698495656		0.249319291			6.428401172	0	0	0	0	8.43674168	0
12		OC01_03	PM2.5	1.45268431	1.360005555	4.513776341	1.116089345	92	54.11609411	0	1.47554297			0.004265946		3.900435194			4.448819533	3.951851279	0	11.42748371	0	19.9048534	0.770662772
16		OC01_03	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	35	31.23083115	0	41.49511755			0.02487895		1.241865009			16.78783894	8.861888945	0	0.357584306	0	0	0
13		OC01_03	PM10	9.833555328	3.53842783	11.71670725	1.110940318	448	53.6272347	0	1.382852904	35.84798574		1.283500157		0			2.701335773	4.263865203	0.802112091	0.091124367	0	0	0
15		OC01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	71.85841203	0	0			0.027958996		25.87477863			0.280195777	0.210651034	0.236268737	0.267497124	0.324139325	0.40466045	0.515440339
17		OC01_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	58	44.86814737	0	3.352944553			0		4.522444308			3.340127692	0	0.584267313	9.785292298	0	0	33.54677856
18		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	29	45.26144862	14.66594785	0			0.038118052		27.07414329			7.132547349	5.827787519	0	0	0	0	0
19		OC01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	36	43.77383292	22.25113362	0.11015489			3.001408838		7.744232565			0.821587071	0.321085122	0	0	0	21.97655141	0
22		OC01_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	32	74.12891388	0	0			5.977065489		11.1584805			0	0	0	0	1.261770166	7.473766059	0
21		OC01_03	PM2.5	4.134563035	2.294403878	7.388578295	1.050708578	182	43.43762994	4.567338526	21.3516444			0		12.64899671			0	0	0	15.78454375	2.209843695	0	0
24		OC01_03	PM2.5	2.011409044	1.600314199	5.038866433	1.004512697	71	49.42107499	19.18953359	1.016735192			0		2.315507457			0	24.81696904	0	0	3.240184113	0	0
26		OC01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	30.1995188	5.755933747	1.381691452			0.012654289		11.83467433			0	0	0.482167769	19.08112019	17.84567982	9.561654925	3.844904155
25		OC01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	32	52.96660662	37.97406256	7.596456259			0		0			0.131478847	0.141114055	0.158919045	0.180648081	0.220361003	0.276545156	0.353807188
28		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	75.30285716	0	0			0.250179553		22.84488082			0.221092021	0.148243736	0.166373828	0.188452599	0.228541484	0.285501219	0.363869243
27		OC01_03	PM2.5	1.117449469	1.192803778	4.776321387	1.624610762	45	28.97185087	22.83708006	10.53025201			0.119868107		0.961823482			24.04987365	5.114197358	0	0	3.874701634	3.540350869	0
29		OC01_03	PM10	12.627179	4.009666276	14.70025893	1.361864088	551	48.20915759	6.222471967	0	33.54167938		1.792042144		0			0	0	0.28473977	1.270556822	0	0	8.679350466
30		OC01_03	PM10	5.475502398	2.640383718	9.104450346	1.204685341	174	48.25730324	13.2319659	20.45499235			1.322451606		1.628815383			0	0	0	0	0	2.737521753	12.36694381
35		OC01_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	34	73.9831388	0	0.756272255			0		23.92173111			0.420866348	0	0	0.344164297	0.15469694	0.184286025	0.234840624
31		OC01_03	PM10	7.822146283	3.15586216	10.44902763	1.110749069	213	66.11793041	2.048394084	5.236599967			0.754723093		22.05392718			0	0	0	0	0	3.788424283	0
32		OC01_03	PM10	18.21442635	4.815737525	18.28579835	1.460839457	590	50.93019605	5.726926774	1.88119337	34.07821953		0		1.956781372			0	0	0.666157808	2.048448101	2.71208249	0	0
33		OC01_03	PM10	35.31140322	6.705212522	36.27719961	2.96580552	1009	52.90411115	4.865985364	11.36444062	25.98494291		0.437421491		2.132615447		0	0	0	0	1.857460663	0	0.453018583	0
34		OC01_03	PM10	25.58959284	5.708036575	19.25908088	1.153447611	784	45.39406598	1.988322474	0.005157592		14.89996612	0	15.02606422	11.12730876			2.079235017	0	3.251462802	4.325998574	1.902424358	0	0
36		OC01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	14	43.12572777	38.72726858	13.82595897			0.059540302		0.104869646			0.374218402	0.401470065	0.451676315	0.513411546	0.626110798	0.785401464	1.004352327
37		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	0	63.48092556	1.711140946			0.394950667		0			8.440135419	5.369025469	2.742893063	3.114194982	3.814016283	4.800686613	6.132023409
38		OC01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	6	18.36613119	0	0			0		0			0	39.59881365	39.97160494	0	2.063444071	0	0
39		OC01_03	PM2.5	2.90536862	1.923338301	6.306546055	1.089361538	165	57.01000094	0	2.805883251	32.54453838		0		6.520635635			0	0	0	0	0	1.118943468	0
40		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	52.21154094	34.61649418	0.157112197			0.063946546		0.112295803			0.397352455	0.425945222	0.487394584	0.544460537	0.690289075	2.250787802	8.042377979
41		OC01_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	24	36.22546792	0	26.71614587			0		0			0	1.635635644	11.97639704	0	23.44634682	0	0
42		OC01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	40	68.25580597	0	8.905579895			0.017071029		0			5.124878511	10.22653356	7.470130175	0	0	0	0
43		OC01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	57	48.9103049	16.51267409	0.97912075			3.929577768		1.202138327			0	0	15.27674347	13.18944544	0	0	0
46		OC01_03	PM2.5	4.022818089	2.263186044	7.574225677	1.134844151	151	61.47122383	0	6.655143201			0		6.825045496			0	10.91059968	7.05640316	0	0	7.081598043	0
47		OC01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	46	45.58165073	11.45088598	1.675109006			0		0.186202081			1.433323417	2.254724316	0	0	21.42244428	5.132231489	10.86343378
49		OC01_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	33	71.9416678	0	6.574246287			0.007251973		7.312276959			0.663985033	0.22763568	2.66523771	5.327599123	5.280094966	0	0
52		OC01_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	28	68.40994358	3.055050783	0			2.268545888		0.032228275			0	0	2.335165255	0.747893751	9.9864088	13.16476911	0
53		OC01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	14	48.00932705	49.32090938	0.233091274			0.032432636		0.058473018			0.2104969	0.226028543	0.254561938	0.289531425	0.353460643	0.44376622	0.567921204
51		OC01_03	PM2.5	2.234898938	1.68687928	5.672706244	1.145810601	76	51.45846009	21.6809541	0			7.293837517		16.85150862			0	0	0	0	2.715232223	0	0
54		OC01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	11	0	74.07590747	1.375271939			0.09774866		20.3537479			0	0	0.785372406	0.889643282	1.077263243	1.345045492	0
55		OC01_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	61	29.61964011	0	4.342852533			0.900595076		12.50825375			17.70618707	9.677750617	0	2.056368068	0.071540382	0	23.11681211
57		OC01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	37	47.95199633	49.8354584	0			0		0			0.198521605	0.213175151	0.240099407	0.27308343	0.333387451	0.418576924	0.535700563
58		OC01_03	PM10	6.369461974	2.847779989	10.55777735	1.392619221	192	51.70594454	9.038133919	1.347243227			0		28.30479741			3.259560466	0	0	0.570893707	0	5.773425847	0
61		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	87.51041293	8.99971053	0.026301912			0.045576168		0.082797068			0.298755569	0.320972269	0.361512206	0.411436381	0.502720568	0.631440524	0.808368623
63		OC01_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	24	71.25920057	0	0.08508162			1.000175811		0			0	0.300157303	0	0	0	5.500269681	21.85511142
62		OC01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	21	0	0	6.515353173			1.076516602		0.651941262			9.67143178	16.79533422	39.88546431	5.951803178	9.278938919	4.862397909	5.310818925
60		OC01_03	PM10	30.61811545	6.243732488	22.35138227	1.298435713	780	70.49431205	0	0.592627889			0.156210491		28.12470496			0.632145209	0	0	0	0	0	0
64		OC01_03	PM2.5	2.90536862	1.923338301	6.306546055	1.089361538	136	48.20149541	7.125082612	21.89643979			0		0.861620158			0	0	2.993072197	0	4.060577601	3.896358982	10.96536592
65		OC01_03	PM2.5	1.899664097	1.555225852	6.67784082	1.868036881	95	44.26407814	3.611006215	0			0.429347157		0.631347205			32.34366775	15.93306065	0	2.787491493	0	0	0
66		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	86.15276217	0	8.930011094			0.03050284		0			2.832757309	0	0	0.778827537	0.330226147	0.414523249	0.530395005
68		OC01_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	31	10.24141163	0	40.52174389			0.550750038		8.82865116			22.67294973	1.040552743	6.645232439	9.49870795	0	0	0
67		OC01_03	PM2.5	3.017113566	1.959976608	6.569091101	1.138175015	136	56.47796392	3.363344446	24.51718301			1.409682166		0			14.20535892	0.026465228	0	0	0	0	0
70		OC01_03	PM2.5	2.458388832	1.769213915	5.672706244	1.041646001	103	61.87682152	12.94220835	0.406191451			1.772488281		22.89206684			0	0	0	0	0.110224949	0	0
69		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	66.19282961	1.468037441			8.08698535		0.615817029			2.143020555	2.294656448	2.57141646	2.920534089	3.556374833	4.457985237	5.692338198
71		OC01_03	PM2.5	3.464093354	2.100147767	7.202930912	1.191842992	109	52.86802053	17.81853288	7.408473641			0		15.96866846			1.118997484	1.841026545	1.102042478	1.87423788	0	0	0
72		OC01_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	70	42.9577589	0	19.74330842			0.006471831		0.328332558			0	0	0	0	0	0	36.96412742
73		OC01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	32	45.05926371	32.31156766	10.308218			0.008907222		8.427333087			0	0.061742618	0.905191153	0	0.240180944	0.522583956	2.155016176
74		OC01_03	PM2.5	1.564429257	1.411344463	6.229648392	1.974064222	95	32.90554881	22.15313762	18.15443933			0		0			0	0	0	0	26.78687871	0	0
77		OC01_03	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	30	57.71352053	28.13283801	3.052889742			0.261230394		9.906855226			0.159310724	0.08243951	0.092711858	0.105206703	0.127985294	0.160287216	0.204720558
79		OC01_03	PM10	7.039931655	2.993913722	13.1381822	1.951157169	246	19.12293583	33.35205019	23.16495925			0.71385242		9.36512351			0	0	0.463359337	0	4.97595109	0	8.841767162
80		OC01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	16.80044383	77.30445266	1.420662366			0		0.109542883			0.392224267	0.421017036	0.473801419	0.538854068	0.65766992	0.825406518	1.055934653
78		OC01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	22	70.89042664	17.18273163	1.022059564			0.034372331		10.11695266			0.098572159	0.069761724	0.078473287	0.0890658	0.108379044	0.135766726	0.173441938
81		OC01_03	PM10	6.034227133	2.771825501	10.37212997	1.418745127	216	42.21949875	1.523464639	28.93805802			1.689474098		0.633181771			0	0	1.732821576	0	0	23.2635051	0
83		OC01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	15	72.39157557	0	0			9.822107852		0.578879751			7.038584352	9.65045765	0	0	0	0	0.518398546
84		OC01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	23	19.28934008	32.03247786	0.928121246			6.575423479		9.480182827			16.72037393	14.97407109	0	0	0	0	0
82		OC01_03	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	61	54.57091928	36.58666015	0			0.836562086		7.79594928			0.032419816	0	0.039098546	0.138387596	0	0	0
87		OC01_03	PM10	25.36610295	5.683055988	32.92235317	3.400306958	810	52.40597725	2.768577263	3.698190674	11.80896163		1.62794441		13.30320537			0.561631052	3.151030466	8.22410062	0.974094216	1.476283185	0	0
