Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		OC02_01	PM2.5	0.558724735	0.84343964	3.399892046	1.646351232	53	42.76031256	28.38242352		0		0.00816678		1.677091233			0	0	0	27.17201114	0	0	0
2		OC02_01	PM10	28.27147157	5.999696291	22.64577937	1.443498261	900	51.80284977	0		12.25633472	19.45329905	0.341409817	5.635242909	0.458573783			0	3.049354441	0	0	0	2.386466973	4.616466537
3		OC02_01	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	51	29.1125685	0.656233355		1.466947608		1.182561647		0.01381789			0	10.26345119	19.57272142	20.90120614	0	0	16.83048755
4		OC02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	51	77.12724805	0		0		9.60604772		0			0	0	1.706910133	11.55978963	0	0	0
5		OC02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	60.76106429	3.814799711		11.40681952		0.01090837		0.217694719			0.801793579	2.353671938	5.100314692	7.019042969	8.513893932	0	0
6		OC02_01	PM2.5	2.90536862	1.923338301	7.202930912	1.421043567	107	40.79850614	0		11.94623932		0.305290194		0			2.063948661	1.121086907	0	0	0	22.79669642	20.96823156
7		OC02_01	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	46	70.72223425	0		3.043377399		0		24.66720641			1.233936381	0	0	0.162278628	0.066000241	0	0.104964478
8		OC02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	13	59.11237597	18.65694672		0.031501104		0.008755911		21.02135569			0.158042379	0.065120554	0.073100487	0.082839979	0.113484671	0.676480355	0
9		OC02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	55.87895513	22.84405529		0.10695752		0.047613384		19.81412917			0.2298821	0.115612138	0.129803561	0.147076393	0.178469403	0.223052897	0.284390221
10		OC02_01	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	130	37.73696423	22.60196507		3.327063099		0		2.411041781			0	0	0	14.34965581	0	19.57330555	0
13		OC02_01	PM10	6.592951867	2.89731031	10.71157268	1.384894557	284	65.03610611	10.18879861		0		1.327706408		23.44738543			0	0	0	0	0	0	0
14		OC02_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	63	33.75569284	0		0.7221343		12.02250198		0.014082193			0	7.830104977	9.856434166	35.65848172	0	0	0.140561815
15		OC02_01	PM10	17.20872182	4.680900035	17.65195854	1.440878361	529	65.94468951	0		2.783696726	22.50804603	1.913373731		3.152063116			1.148356684	1.812204532	0	0	0	0.737568736	0
16		OC02_01	PM10	39.5577112	7.096931887	29.10612075	1.704227755	1172	48.52251709	0		4.778680578	20.61457336	0		9.117014706			0	3.039191291	0	0	0.856141839	6.786581129	6.285303831
17		OC02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	55.18846512	38.16051781		3.634643927		0.040389123		0.072523591			0.260658609	0.27985936	0.315116835	0.35839309	0.437484961	0.549190445	0.702753942
18		OC02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	38	0	8.320936561		30.76985478		1.448652893		0.01802264			0.85944254	0	0	10.15271991	32.68219233	11.21404022	4.534140229
20		OC02_01	PM10	10.9510048	3.734066465	12.16489968	1.075358397	368	59.23185945	1.762690395		1.80511456		0		28.76767814			0.449020462	0	1.919242181	0	2.628131397	2.841866203	0.594393723
21		OC02_01	PM10	8.939595752	3.373758561	11.79360492	1.238127601	322	51.66752338	3.55995968		5.010966584	17.0635581	0.664746761		3.314699233			3.375303745	0	0	0	5.55100143	9.79224667	0
22		OC02_01	PM10	65.14730405	9.107586055	32.5060128	1.290687463	2235	44.25715208	7.333497703		12.0461069	24.37016964	0.31877656	6.37337938	1.648256741			1.437999401	0	0	2.214658819	0	0	0
23		OC02_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	70	74.37828779	14.05855268		9.052845091		0		2.51031518			0	0	0	0	0	0	0
24		OC02_01	PM10	24.47214337	5.582015826	20.07856807	1.310942376	712	41.75079763	5.049521476		0.191032898	19.45171058	0		0.946022198		23.64410162	0	0	0	0	0	0	8.966820687
25		OC02_01	PM2.5	4.469797876	2.385607556	8.208065488	1.199454772	127	45.54425478	0.119521876		8.450490236		3.955615312		5.424621329			0	2.060679533	14.68610913	14.96933103	4.789379612	0	0
27		OC02_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	21	0	0		0		42.1255976		1.607446931			5.254967883	5.579629168	6.202469766	6.992335618	8.422940224	10.49771532	13.31689507
29		OC02_01	PM10	11.95670932	3.90176308	13.1381822	1.148812165	322	50.00728369	0		21.07581496		0.273553398		1.328404061			1.037252974	1.232756115	8.675891161	1.710541733	7.107636333	0	7.550872862
30		OC02_01	PM2.5	1.229194416	1.251023157	4.328128958	1.212746254	53	10.84074229	0		2.746453509		0.911901426		40.19680619			0	0	4.02411744	8.247538656	24.96525198	8.067184687	0
32		OC02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	77.3763597	10.09885669		0		0.020539516		0			3.359120712	0.18032951	0	0.178735459	0.999793876	5.096750706	2.689512819
33		OC02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	67.82411337	0		0		23.72682244		0.137288973			0.47924011	0.512635289	0.575181097	0.652325107	0.794027001	0.993074384	4.305300862
35		OC02_01	PM2.5	2.681878726	1.847883667	6.67784082	1.32319279	109	37.14851141	27.58363485		10.31417772		0		1.519515645			16.50369465	3.854290023	0	3.076181561	0	0	0
36		OC02_01	PM10	17.32046677	4.696073171	18.5483434	1.580668504	568	52.16593742	6.198566779		4.370376468	22.04188854	0		11.2904191			0.269331899	0.927297678	0	0.605842611	0	2.130335197	0
37		OC02_01	PM10	11.95670932	3.90176308	15.03970164	1.505417312	538	54.34297919	2.618941665		0.912830885	39.13086951	0		0			1.34897856	0.060785929	0	0.778147951	0.806482229	0	0
