Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		OC02_02	PM10	45.92717318	7.646979343	29.0742687	1.464664044	1280	55.98091483	0	4.450116679	13.01830709	5.525785685	0	19.07012016		0	0	0	0.301908934	0	0	1.652839407
2		OC02_02	PM10	6.034227133	2.771825501	8.656257917	0.988163615	248	44.520697	0.447961828	18.36755574	28.0072093		0	0.118723034		0	0	5.445288122	3.092564084	0	0	0
3		OC02_02	PM2.5	1.340939363	1.306651072	3.956834194	0.929130466	88	15.78314155	22.85592109	1.407794841			2.883857861	0		0	0	0	0	0.476035662	49.08604026	7.507202029
5		OC02_02	PM10	6.14597208	2.79737282	11.34541249	1.666633602	300	47.83819318	0	0.566700101	37.22238541		0.156909064	0.366302114		0	0	5.594213307	2.193911374	2.025561593	3.384012729	0.65180813
6		OC02_02	PM10	19.22013087	4.946901118	18.91963817	1.482038372	754	48.92641902	1.812452264	3.995037079	38.19353878		0	2.317926101		2.703430131	0.766035449	0.805960875	0	0	0	0.479194662
7		OC02_02	PM2.5	4.022818089	2.263186044	8.841905299	1.546505468	101	47.72586823	5.957095325	0			0.345866545	11.53487265		0.246266532	0	0.457755616	1.881403662	9.192851186	8.77796486	13.88004273
9		OC02_02	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	47	45.28445303	0	1.542168576			5.632131547	11.9093053		0	0	21.62516862	14.00677115	0	0	0
10		OC02_02	PM10	46.37415297	7.68410082	27.46714636	1.294616772	1617	46.36055827	11.28543764	11.40233502	16.94633514		0	0.627873419	13.37745935	0	0	0	0	0	0	0
11		OC02_02	PM10	40.33992583	7.166755807	38.33251437	2.898609124	1258	53.3656776	8.006729186	4.692950472	27.75965035		0	3.272004053		0	0.493496191	0	0	0	2.409490198	0
12		OC02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	33.52426589	0	7.391369343			0.52247718	14.3827945		0	0	5.413045734	10.48414931	0.53561856	19.72304583	8.023227751
13		OC02_02	PM10	56.09596335	8.451248359	29.52246112	1.236413232	2141	52.28195786	1.563104615	3.554332256	40.13056457		0.210806564	1.272620168		0	0	0	0.986610819	0	0	0
15		OC02_02	PM2.5	1.340939363	1.306651072	5.487058862	1.786735369	82	34.19008553	0	16.80178046			2.209640294	0		0	0	21.82683647	14.92210329	1.18496744	3.384022415	5.480559915
17		OC02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	9	57.09522963	37.91044652	0.105172652			0.042883432	1.730464213		0.279876799	0.300448597	0.338252238	0.384657551	0.469448091	0.589226745	0.753884716
18		OC02_02	PM2.5	3.017113566	1.959976608	6.67784082	1.176171369	129	54.13511395	1.4841903	4.510998726			0	33.72299373		0	0	0	2.204211801	0	0	3.94249633
19		OC02_02	PM10	14.63858804	4.317224708	16.19863154	1.426420595	666	49.45945442	8.553890139	1.814521663	39.97343183		0	0		0.198699674	0	0	0	0	0	0
20		OC02_02	PM2.5	0.558724735	0.84343964	3.322994383	1.572720155	43	38.66872787	7.320709527	0			0.536741922	6.197962165		0.887106638	2.803320065	22.3892957	4.906101897	7.758107036	5.201912299	3.330007195
21		OC02_02	PM10	9.498320487	3.477590725	17.12686845	2.457532335	325	53.42267752	0	0			0	0		7.498271763	6.372020394	0	0	0	22.03347534	10.6735602
22		OC02_02	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	53	41.07820988	12.49959692	1.045787521			0.244917558	0.008301551		5.360305682	1.169024501	0	5.72277084	0	0	32.87108839
23		OC02_02	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	92	44.67701614	30.35312295	1.338685397			3.739986569	12.57181466		3.718277812	2.463020571	0	0	0	1.138076559	0
24		OC02_02	PM10	10.50402501	3.657067134	12.61309211	1.205251064	374	35.28890908	2.283845469	11.67745292			0	0.260708341	24.94587898	0	0	0	0.809720345	11.70639396	8.736871928	4.290224984
28		OC02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	0	4.197314382	0.10108503			2.409703285	44.36467588		3.62039879	0	0	40.71457386	0	2.429487929	2.162761055
29		OC02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	23	0	0	0.312087242			1.488763373	10.72362661		0	0	0	87.47552633	0	0	0
30		OC02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	33	36.03306711	16.51528627	7.798133045			0.012535237	0.020633193		0	0	0	39.62034881	0	0	0
31		OC02_02	PM2.5	1.45268431	1.360005555	5.487058862	1.649294187	79	27.73033679	14.23090696	9.581725299			0	0.027969442		1.737200841	14.89045471	18.75848323	1.566386595	2.747276984	1.177594252	7.551661134
32		OC02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	44	38.75826299	6.502394378	1.909945719			0.004310837	4.449673742		14.73380625	0	16.19297117	9.958902746	6.147374213	1.342356857	0
33		OC02_02	PM2.5	2.011409044	1.600314199	5.858353627	1.357815944	71	58.20745826	4.802130535	2.095287107			0	10.53941622		1.291015558	0.92353737	0.357390568	0.632713037	0.762814516	9.786018729	10.6022276
34		OC02_02	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	152	60.76901555	14.43000138	20.70701867			0	0		0	0	0	0	0	0	4.093966261
35		OC02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	32.53103197	0	0			2.463985607	0.025288569		21.08589262	43.89379323	0	0	0	0	0
36		OC02_02	PM10	22.57247927	5.360986219	17.49816322	1.079433269	690	68.97185445	1.855331287	7.179067284	13.66357803		0	8.3301723		0	0	0	0	0	0	0
37		OC02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	44	37.28720844	0	0.005669143			0	0		1.682069153	2.726652101	0	0	0	25.46188533	32.83651769
38		OC02_02	PM2.5	3.687583248	2.166835669	7.388578295	1.178067194	132	35.77225208	0.667794794	0			0	0		19.47969794	3.878064826	0	0	0	0	40.20219743
39		OC02_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	40	30.74569404	0	5.355310068			4.085718468	11.32458076		13.38586062	10.74619517	0	0	0	8.668711782	15.68792611
40		OC02_02	PM10	11.73321942	3.865125995	15.48789406	1.626888099	396	31.97744191	7.332746685	4.714537039	9.473017603		1.174078975	1.123137213	28.79788578	3.729949147	1.904202439	0.235892367	0	3.448937833	3.891849518	2.196343243
41		OC02_02	PM2.5	4.134563035	2.294403878	7.75987306	1.158963483	192	54.19567823	4.006678984	12.37670407	22.69857675		4.841138422	0.952368788		0	0	0	0	0	0	0.928841624
42		OC02_02	PM10	6.034227133	2.771825501	9.443893055	1.176171369	253	62.90538311	0	0.827400107			0	35.31713188		0	0	0	0.164088246	0	0.78599276	0
43		OC02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	29	34.43186879	2.352517657	3.510126099			1.455567777	0.016564033		10.78735515	26.79023445	12.84485161	6.179954112	0	1.630963944	0
44		OC02_02	PM10	14.5268431	4.300715184	16.5699263	1.504042277	524	60.02159715	3.424967453	0			0.040855465	32.706967		0	0	0	0	0	0	3.80561091
45		OC02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	34	44.34651136	0	0			0.008920325	30.77133596		0	0	0	20.08815557	0	3.089055791	1.696021669
46		OC02_02	PM2.5	2.234898938	1.68687928	5.301411479	1.000726211	106	57.00621009	21.89657837	15.08946866			0.88729756	3.318050504		0.097313593	0	0	0	0	1.705081947	0
47		OC02_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	34.07328129	0	6.09783195			4.825174436	10.01440287		0.091038825	0.771464128	2.340877056	0.750788394	4.955954105	0	36.07918322
49		OC02_02	PM2.5	2.90536862	1.923338301	6.67784082	1.22140873	80	67.24951863	0	6.719239056			0	8.994972706		0	0	0	11.17552817	0	0	5.860741809
50		OC02_02	PM10	10.83925985	3.714966255	15.96793855	1.871924004	404	38.61424327	7.185264677	12.16781586	14.78304714		0.694991555	0		0	0	0	2.20152121	0.759090437	0	23.59402329
