Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
3		OC02_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	67	49.22026992	7.490473986			14.5596981		0		0					17.13585556	5.450551212	1.572831906	2.994724177	0	0	1.575595327	
1		OC02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	28	0	0			0		61.38107777		0					3.618396446	3.839914501	4.272020608	4.812357947	5.785647407	7.188162208	9.102428705	
2		OC02_03	PM10	28.71845135	6.046938724	22.94017647	1.458218582	916	30.27822077	1.9590782			1.244224701		0		2.481141314		55.93274236			0	0	0	5.623920634	0	0	2.480673604	
6		OC02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	57	49.8729527	17.66559482			8.318056166		0.00639342		0					0	0	0	0	0	7.427298278	16.70970619	
7		OC02_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	78	72.26982713	0			19.70021725		0.571487984		0.7498133					1.0032285	2.098472789	1.334953588	0	0	2.271997184	0	
10		OC02_03	PM10	6.592951867	2.89731031	10.89722006	1.43331509	190	59.22658443	0			0.083422649		0.359509699		19.89688724					3.793339431	0	0	0.487760408	1.347978041	12.19095886	2.613572776	
5		OC02_03	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	159	44.68000829	0			3.494569659	32.82395303	1.973300613		0					0	0	0	0	0	0	17.02816933	
9		OC02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	41	32.34836459	32.46986568			1.31150838		0		5.508661643					3.04898452	21.78805023	0	0	0	1.471924968	2.052633464	
12		OC02_03	PM2.5	3.575838301	2.133752265	8.361860816	1.556030599	130	33.62113237	2.550250106			16.10381752		0		2.89871823					7.104944438	19.99885589	0	0	0	1.517079491	16.20519906	
8		OC02_03	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	35	38.72969747	2.376683056			1.245052554		0		0.567104295					0	0	5.4475151	4.499545321	23.02209139	15.70040584	8.411911875	
11		OC02_03	PM2.5	2.011409044	1.600314199	5.301411479	1.111918013	59	0	0			0		0		6.96156621					7.201838493	16.55472964	6.828126311	15.87572992	0	30.40207028	16.17593765	
13		OC02_03	PM10	15.30905773	4.414985582	25.48872927	3.377054303	605	52.46393681	6.379757077			8.926962316	23.75562191	0		0.262249308					0.645089522	4.649518803	0	0	2.916873619	0	0	
15		OC02_03	PM2.5	1.117449469	1.192803778	3.771186811	1.012787506	100	42.18286872	0			1.165551599	29.51318026	0		0					0	7.706798613	8.537242562	5.707145482	2.17091497	0.167193334	2.849098854	
17		OC02_03	PM10	11.06274974	3.75306947	14.51461154	1.515436986	347	49.46343005	13.09349388			2.978933789	13.99592608	0		0.244792714					0.146965031	4.422302544	4.097225517	0	0	11.55693233	0	
14		OC02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	0	0			92.74196029		0.121369341		0					0.654962799	0.698933844	0.782773737	0.885814335	1.072495244	1.338212844	1.703472622	
18		OC02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	23	29.64112461	0			20.44137269		0.008281087		0.175399892					0.844443496	35.1983875	13.69099319	0	0	0	0	
16		OC02_03	PM10	18.43791624	4.845191852	16.30738126	1.147748538	529	58.86679292	0.159396813			2.893715352		0.544765405		31.404531					0	0	0.500701834	0	5.630092323	0	0	
19		OC02_03	PM2.5	3.017113566	1.959976608	7.126033249	1.339350262	124	28.24985087	13.76337111			15.98772258		0		1.471970975					6.690943241	6.208070368	0	0	0	0	27.6280582	
20		OC02_03	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	45	16.18503779	11.45125479			2.111986093		0.004084362		4.878921062					0	0	0	0	1.588909142	13.63098025	50.14882684	
21		OC02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	7.085014135	20.92042118			22.59647846		0.029029313		0.248540938					0	49.12050962	0	0	0	0	0	
25		OC02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	22	41.79233313	29.60762978			3.114786185		2.661706321		0					6.280772388	11.57454252	4.779793695	0.188441877	0	0	0	
26		OC02_03	PM2.5	1.340939363	1.306651072	5.858353627	2.036723916	76	27.47994661	0			4.043303058		0.002442011		0					5.659011379	12.15443984	23.32784534	6.144789979	13.18759322	8.000621945	0	
24		OC02_03	PM2.5	4.134563035	2.294403878	8.208065488	1.296707862	181	39.69765604	0			0	46.05997801	1.792943478		0					5.436135828	0	0	7.01328665	0	0	0	
27		OC02_03	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	129	41.29824936	11.35685295			0.084596412	36.86985075	0		0.048782953					5.587135255	4.754532129	0	0	0	0	0	
29		OC02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	81.69981837	0			0		0.009087403		17.45922118					0.199569389	0.067626237	0.075984321	0.086146517	0.104642229	0.130892894	0.167007279	
30		OC02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	38	55.62848449	11.98688373			19.85996515		1.649073698		0					1.527734194	4.434407875	0.962970778	3.950487077	0	0	0	
31		OC02_03	PM2.5	2.123153991	1.644166543	6.120898673	1.404232505	77	54.51800823	0			4.953436553		0		22.27451205					0.029510554	0	0	0	0	18.22452992	0	
32		OC02_03	PM10	12.06845427	3.919953216	17.01811873	1.909684335	301	40.63775837	0			0		0.209223758		1.00357132		56.99770451			0	0	0	0	1.151733007	0	0	
34		OC02_03	PM2.5	4.469797876	2.385607556	11.08286744	2.186787229	190	42.79686213	13.82533908			1.778559759	28.7569046	0		9.765689075					3.07664983	0	0	0	0	0	0	
