Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
6		OC03_01	PM10	10.9510048	3.734066465	12.98438688	1.225121216	359	19.34754252	0	0		0	1.667025685	68.08081865	0.364114181	2.011250891	3.424504772	5.104742944	0	0	0
1		OC03_01	PM2.5	0.558724735	0.84343964	3.399892046	1.646351232	31	30.46613038	0	0		0.077175413	41.65707231		16.06854945	0	0	0	0	11.73106283	0
2		OC03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	49.4849354	0	0		0.211793534	0		30.41802049	19.88524944	0	0	0	0	0
3		OC03_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	15	64.55864906	0	0		0.014805654	0.024978776		3.558607027	0	0	31.4501673	0	0	0.39278809
8		OC03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	57.85491467	40.67160785	0		0.019468235	0.035284663		0.127276173	0.136673974	0.153979275	0.175111729	0.213760836	0.268399203	0.343529927
5		OC03_01	PM10	6.48120692	2.872651902	12.42744473	1.896260198	235	46.98768556	7.719209045	0		0.588059379	20.97599953		2.53090281	0	0	0	2.013746463	12.24322468	6.941176951
9		OC03_01	PM10	6.816441761	2.946008012	14.85405425	2.575860973	225	73.66666198	0	0.628298195		0.786813535	9.030666947		0	0	0	0.449820654	15.43774009	0	0
13		OC03_01	PM2.5	1.340939363	1.306651072	4.513776341	1.20909679	51	52.98920274	0	13.35451603		0.010420939	5.262449384		0	0	0	0	0	24.14818704	4.235223308
12		OC03_01	PM10	9.498320487	3.477590725	11.71670725	1.150149976	244	61.96056604	0	8.959197998	16.30907208	2.731208503	2.529374883		0	0.265587773	6.613658369	0.63132951	0	0	0
14		OC03_01	PM10	5.475502398	2.640383718	9.290097728	1.254315323	176	37.15603352	10.02213061	1.106613316		0	0		0.78957174	5.79700619	11.05629951	5.987771228	6.010518223	1.163810678	20.91025114
16		OC03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	34	0	0	0		17.7346006	0.029258884		0	41.09489918	33.88881981	0	0	2.443978004	4.808440059
11		OC03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	63.48080039	0	0		17.36240238	2.039584704		0	0	7.268137485	0	0.191916444	9.657157212	0
17		OC03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	18	0	0	2.036645077		18.10948402	0		0	0	12.89512813	0	7.995317131	3.284265846	55.67916632
18		OC03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	4	22.40873128	37.57264316	0.557895983		35.7501179	0.095842988		0.330821145	0.35332269	0.396152958	0.448506512	0.543430541	0.678425189	0.864117779
21		OC03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	23	57.31495619	0	0		0.013312907	0.022088691		0	0	0	42.64964163	0	0	0
20		OC03_01	PM2.5	2.123153991	1.644166543	5.410161198	1.097056644	85	51.73768997	0	0		1.526029035	3.394896165		0	0	1.423589699	0	0	15.92624485	25.99155009
19		OC03_01	PM2.5	2.90536862	1.923338301	7.651123341	1.60339048	90	41.95740521	28.34724486	0		0	1.248272322		0	0	0	0	0	28.4470737	0
23		OC03_01	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	44	30.81753552	5.993476883	0		5.326132849	0		0.569364103	1.786346175	0	0	22.86944687	11.51022241	21.12746686
26		OC03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	4	0	51.59412622	1.956470311		0.726385461	1.178290043		4.0498171	4.332674295	4.843252897	5.498938635	6.694467366	8.400379866	10.72517931
24		OC03_01	PM2.5	2.681878726	1.847883667	8.022418106	1.909684335	94	32.19685853	4.998898134	0		0	3.044541739		6.691154093	18.56750548	19.47060078	4.225607216	0	2.878028713	7.926797867
27		OC03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	1	0.565382	0.965761114	1.403357275		1.784281246	2.616509609		8.58822912	9.128549695	10.12908667	11.43606156	13.83787692	17.38564372	22.15926647
22		OC03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	75.09493828	0	0		0.449070614	22.85427451		0.221128459	0.148209638	0.166333141	0.188403786	0.228476664	0.28541449	0.363752595
25		OC03_01	PM2.5	1.340939363	1.306651072	5.410161198	1.737006354	51	2.825221233	56.47990108	0		0.257379143	0		28.29726338	0	0	12.14023381	0	0	0
28		OC03_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	16	14.03648257	0	0.349786016		48.73360991	1.005410776		3.332697228	3.544032201	3.948841989	4.457754642	5.378418416	6.702385843	8.510575444
32		OC03_01	PM2.5	2.90536862	1.923338301	8.022418106	1.76278554	105	57.6865077	9.358403832	1.56976115		1.263558958	1.718659513		0	1.146041043	6.821038574	12.87656575	2.729633637	4.829827324	0
30		OC03_01	PM2.5	2.793623673	1.88598837	6.754738484	1.29968861	77	32.27458894	0.036627104	4.20743376		0	0		19.91714686	12.61372715	0.526112225	4.390002415	0	21.76827043	4.266091436
35		OC03_01	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	18	9.234083444	0	0		34.5051229	0.066371687		13.56965005	0	0	42.62477458	0	0	0
31		OC03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	24	54.55574393	9.477768093	13.82138729		21.53933346	0		0.196974957	0.179834967	0	0.228957459	0	0	0
34		OC03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	19.62683797	10.6143266	1.377076656		0.379489851	0.038805482		0	0.061056076	1.357588079	0.352982734	5.016373098	0	61.1754477
36		OC03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	23	55.34043312	1.033974811	0		24.45630133	0.029760782		0	0	9.074055403	0	3.061527759	6.4814426	0.52250661
38		OC03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	46	15.82109183	3.902372718	3.656925261		0.203583366	0		6.970862299	0	0	0	0	9.847078472	59.59808826
37		OC03_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	19	31.24305308	20.31855583	0.1853097		9.641281515	0.021962303		0	0	0	0	0	33.05859864	5.53124398
39		OC03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	41	11.80855036	34.50737	5.468896776		0	0		0	0	2.065026574	6.86243996	18.62253398	0	20.66517323
40		OC03_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	10	40.43875635	56.51693344	0.329709332		0.125099323	0.063060928		0.22678962	0.243500085	0.274207187	0.311855995	0.380672142	0.477883732	0.611529918
42		OC03_01	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	37	0	45.77812254	0.283331703		0	11.59897894		0	0	9.709748626	26.90021992	0	4.843152314	0.886456203
43		OC03_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	44	53.98259163	0	6.845077872		0	0		17.94459075	10.30829996	0	10.91943607	0	0	0
41		OC03_01	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	81	73.26551676	0	0		7.194307446	0		0	0	0.756864948	2.477172762	0	16.30614251	0
46		OC03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	43	90.74782133	0	7.261171192		0.059223373	0		1.616903767	0	0	0.314884074	0	0	0
45		OC03_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	57	79.30755615	0	6.119095907		0.866114814	0.864598714		0	0.42231977	5.781143904	0	0	0	6.639173627
44		OC03_01	PM10	16.64999709	4.604284387	28.70297393	3.937583415	502	52.59875655	8.215778321	2.155293524	25.99730194	1.51679581	1.83393769		0	2.805503272	1.596263424	0	0	1.102550887	2.177828923
47		OC03_01	PM10	7.375166496	3.06436839	13.9576694	2.102055225	311	35.24438143	18.45291853	2.674157359		0	10.2443777		0.288181845	0	0	0	0	6.816621125	26.27936304
48		OC03_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	29	77.65743136	0	0		0	1.867874712		0	0	0	11.88131496	2.83699967	5.756379291	0
50		OC03_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	27	52.82960534	10.41760966	2.670729905		0.013443439	0		1.579743437	0	1.30702192	1.026186626	5.93030788	1.556583308	22.66876698
49		OC03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	0	13.30827773	0.899652205		0.027200615	0.040358579		0	16.02555364	4.945154116	0	46.36715949	14.95679617	3.429850936
51		OC03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	38.89125884	0	0		0.018251206	20.65707296		3.023558855	10.58650017	10.28172299	0	0	0	16.54162258
53		OC03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	0	0	38.77113163		0	0		0	0	0	0	0	61.22887135	0
52		OC03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	32	88.35548162	0	11.64451614		0	0		0	0	0	0	0	0	0
54		OC03_01	PM2.5	2.570133779	1.808976496	5.93525129	1.090718373	88	61.79773211	0	10.87235659		0	2.005583234		11.71597838	13.60836178	0	0	0	0	0
55		OC03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	26	21.54616565	12.97320873	1.345129963		0.094733958	0.015376831		0	1.712696254	0.061692193	0	44.46133673	13.81202191	3.977647424
56		OC03_01	PM10	7.93389123	3.178324096	16.60177836	2.764477865	213	45.81180811	0	19.97377723		0	7.285053283		0	0	0	0	0	26.92936361	0
58		OC03_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	65	61.61499619	0	6.17708005		0.303919404	0		16.39971137	12.60377765	0	1.092517469	0	0	1.807991974
60		OC03_01	PM2.5	4.022818089	2.263186044	7.574225677	1.134844151	134	60.07948518	25.01921356	8.261623234		0	5.487114191		0	0	1.152563747	0	0	0	0
59		OC03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	87.1588707	0	0		0.029887911	4.010402784		0	0	0	1.632863097	0	7.167971134	0
