Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		OC03_02	PM2.5	4.022818089	2.263186044	7.651123341	1.158004236	152	46.88822329	24.64833707		12.48233691		2.42054835		6.539729983		0	0	3.956801444	0	0	0	3.064019419
1		OC03_02	PM2.5	4.246307982	2.325202624	8.208065488	1.262583971	160	43.75397563	7.704737782		8.390321583	18.91530156	0.617484935		1.98931396		6.900544465	2.225247025	0	5.021223053	0.756318821	0	3.72553505
4		OC03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	50.19020438	35.34920812		3.488463536		8.850383759		0.052427349		0.186706299	0.200177357	0.225216802	0.255792448	0.311580393	0.390591566	0.499248458
6		OC03_02	PM2.5	0.335234841	0.653325536	2.317859807	1.275308684	28	50.34419894	21.34840786		0.077932409		2.217571437		18.7411949		1.893235371	4.448055476	0.639145402	0	0	0	0.290256087
8		OC03_02	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	34	9.842406958	4.87758331		0		0		0		61.16343141	17.0526728	0	7.063916326	0	0	0
7		OC03_02	PM10	14.63858804	4.317224708	16.90936901	1.554339023	441	54.72013354	12.27437854		2.283890732	13.36648017	2.281562984		5.005490407		3.258223459	3.61340791	0	3.082728758	0	0.113717443	0
9		OC03_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	16	56.57572746	23.24883044		0		0.042744452		16.9283703		0.291396165	0.311761233	0.350091397	0.396921905	0.482067326	0.602929294	0.769149559
11		OC03_02	PM2.5	0.446979788	0.754395348	2.951699618	1.551124184	33	93.60665083	0		0		0.018562502		2.555426024		0.122401759	0	0	0.282777939	3.155982122	0.258202339	0
10		OC03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	29.50783372	10.28028578		0.038071017		0		34.33760107		15.13749063	0	0	7.680419832	3.018294275	0	0
12		OC03_02	PM2.5	2.011409044	1.600314199	6.754738484	1.805123069	65	20.05975395	0		0		0.311329681		11.44023612		10.66814736	13.08202893	19.74423975	17.88115352	3.524097055	0	3.289011866
14		OC03_02	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	68	13.32845837	16.38328135		30.48821092		0		0.283388793		0	0	27.18251348	12.33414486	0	0	0
13		OC03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	22	60.60509682	0		2.913617715		0		1.217269525		0	0	0	0	0	35.2640152	0
16		OC03_02	PM2.5	1.78791915	1.508790696	4.699423723	0.982950097	88	46.35174572	20.15690655		0		0		26.90835595		0.125787046	0.459214114	0	0	2.665822953	0	3.332164511
15		OC03_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	28	65.48793912	0		6.110910699		0.32698724		0		0	0	0	0	0.335030793	27.73913145	0
20		OC03_02	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	94	48.60279858	21.16736323		6.913751364		1.185050979		2.462373488		1.840270497	0.828264933	0	0	6.388062239	10.6120646	0
19		OC03_02	PM10	8.492615965	3.288333086	12.08800202	1.369171019	264	82.84652829	0		9.492189437		0.736853806		5.102789775		0	0	0	0	0	1.821641997	0
17		OC03_02	PM2.5	3.017113566	1.959976608	6.306546055	1.049014815	129	34.81857479	3.097280674		23.68548959		0.329013588		0		1.403146796	10.21972224	18.12355518	0	0	5.423770845	2.899442054
18		OC03_02	PM2.5	0.558724735	0.84343964	3.431744101	1.677343577	20	99.87431169	0		0		0.125689013		0		0	0	0	0	0	0	0
21		OC03_02	PM2.5	1.229194416	1.251023157	4.590674005	1.364339536	43	45.613572	0		0.509685278		0.015497259		26.99428499		0.240555475	0.311942119	1.662258804	3.144972399	3.971029818	0	17.53620654
23		OC03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	54	48.52596819	3.168892488		0.240692333		1.291000284		0.013304985		0.082436716	0.39121923	2.292345278	2.110121027	5.481009185	0	36.40302718
24		OC03_02	PM2.5	2.123153991	1.644166543	8.438758479	2.669105599	101	51.97318792	0		0		0		1.864557527		0	0	5.485823378	0	19.14064139	21.53578997	0
26		OC03_02	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	56	57.13400245	15.59876949		15.11712968		1.678376831		0		0	0	0	0	7.02598989	3.445731848	0
25		OC03_02	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	77	57.69020319	0		5.058864132		3.527764231		0.009638078		2.060730942	2.445942909	5.384634063	9.593615681	0.932264049	8.556043357	4.74030152
