Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		OC03_03	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	68	57.92704225	8.335726708		0			6.545566022		8.387121558		0	2.710150369	15.80350548	0	0	0.290880469	0
3		OC03_03	PM10	18.99664097	4.918055968	16.78742574	1.180542239	710	61.1661911	0		8.057060838	12.32856736		0.717061851	6.11580871	5.904183537		0	0	0	0	0	0	5.711121857
10		OC03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	47	8.718375117	10.73546186		1.485628076			0.623293873		8.248398453		3.699902818	0	33.22863281	1.42585868	0	31.83444142	0
11		OC03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	78.82796526	0		0			0.019215586		19.64963526		0	0	0.160840643	0.394904334	0.318157207	0.276547624	0.352735422
13		OC03_03	PM2.5	4.246307982	2.325202624	7.202930912	0.972292967	141	74.12904501	0		9.501171112			1.823166013		4.668722674		2.094236761	1.575054787	0	1.993739791	0	0	4.214863852
14		OC03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	0	1.361622475		0.03478454			51.19785666		0.098556676		5.634259805	4.464657605	3.556639329	17.18371511	0	0	16.46789759
16		OC03_03	PM10	14.86207794	4.350055787	17.04997079	1.556531378	379	58.74637961	0		4.438479245	14.79636282		0		4.765715078		7.542213053	1.163618173	0	0	3.629463539	4.917764664	0
18		OC03_03	PM10	29.27717609	6.105477734	27.46714636	2.050633437	758	42.20562577	0		3.315067664	26.71344578		0		2.599702589		11.97801977	4.699991271	0	2.162984572	0	5.414966121	0.910189282
19		OC03_03	PM10	9.945300275	3.55847574	12.35054706	1.220519228	375	47.1632272	13.23191673		3.594692796	26.18870139		0.873506814		0.224409439		0.610268069	0.060576829	2.40903832	2.038104273	3.605558351	0	0
20		OC03_03	PM10	26.14831758	5.770014902	39.26075128	4.690980167	640	64.70257044	0		0			0		5.199287832		7.018125057	0	0	13.50913346	0	0	9.570873529
