Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		PD01_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	28	43.57482195	0	9.598407149		6.998314708		0.073669589	0.073655869	0.161172939	0	0	0	33.59109163	5.928866565
2		PD01_01	PM2.5	2.123153991	1.644166543	5.410161198	1.097056644	73	27.28273869	7.726646215	9.703674912		0		11.33942753	0	0	13.08866292	16.46886319	9.137266129	3.967180103	1.285537612
7		PD01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	29	78.2792151	0.398222078	16.39425904		0		4.269732907	0	0.187315908	0.231947983	0.239313394	0	0	0
8		PD01_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	37	43.92810762	21.90980464	0.120296027		1.428753138		1.967710257	0	0	0	0	0	19.99134868	10.65398082
13		PD01_01	PM10	8.939595752	3.373758561	11.9792523	1.277414022	311	42.68864691	24.17631745	3.754913807		23.94911051		1.708991826	0	0.430823257	0	2.955217659	0	0.335974479	0
12		PD01_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	33	8.533608168	50.04813075	29.58937883		0.059588352		8.482322097	0	0	0.442967843	0.502094999	0.609323056	0.761506939	0.971075706
14		PD01_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	36	0	7.363005728	50.05418658		0.031349692		0.048762868	10.19265279	0	0	32.31003284	0	0	0
11		PD01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	0	12.32603043	24.41317141		19.66293901		0	25.11321902	0	0	13.16976249	5.314881727	0	0
19		PD01_01	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	33	9.401669353	7.135912776	0		0.302107353		0.020117636	11.76146045	28.21338177	18.37333441	13.76132965	11.0306859	0	0
25		PD01_01	PM10	7.486911443	3.087496027	10.97411772	1.28004922	191	23.47956598	22.48089612	2.511118166		11.46039069		0	19.15852427	12.04401925	2.523963526	6.341524422	0	0	0
24		PD01_01	PM10	9.833555328	3.53842783	14.59150921	1.722979052	322	59.14190412	22.93844372	0		1.444470882		4.596281052	1.408962067	3.879862651	6.214675307	0	0	0.375402509	0
22		PD01_01	PM2.5	0.558724735	0.84343964	3.322994383	1.572720155	60	69.15830374	0	0		0.009769431		1.12709906	29.70482409	0	0	0	0	0	0
27		PD01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	67.11015105	10.92992276	0.548462896		0.029216512		0	11.15911007	10.2231212	0	0	0	0	0
26		PD01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	63.79809976	15.19886851	17.0445621		0.054387515		0.095997192	0.34279942	0.367773254	0.413810834	0.470360974	0.57360488	0.719552534	0.920178089
28		PD01_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	25	0	54.09682393	2.975477651		0.069756102		0.273488369	18.44209731	0	0	0	0	24.14234579	0
29		PD01_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	27	40.05964398	0	0.112026872		0.085749797		0.014149855	1.181568671	3.475078568	0	0	40.95768929	11.3406837	2.773411013
30		PD01_01	PM2.5	1.229194416	1.251023157	5.487058862	1.949165857	53	44.78028119	0	10.25077105		0		32.88346827	0	0	2.81447731	0	9.271001816	0	0
31		PD01_01	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	21	44.15971935	0	40.7138437		7.525713742		0	0.691144215	0.739435293	0.829807296	0.941101089	1.14350142	1.430615131	1.825111732
