Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Cl Wt%	Ca Wt%	Ti Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		PD01_02	PM2.5	3.24060346	2.03127164	6.754738484	1.120421215	151	59.41275954	0		16.16209447	0.118125614	0.099985604		0	0	0	4.381050169	14.28999454	5.535989627	0
2		PD01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	28	61.59183383	18.08553338		9.124962986	0.015680669	0		2.24058833	4.865427315	0.118575781	0.45583942	0	3.501557559	0
5		PD01_02	PM2.5	0.670469681	0.923941834	4.296276903	2.190763626	58	0	22.05933928		11.94671392	8.280585706	31.72379136		0	7.981592417	17.36851782	0.63946913	0	0	0
9		PD01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	0	0		2.707920223	0	0.024711099		1.965697296	5.764786527	0	0	66.5669322	18.33736449	4.632591456
10		PD01_02	PM2.5	2.681878726	1.847883667	6.306546055	1.180141667	94	49.2120266	0		0	0	0		0	1.228172984	10.35642847	22.61802852	0	16.58534408	0
11		PD01_02	PM10	7.486911443	3.087496027	12.13304763	1.564686172	254	32.58364201	5.880882964		0	2.153697982	0	46.05564475	0	0	8.015270531	5.28322719	0	0	0.027630874
14		PD01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	29	76.40773654	0.293233874		7.107611746	0	0		0.567689911	0.964660291	0	0	0	0	14.6590665
12		PD01_02	PM2.5	4.69328777	2.444520318	11.79360492	2.358338288	156	67.26911068	15.67662358		6.997697055	4.43889387	0		0	2.992984466	2.624700405	0	0	0	0
15		PD01_02	PM2.5	1.564429257	1.411344463	5.487058862	1.531487459	84	41.82801247	0		0.473131239	0.686526764	7.051957399		6.307693571	21.56637609	0.978073571	21.10822946	0	0	0
13		PD01_02	PM10	12.18019921	3.938059332	15.59664378	1.589271338	441	47.02056944	0		0.332908262	0.544639444	11.78056672		0	0	10.93285233	0	10.54777876	9.72648859	9.114193916
16		PD01_02	PM2.5	2.570133779	1.808976496	6.044001009	1.13105432	102	36.81395352	0		7.459954172	0	9.815104306		10.68707779	10.03476754	17.09223092	5.834832415	0	0	2.262075432
17		PD01_02	PM2.5	4.134563035	2.294403878	10.44902763	2.101417157	150	67.19161272	0		0	5.044895038	0		1.13687655	0	0	0	0	26.35256052	0.274062459
18		PD01_02	PM10	10.7275149	3.695767335	13.69512435	1.391306997	334	21.22097611	0	32.39771426	0.189484877	29.33144867	0		5.619769543	3.363934904	0	0	7.647104561	0.229567988	0
