Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		PD01_03	PM2.5	2.793623673	1.88598837	6.306546055	1.132936	117	38.13202381	0.879588351	15.81902057		0	0	0	6.391437352	11.4778176	27.30010748	0	0	0
2		PD01_03	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	20	0	25.04079342	0		0.173678959	0.039256559	0	7.762081176	46.28841877	20.69577575	0	0	0
3		PD01_03	PM2.5	2.793623673	1.88598837	7.01728353	1.402685419	118	35.85998118	3.722986579	7.074957341		0.99109048	0.666203955	0	15.73484242	23.63028824	0	3.083516657	2.404431999	6.83169961
4		PD01_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	29	72.57626653	0	0		0.040631401	0.816521607	0	4.611442238	2.391744778	0	2.888043039	16.67535752	0
6		PD01_03	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	53	41.53542817	2.654194459	15.6281665		0.137850712	0.905322004	32.99178779	0	0	6.147253886	0	0	0
7		PD01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	20	92.15837717	0	0		0.079654175	1.950622164	0.521275308	0.559849618	0.630081072	0.717035728	0.8758788	1.099790353	1.407434326
11		PD01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	13	88.0615294	0	6.551459432		0.072223076	0.129542989	0.465153856	0.499553978	0.562275155	0.639819494	0.781489443	0.981238484	1.255718805
9		PD01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	56.4976275	35.34411192	3.497707099		3.650456667	0.024708378	0.088650791	0.095120765	0.107115076	0.12172116	0.148408301	0.186195003	0.238164235
12		PD01_03	PM2.5	2.793623673	1.88598837	7.202930912	1.47788531	94	58.37678313	2.066201903	13.00866008		0	1.494451333	0	0	0	5.900625885	0	19.15328056	0
13		PD01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	82	44.13443208	1.320665888	22.98200428		0.042243837	0	1.142350398	3.708137944	0	0	23.10865223	0	3.561510146
14		PD01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	64	38.22928667	4.078992456	8.039540797		0.00400913	0.179388619	0	0	11.53491437	37.93387115	0	0	0
16		PD01_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	51	64.87413049	29.43050861	0		0.094943424	0	0.848100521	0.869143475	0	0	0	3.883177787	0
17		PD01_03	PM2.5	3.687583248	2.166835669	7.388578295	1.178067194	184	50.43419003	4.1994147	0	30.08550704	0.212683738	3.439252079	0	0.463839946	0	0	0	5.648845807	5.516255647
18		PD01_03	PM2.5	1.564429257	1.411344463	5.224513816	1.388436336	54	39.32011127	55.80764413	3.008755669		1.693455316	0.170038128	0	0	0	0	0	0	0
19		PD01_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	20	27.401039	46.03914022	19.41479743		0	4.74056229	0	0.206287205	0.702052517	0.263154833	0.320030935	0.400903635	0.512031047
20		PD01_03	PM2.5	1.005704522	1.131593022	4.405026622	1.535383284	63	34.80212986	9.986370057	0		0	0.013533766	13.03359866	17.42154807	16.37534052	0	1.611210965	0	6.756259501
22		PD01_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	17	66.25079513	0	0		0.023170064	0	0	0	0	0	0	6.98306486	26.74296498
21		PD01_03	PM2.5	0.446979788	0.754395348	2.874801954	1.471357183	23	60.58790088	17.48109758	9.613443911		0.197153166	0.108769315	0.384682324	0	0	0.886029378	9.930788726	0.810143724	0
