Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	0	0		1.594073698		69.49674487	0.80909878			2.637851052	2.798268385	3.114334308	3.506523743	4.210923612	5.223336443	6.608842313
3		PD02_01	PM2.5	0.893959575	1.066876133	4.296276903	1.643072719	62	60.5156064	0		0		0.509050861	1.885777712			0.550466124	0	0	15.260607	12.16436327	9.114134312	0
2		PD02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	13	13.23245764	0		0.017938585		0	0.035347044			0	0	0	0	0	18.28921884	68.42503548
5		PD02_01	PM10	5.363757451	2.613302144	8.656257917	1.111684066	178	67.02515483	0		0.450564967		0	21.2899223			2.671170235	0	0	2.890272252	0	0	5.672916025
7		PD02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	21	58.8132143	0		0		0.012304973	13.17106336			4.076348245	2.008049376	3.342510387	7.207119465	0	1.611557603	9.757825732
8		PD02_01	PM2.5	0.670469681	0.923941834	3.694289147	1.619842392	28	32.58595169	53.15358639		0		0.017181487	0			0	0	0	0	0	14.24328685	0
9		PD02_01	PM2.5	4.805032717	2.473450559	8.022418106	1.065870327	168	52.18635798	4.933007434		19.75982785		0	4.589560628			1.092037931	13.40733469	0	4.031870514	0	0	0
10		PD02_01	PM2.5	4.246307982	2.325202624	7.574225677	1.075115512	130	49.98258352	0		0		5.042113736	0			2.045642585	2.037576772	2.751535736	3.723221272	0	28.6177814	5.79954721
12		PD02_01	PM10	5.363757451	2.613302144	8.841905299	1.159879101	149	52.01936364	0		9.867282212		2.826414257	0			0	0	0	24.82048124	0	4.403177276	6.063282862
13		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	10.27107239		7.159522176		0.092967844	16.12930298			0	0	14.64575827	0	4.532242566	7.790400088	39.37873542
17		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	0	16.85297936		13.04096282		4.779327288	0.436005322			0	5.938559398	30.94488382	11.28769517	0	0	16.71958566
16		PD02_01	PM2.5	3.687583248	2.166835669	7.388578295	1.178067194	112	85.70919633	6.592252105		0		0	7.698556781			0	0	0	0	0	0	0
15		PD02_01	PM2.5	1.340939363	1.306651072	3.956834194	0.929130466	54	0	35.99039614		61.34294868		0	0			0	0.285885599	0.32088717	0.36365937	0.441260543	0.551580265	0.703376299
18		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	2.486047149	0		0.231318641		0.033720169	0			0	0	0	1.577353477	0	24.77414161	70.8974123
19		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	0	28.94779444		0		19.42197382	0.156484323			9.81323868	16.81263596	0	0	0	24.84786808	0
20		PD02_01	PM2.5	4.134563035	2.294403878	7.651123341	1.126706824	151	66.93421602	0		1.170252636		2.796378545	18.59772056			10.50143093	0	0	0	0	0	0
23		PD02_01	PM2.5	1.564429257	1.411344463	5.301411479	1.429608873	70	40.13450742	15.21524042		9.096744657		0.59438264	0			0	0	0	0	2.187166363	0	32.77196288
21		PD02_01	PM10	6.48120692	2.872651902	10.63467501	1.388617693	228	34.54933465	4.481608421		0		1.117431559	0	37.42042482		0	0	0	3.267350048	10.66807061	3.672009334	4.823767766
27		PD02_01	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	92	60.8117044	27.41831243		9.179896861		0.842410326	1.632376574			0	0	0.053977955	0.061311974	0	0	0
25		PD02_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	52	48.68241251	16.06257111		1.100001391		2.040140517	7.164224982			0	5.51295206	13.43007982	6.007618457	0	0	0
29		PD02_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	68	42.47719646	0		28.23701799		4.247385263	0			0	0	0	0	8.433768898	16.60462916	0
31		PD02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	40	75.12600422	6.579943001		1.594287716		1.184550393	8.370835334			1.135599706	3.59159857	2.417187579	0	0	0	0
30		PD02_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	58	31.86403811	0		17.36060977		1.247666683	0			0	0	15.79752266	0	0	0	33.73016715
32		PD02_01	PM10	17.8791915	4.771215113	21.26935003	2.013495655	599	56.07693195	4.759777337		7.329915464		0	11.28715649			1.526583079	4.693249241	5.013108999	0.988920685	4.869855195	0.136093504	3.318393603
28		PD02_01	PM2.5	3.575838301	2.133752265	7.651123341	1.302754765	167	30.35076261	11.20645776		1.541323215	40.3316766	0	0			0	4.075650126	6.9069691	3.558104858	2.029052563	0	0
34		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	48.52511287	19.44647729		2.223441191		0.016520231	0.027918644			0	0	9.906841069	0	19.85369772	0	0
35		PD02_01	PM2.5	2.458388832	1.769213915	5.595808581	1.013596872	73	61.77122593	0		0.964526832		0.949601177	0			0	0	1.309272088	0	1.095549669	33.90983045	0
37		PD02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	41	30.1009208	27.06153095		7.587180287		0	1.455772948			7.945719361	0	0	0	14.21486288	11.6340071	0
39		PD02_01	PM2.5	4.805032717	2.473450559	9.290097728	1.429336066	176	49.48937893	0		1.138054114		1.942656748	27.371943			0	6.55695349	4.205464572	4.373678938	0	4.921861738	0
36		PD02_01	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	82	31.76831603	4.690028355		1.296243165		0.004010521	0			0	10.55062413	4.260035232	11.76879928	0	14.5472616	21.1146757
38		PD02_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	43	55.07486463	11.79166511		6.604509056		0.006413279	13.55986893			2.53970474	0	0	0	0	4.779542983	5.64343147
40		PD02_01	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	64	0	12.79122233		3.209002689		0	13.54123652			0.99307932	0	0	0	0	14.61637765	54.84908223
41		PD02_01	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	113	12.58424222	0		0.662941998		0	0			0	21.52395844	18.42798591	0.039210918	0	37.67744303	9.08421278
43		PD02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	45	30.60361147	16.27001762		0		0.548697449	1.363074314			13.83030117	34.26416516	0	0	0	3.12014129	0
44		PD02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	12.67755032	3.7553031		0		0.010460761	11.2795867			24.03042316	19.9631542	0	0.074904948	0	1.638267189	26.57034695
46		PD02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	26	18.28113496	23.03349227		6.457855552		0	9.264182299			0	0	0	0	0	15.77907652	27.18426287
47		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	38	0	3.566895425		0		1.059477497	0			0	0	0	0	0	36.59684956	58.77677798
45		PD02_01	PM2.5	2.123153991	1.644166543	5.93525129	1.320343293	75	67.49928594	0		0		0.754153589	20.99780738			1.61730051	0.706558395	0	0.569063844	0	0	7.855840027
48		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	0	36.86676919		8.274316043		4.095132276	16.55603349			0	0	28.392452	0	5.815300718	0	0
50		PD02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	32	23.71328473	12.83252388		6.258163601		0	0.387732312			0.572397932	1.183351222	0.680767326	0.343572884	0	45.74751258	8.280690759
49		PD02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	0	0		52.96515822		0.801500678	1.232596673			4.141529649	4.415079951	4.924343154	5.572794378	6.751630455	8.444286883	10.75108498
51		PD02_01	PM10	6.369461974	2.847779989	9.552642774	1.140077728	244	32.96068013	1.178834029		0		0	0		55.51947951	2.623955533	5.092017353	2.625026554	0	0	0	0
52		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	55.08929491	0		0		0.095079845	37.03233004			0	0	2.656991035	0	1.182059105	2.21976079	1.724493876
54		PD02_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	22	73.9829421	21.99578583		0.043906932		0	0.080698769			0.29028689	0	0	0.410549343	3.19583565	0	0
61		PD02_01	PM10	5.475502398	2.640383718	9.366995392	1.27516615	176	33.00718367	2.864893712		3.911067173		0.106769707	5.360580236			15.85116237	18.93607974	3.703416884	0	0	16.25885218	0
62		PD02_01	PM10	7.486911443	3.087496027	10.0008352	1.063065396	267	47.31522799	18.33932698		9.730640054		0	2.822971717			8.337010443	5.264689028	0	0	0	8.190128207	0
