Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		PD03_01	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	52	31.07793331	14.27402347		7.872319221			0.506752823	0.128912972		0.627123984	1.24639608	2.01141797	2.151395194	0	33.75427127	6.349454075
5		PD03_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	41	28.34067047	0		6.045529246			0	0.01710786		15.54834694	21.11595273	19.80795711	0	2.440477163	1.840574294	4.843390733
6		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	70.43806911	0		9.597275406			0	0.12408148		0	0.464854622	0.846259482	0.594844064	1.99174732	7.300540805	8.6423181
7		PD03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	37	35.60346067	43.70399117		15.13280421			0.071067951	0		0	0.100790197	0.239702174	0.128722459	0.266101537	0.662140874	4.091216996
9		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	57.64482617	22.86226004		0			17.27616191	0.118853943		0.189909397	0.203429372	0.228711078	0.259559276	0.315765361	0.395456841	0.505063683
10		PD03_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	36	100	0		0			0	0		0	0	0	0	0	0	0
11		PD03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	23	82.0843935	0		0			0.016814462	16.78625047		0.138024939	0.104189897	0.117073685	0.132750499	0.161275093	0.201763446	0.257466151
13		PD03_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	48	49.74193871	0		0			0.073577755	0.01151838		22.13037908	24.97239709	2.957569435	0	0	0	0.112611183
14		PD03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	77.11305022	0		2.58682929			0.045664844	0.079290889		3.143581748	2.617269568	0	4.456655681	0	0	9.957650304
15		PD03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	33	79.96217608	0		12.87505478			0.048181525	0		2.66862344	1.67685952	0.369057013	0.419433368	0.51260097	0.644128956	0.823886413
17		PD03_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	28	68.46924424	0		27.45178342			0.304780249	2.095939778		0.151670678	0.162539352	0.182820403	0.207550405	0.252644857	0.316559733	0.404470274
18		PD03_01	PM2.5	1.117449469	1.192803778	3.956834194	1.114956559	53	28.8654387	0		18.41046214			0	4.501284659		0	0	25.37234128	22.68636823	0	0.164105243	0
20		PD03_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	31	69.21334863	0		27.81536281			0.031028056	0		0.738199288	0.461361511	0.232906896	0.26451638	0.32236143	0.404232927	0.516685843
21		PD03_01	PM2.5	3.017113566	1.959976608	6.754738484	1.20341538	121	46.52583003	0		5.785799772			0	4.894949868		0	0	2.16500666	3.270694986	17.6679194	0	19.68980134
23		PD03_01	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	28	64.96719718	2.270559967		15.9017548			0.843789335	1.414772868		1.434811577	1.237417758	0.796096958	4.017366841	0	0	7.116226852
24		PD03_01	PM10	10.50402501	3.657067134	13.06128454	1.29242744	373	19.5680663	0		0.752416579			0.410228781	1.005588658	50.29131174	0	0	1.276837941	0	0	9.050019085	17.64554083
25		PD03_01	PM10	6.592951867	2.89731031	11.9792523	1.73208681	172	58.78373384	10.43803915		10.31458005			2.76411213	4.177545011		1.298540458	0	0	0	2.529108897	0	9.694342315
26		PD03_01	PM2.5	3.24060346	2.03127164	6.754738484	1.120421215	147	45.06469667	5.258766934		19.23826635			0	4.21516113		0	0	0.314597413	0	0	25.90850294	0
