Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		PD03_02	PM2.5	1.45268431	1.360005555	4.776321387	1.249700586	57	42.17057526	9.267982841	0		0	18.85803491			0	0	6.246236712	18.23855191	0	3.476953879	1.741663553
3		PD03_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	17	54.43169475	34.49476361	4.565113783		0.02647799	4.558006302			0.173444091	0.186002208	0.209315377	0.237774896	0.289719505	0.36327173	0.464420067
6		PD03_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	34	78.91585231	0	0		4.973821715	8.804123849			4.873945937	2.432247438	0	0	0	0	0
5		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	0	0	56.36821389		37.57738471	0			0.561632821	0.597637147	0.667805457	0.753815332	0.908809714	1.130134333	1.434569061
4		PD03_02	PM2.5	1.564429257	1.411344463	5.224513816	1.388436336	79	24.86283332	0	0		0.820766576	36.04826629			0	0	4.363059253	18.54272038	7.69501552	2.968933992	4.698412865
8		PD03_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	34	0	13.87735605	10.89095399		1.161521114	0.970617589			0	0	0.312680542	0	50.981462	16.91605002	4.889363796
9		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	54.0247798	0	0.06070963		4.337884113	0.615908112			2.508867905	21.69414312	16.75770134	0	0	0	0
12		PD03_02	PM2.5	1.564429257	1.411344463	5.224513816	1.388436336	75	66.11108184	0	0.200218405		1.682453789	19.36232895			0	0	0	0	4.62885797	6.596822292	1.418236177
11		PD03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	26	8.788686246	0	23.1835261		0	0.048022214			25.70826411	21.55465484	0	0	7.812194526	12.31450886	0.590143679
13		PD03_02	PM10	20.0023455	5.046560935	17.99140125	1.28777263	755	47.16231525	10.6747821	9.800127149	18.04864407	1.8888494	1.509537082			0	0	0	0.984067656	5.230595171	0.006708638	4.694380239
