Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		PD03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	27.77485847	7.184093446			2.463748865		0	0.019826027	1.139187161	0	0	11.55275181	36.24373674	9.920939803	3.700854629
2		PD03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	39	50.97643137	0			0		0.680884765	0	0	0	35.69989204	12.64278591	0	0	0
3		PD03_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	60	11.17925644	1.352643035			0.299871829		6.381364912	27.11900175	36.15165651	17.51619279	0	0	0	0	0
4		PD03_03	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	66	40.67632258	0			11.12016216		3.944228217	0.008193542	0	0	0	0	0	6.061596796	38.18949163
5		PD03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	33.9656502	54.74456549			8.74267444		0.034673815	0.061578531	0.220482447	0.236582453	0.266309734	0.302701467	0.369173335	0.463177776	0.592427887
8		PD03_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	77	29.68615592	30.64458072			0.40728231		3.133655712	1.172627602	0	0	0.958743971	0	0	19.69967037	14.29728121
9		PD03_03	PM10	8.827850805	3.352606261	11.08286744	1.10723404	259	30.75642586	8.374033868	26.35237873		0		18.70775968	0.109061622	3.757132962	6.712056696	0	0.951395184	3.23654823	0.972708128	0.070505944
12		PD03_03	PM2.5	3.128858513	1.995942481	6.569091101	1.097525907	176	70.0412333	0			12.53538579		4.454162717	0	2.436880022	0	1.088324375	9.444009513	0	0	0
13		PD03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	0	35.43396592			1.240247115		0.030957078	43.70515645	0	5.083680898	3.86082679	0	10.64516753	0	0
14		PD03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	29.01367843	0			0.005791966		0.932789128	0.012893919	0.905015133	1.961287856	2.945038304	2.880944125	0	43.20882857	18.13372374
15		PD03_03	PM10	22.57247927	5.360986219	17.83760593	1.121718812	748	51.46320462	0		10.60457528	9.786405414	16.87253863	0.532451691	0.196173624	0	0	0	0	0	10.54464877	0
16		PD03_03	PM2.5	2.458388832	1.769213915	5.858353627	1.110940318	86	16.65007472	25.86073577			1.492951345		2.331626043	0.018711595	6.761416793	46.88448906	0	0	0	0	0
18		PD03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	27.39444673	0			13.15177381		0.014278071	17.23746806	0	0	0	13.03263903	11.22521684	17.94417351	0
21		PD03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	65.53446054	0			4.05683592		0.339235365	0.052040518	0	0	0	0	0.955862738	29.06155288	0
22		PD03_03	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	61	38.13201487	0			0		10.15186533	0.545847788	0	0	0	7.423529774	40.58087766	0	3.165862709
24		PD03_03	PM2.5	2.346643885	1.728536893	5.487058862	1.02099164	118	47.88256288	0			0	32.25770891	0.866531581	0	0.120167807	1.096562482	4.720826447	3.775085136	0	4.506693408	4.773863778
25		PD03_03	PM2.5	3.687583248	2.166835669	7.836770723	1.325325593	115	13.36285025	10.07280201	36.9314909		0		9.561192244	0	14.9683401	6.980798393	3.691279888	0	4.431246594	0	0
27		PD03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	44	43.71493161	0			0.003669795		0	1.32536646	0	0	0	0	0	8.040554821	46.91547155
28		PD03_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	57	58.26640725	31.9960624			1.627364568		0.107191759	5.597499758	1.724971645	0.680507254	0	0	0	0	0
29		PD03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	26	55.64433336	0			3.32881324		0.022324178	0.036670303	0	0	0	0	0	40.9678638	0
30		PD03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	51	65.40265083	14.98297155			16.89475924		0	1.414533332	0	0	0	1.305086818	0	0	0
31		PD03_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	76	38.18717003	20.19266039			10.34325287		0	3.578194231	0.531569822	0	0	5.083739012	16.02777839	4.409548268	1.646088623
32		PD03_03	PM10	7.039931655	2.993913722	9.475745111	1.014958846	248	53.37388515	0			14.92783278		0.310269068	14.68233913	9.288453311	0.418053241	0	0	0	6.99916333	0
34		PD03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	3.106466308	0			0.01347027		6.854596734	0.024616058	23.77555817	66.22529626	0	0	0	0	0
35		PD03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	47.72277474	2.479435503			10.2685757		1.194070559	9.462485462	0	7.21681416	15.73848724	3.872520477	0	0	2.044835314
36		PD03_03	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	53	5.634365603	50.65222383			0		35.84527373	0.026482102	1.769792847	2.820843086	0	0	0	3.251026571	0
37		PD03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	72.14053869	25.97097754			0		0	0.045765622	0.165204809	0.177438371	0.199904735	0.227397308	0.277681486	0.348715088	0.446380535
38		PD03_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	54	70.81551552	21.98293507			4.63216342		0.69200201	1.482227258	0.035531717	0.038129964	0.042950691	0.048807755	0.059513317	0.074678095	0.095536537
39		PD03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	30	25.31483173	13.80096972			1.738050953		0.008118853	0	3.52191925	0	0	14.95530903	0	18.32485348	22.33595103
40		PD03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	57	59.21979547	4.995841905			2.867295593		0	0.017115334	0.317176641	0.919426698	1.165306009	0.524240918	0.916422624	0	29.05738056
41		PD03_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	12	61.69221997	7.189726084			28.95734608		0.030217165	0.052727293	0.187546352	0.201052497	0.226178789	0.256860536	0.312835095	0.392121635	0.501161022
42		PD03_03	PM2.5	2.346643885	1.728536893	6.940385866	1.633466308	87	63.80526423	0			20.49804628		0	0.079917978	4.080529884	4.330063239	0	0	0	7.206181437	0
43		PD03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	43	71.93439007	0			0.746717071		0.558174774	26.30318403	0	0	0.112467876	0.060588075	0.073384057	0.094452378	0.116643973
44		PD03_03	PM2.5	1.229194416	1.251023157	4.513776341	1.31901468	69	63.42957616	0			28.91402245		2.51462739	1.675209776	0.55553182	0.454110699	0	0.767311314	0	0	1.689614728
45		PD03_03	PM2.5	1.117449469	1.192803778	4.405026622	1.381844955	49	44.17712688	34.56862867			0.966831483		0.786320306	7.855962962	0	0	0	0	0	5.484456196	6.160677224
47		PD03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	69	45.9967792	18.63374561			1.506232005		0	0	19.14117932	2.733831853	0	0.344012468	0	3.896657005	7.74756819
48		PD03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	17	35.08280218	0			7.420738041		1.822362281	0.061394303	0.370742637	0	0	0	0	21.38838321	33.85356963
49		PD03_03	PM2.5	1.676174204	1.46088031	6.197796336	1.823667193	86	75.75287223	0			0		0	0.332308607	0	16.23874456	7.676076144	0	0	0	0
50		PD03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	67	39.62962627	2.490105666			19.95048672		0	2.652996965	5.482329428	9.511563927	14.05037791	0	0	6.232515723	0
51		PD03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	7.780236006	18.75029206			0		0	0	0.041009672	0.944723189	0	0	0	4.111393541	68.37233901
52		PD03_03	PM10	5.810737239	2.72001111	14.48275949	2.872509912	247	46.55674696	7.967380434			2.771837264		2.077185921	10.3151843	0	0	10.15856788	8.285975456	0	8.858520538	3.008605354
53		PD03_03	PM2.5	1.005704522	1.131593022	5.038866433	2.009025393	49	53.28571796	6.812293082			0.82182344		3.751171753	15.03014416	0	0	0	0	1.906175353	4.533530027	13.85913789
54		PD03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	53	27.9817611	0			7.767985016		1.399186533	2.114531398	6.48104921	8.548500389	0	0	0	0	45.70699632
55		PD03_03	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	94	0	3.167203814			0		0	5.043334886	36.2716347	0	0	1.255760621	0	54.26207185	0
56		PD03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	31	53.14363241	0			0.569299655		0.006630723	0	0	0	4.409680143	0	5.136893317	2.384443395	34.34941173
57		PD03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	32.59189129	0			0		0.02230644	0.035401317	0	66.74279571	0	0	0	0	0.607611332
58		PD03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	46	62.18730211	30.16417325			0		0.276113278	0	0	0	4.004684836	0	0.670543406	1.884597167	0.812594965
59		PD03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	48	33.60169232	0			2.853496745		0.005518671	7.038654387	2.1453036	11.65625229	15.72397351	23.70024472	2.520098537	0	0.754767889
60		PD03_03	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	42	43.81287694	3.305323422			10.67063585		0.008145242	0	0	22.71182239	15.50516188	0	0	0.593382213	3.39265503
61		PD03_03	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	58	40.30210674	29.73654568			0		0.00705842	0	1.107051317	1.038798969	2.997931466	5.809476227	4.79292348	0	14.20810372
62		PD03_03	PM10	16.76174204	4.619709168	17.46631116	1.448349484	525	53.25297117	12.2340709			13.79784644	18.74752343	0	0	0	0	0	0	0	0	1.96759142
63		PD03_03	PM2.5	0.558724735	0.84343964	3.508641765	1.753356774	39	46.72516584	0			0		9.028190374	0.281440909	37.18613386	0	0	6.779061258	0	0	0
64		PD03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	45.64813375	38.26562762			0.146354374		2.917658351	0.045768826	0	0	0.194209954	0	2.381782234	10.4004547	0
65		PD03_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	12	26.58209205	41.5356189			0.436746748		0.032640478	0.054771837	0	0	0	21.02153599	0	10.33658013	0
