Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		QR01_01	PM2.5	2.570133779	1.808976496	7.728021005	1.849145113	78	88.0294323	0	1.135027502		0	0.023535438		0	0	0	0	0	0	10.81201285
3		QR01_01	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	14	79.37721014	0	0		0	18.43034923		0.205170922	0.212703878	0.238891086	0.270822272	0.328876241	0.411296589	0.524672819
5		QR01_01	PM2.5	3.128858513	1.995942481	7.01728353	1.252397696	130	23.28613847	30.41802943	0		32.59418309	1.087838411		0	0	2.407106943	10.20670459	0	0	0
4		QR01_01	PM10	5.810737239	2.72001111	8.284963152	0.940026423	299	36.55846715	0	0		0.886849221	0	49.86696839	6.214765459	0	0	0	0	2.831333689	3.641618043
6		QR01_01	PM10	18.1026814	4.800942597	18.02325331	1.427951974	660	49.14520383	0	8.653862029	29.13486362	0.508455886	1.285279635		0	0	0.5184629	0	5.397415906	5.356449261	0
7		QR01_01	PM10	9.945300275	3.55847574	34.03623747	9.26947902	449	52.13809013	12.07697093	2.439930104		9.823916107	4.085604474		0	0	4.300737381	15.13475478	0	0	0
8		QR01_01	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	109	69.41713095	4.17002067	3.765118867		0.318208756	14.60870653		0.356602017	0	0.172690977	0	0	0	7.191530615
9		QR01_01	PM2.5	4.69328777	2.444520318	8.470610535	1.216584783	151	2.109070495	14.0176028	1.539056934		26.8420428	0.010256965		20.14207989	12.91837394	0	6.809083372	7.206080109	8.406339586	0
12		QR01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	0	0	14.20933306		1.560825855	2.302604169		7.584322989	8.064649254	8.954114467	10.11351943	12.24079281	15.37292302	19.59691793
11		QR01_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	41	0	66.6438818	2.036067098		0	0.142099697		0	0	0	0	31.17795289	0	0
14		QR01_01	PM2.5	1.676174204	1.46088031	5.781455963	1.586884899	47	24.61628765	0	0		0	0.053674122		6.590054184	3.032164834	0	0	6.876485795	7.860695571	50.97064376
15		QR01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	41	0	15.31990319	19.52424645		0.0159855	1.82651449		0	0	0	0.312813907	22.19396383	0	40.80656767
17		QR01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	17	94.352144	0	0		0.074678258	0.13515976		0.486887759	0.523198443	0.589021016	0.670660567	0.819852762	1.029899437	1.318499818
16		QR01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	27	32.05697536	0	12.53664494		18.71162951	0.033724008		0	13.50870132	16.20080471	0	3.371525928	2.916671894	0.663325237
18		QR01_01	PM2.5	3.24060346	2.03127164	6.754738484	1.120421215	182	43.62883568	0	0.355225103	33.5703969	0	0.123575632		0	1.381112821	12.4182418	7.040602714	0	0.261362316	1.22064501
19		QR01_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	12	0	2.825126611	0		0.01673822	0.0257273		59.66332555	32.8756839	0	4.593409598	0	0	0
22		QR01_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	15	64.35507536	25.98568499	0.020922742		0	0.06225619		0	0	0.398660311	0.305635016	1.141958032	5.693439767	2.03636419
20		QR01_01	PM2.5	1.117449469	1.192803778	6.831636147	3.323622559	59	0	18.2045579	29.0723592		0	0.312621216		0	18.01491678	23.7813741	0	4.818000272	4.55317609	1.242996287
24		QR01_01	PM2.5	2.346643885	1.728536893	6.197796336	1.302619423	101	12.63488084	15.8209309	4.159418866		14.76858854	3.092504106		5.754784867	22.44974375	10.73078886	9.956198931	0	0	0.632156385
26		QR01_01	PM2.5	2.570133779	1.808976496	6.67784082	1.380722912	114	21.40618563	23.69789332	0.450928882		9.832929075	0		0.512528606	26.03998184	15.78113586	0	2.2784153	0	0
27		QR01_01	PM2.5	1.78791915	1.508790696	4.853219051	1.048339735	88	39.58205283	21.30263299	0		29.60909903	3.619473055		0	0	0	5.886752531	0	0	0
25		QR01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	39.01482522	52.2898674	0		5.978178233	0.066802837		0.238677277	0.256033568	0.288134883	0.32742871	0.399170071	0.500665372	0.640214933
29		QR01_01	PM2.5	2.570133779	1.808976496	6.306546055	1.231452174	143	65.46475291	0	3.398020193		3.202105314	15.85560292		0	0	0	3.981002793	0	0	8.098519593
28		QR01_01	PM10	19.44362076	4.975579046	18.10015097	1.340841332	693	43.74629259	13.40658367	3.087341599	35.12530327	0.5555287	0		0	0	2.750227973	0	0	1.328708977	0
31		QR01_01	PM2.5	0.782214628	0.997971241	4.142481576	1.745763357	41	37.79475391	0	0.189976685		0	6.415525824		11.01402491	15.33163339	22.37695754	0	6.87713325	0	0
33		QR01_01	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	33	0	3.807144985	41.75792634		0	43.43631864		0	0	4.965562746	0	1.378818974	2.763670497	1.89055372
34		QR01_01	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	164	37.25558519	28.18024755	15.27359635		0	4.008966684		0	0	2.246801555	2.988813445	0	10.04599035	0
32		QR01_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	23	36.47090197	31.24213517	17.51200408		0.025795135	0		1.567178592	7.262277603	5.919708312	0	0	0	0
35		QR01_01	PM10	10.28053512	3.617952992	14.37400977	1.599301286	345	50.56446195	5.415689945	0	30.12164831	1.374007296	0.993401185		5.761258304	0.824096054	0	0.684874551	3.199409321	0.682389876	0.378758763
30		QR01_01	PM10	6.592951867	2.89731031	9.923937539	1.188716457	271	52.10677981	0	0	28.9570123	0	0.261576311		5.931550637	7.960320264	4.43560183	0	0.347168371	0	0
37		QR01_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	32	29.36834395	0	0.540037779		0.005640674	0.008837203		0	18.69339198	22.80787677	25.21091104	1.775114983	0	1.589859277
																						
																						
																						
																						
