Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Zn Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		QR01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	84.71894264	0	0			0.209127623	0.369530101			1.318221819	1.416160911	1.591526158	1.812743209	2.216357365	2.784243971	3.563145921
4		QR01_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	45	8.649238944	29.75738049	19.19041425			0.016294351	0.026082163			0	0	0	25.26990175	10.89598313	6.194707006	0
8		QR01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	78.80666852	0	9.048404545			7.201839983	0.122156006			0.434625847	0.466101291	0.524201803	0.595662976	0.726044457	0.910428446	1.163856499
7		QR01_02	PM10	6.369461974	2.847779989	9.706438101	1.177083212	232	51.39808655	6.218666211	1.149817277			2.059207298	1.288352162			0.979343615	18.2622537	5.813726038	0	5.898948759	0	6.931587309
6		QR01_02	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	89	44.07357275	0	0			2.841794863	1.424921956			16.48457944	5.973668024	0	1.588287205	11.04523093	16.56794101	0
3		QR01_02	PM2.5	4.022818089	2.263186044	8.208065488	1.332727525	147	0	10.60682461	2.199688181			28.00822258	0.054221181	45.32983303		0	0	0	3.344316036	0.458762515	8.964888006	1.033247635
5		QR01_02	PM10	13.74462847	4.183324574	14.32896416	1.188739582	450	52.45470405	5.800408497	11.44861579			0	0.491706282		11.77236587	0	0	0	0	2.757404558	6.09546788	9.179317206
9		QR01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	96.43620849	0	3.49400714			0	0.069780985			0	0	0	0	0	0	0
12		QR01_02	PM2.5	4.469797876	2.385607556	8.208065488	1.199454772	173	62.25557327	0	11.53052822			9.032270312	2.789454162			3.312281147	0	0	0	0	11.07989475	0
16		QR01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	58.54818225	0	0			0.089238625	0.038175887			0.437492644	1.315750182	0	0	0	39.57116306	0
19		QR01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	43	0	52.55934596	37.85038888			0	0			4.364087433	2.692128718	0.4276908	0.565052312	0.399638666	0.501503656	0.64016846
18		QR01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	9	6.939961016	55.601722	0.400362769			0.21449721	26.34261549			0	0	1.423848793	1.61120221	1.948360913	2.427998558	3.089428879
17		QR01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	42.74690151	1.24619212	0.156721717			9.54548642	25.96468925			6.409718841	3.188639134	1.894894987	8.846759051	0	0	0
21		QR01_02	PM2.5	2.90536862	1.923338301	6.492193438	1.154441146	102	68.28006506	0	1.351571921			5.187568814	6.24235943			0	3.360879049	2.040124498	0	11.79622933	1.74119845	0
22		QR01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	52.04550028	44.98158693	0.169015746			0	0.068177888			0.245429273	0.263559842	0.296813413	0.337631139	0.412248401	0.517604873	0.662440294
24		QR01_02	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	73	52.15495229	0	0			0	16.42042845			3.716015816	10.18594727	0	0	17.52265841	0	0
23		QR01_02	PM10	46.37415297	7.68410082	27.0958516	1.259852656	1356	58.40547681	8.215203136	2.80132927			0	24.22580719			0.405036332	0	0	0.274345023	1.290419791	1.350934431	3.031454422
25		QR01_02	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	67	19.73273754	20.16833425	6.947730482			11.25024036	9.156588465			0	0	1.766845584	1.702874154	0	26.71264112	2.562013641
