Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		QR01_03	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	116	43.00330877	12.35831231	0.993363746		0	3.322163224	0	2.888643742	8.092796057	0	4.555452988	0	24.78596121
2		QR01_03	PM10	5.475502398	2.640383718	8.579360253	1.069734424	160	70.22061348	0	0		0.279787625	21.62218094	3.184916824	4.692497849	0	0	0	0	0
8		QR01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	69.18503046	7.658018172	14.13773596		3.805764019	0	0	0.553915277	0.62291068	0.708029559	0.862904824	1.082125865	1.383556426
12		QR01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	35	56.46243095	13.66501898	15.25641531		0	2.02926565	9.487149119	0.355719146	0	0	0	1.962374337	0.781621318
13		QR01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	61.74333096	35.92396379	0.338810659		0.026371074	0.047757136	0.172195316	0.184921641	0.208310713	0.236933795	0.289275823	0.363227888	0.464906031
21		QR01_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	36	50.03260374	24.52181429	0		3.801489249	19.74117756	0	0	0.203994615	0.496884435	0.406497996	0.349758239	0.445778761
32		QR01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	17	21.18502855	0	0.888085552		0.780062145	0.010795275	8.08956176	14.09509033	33.55664909	5.020639673	7.84181878	4.079313576	4.452957585
36		QR01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	31.73155487	0	17.69213527		0	1.014930196	0.186483318	0.429892773	2.424331568	2.457914129	5.995289236	0	38.06747496
38		QR01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	33	57.89836049	10.58200598	0		0.123393047	12.75984347	7.394393533	5.803300068	0	0	0	4.32991311	1.108780503
47		QR01_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	48	70.49628496	0	1.576494426		0	0	0	0	0	0	27.92722285	0	0
46		QR01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	9	66.07848406	30.8495909	0		0.350181106	0.06609275	0.238154642	0.255775522	0.288076024	0.327719352	0.400199881	0.502527645	0.643200427
48		QR01_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	23	42.73287952	0	0		0.167115894	0.266704569	0	0	0	0	56.83330297	0	0
50		QR01_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	96	64.04472589	5.776765198	9.198651463		0.798578002	0	0	0	0	0	0	20.18127292	0
51		QR01_03	PM2.5	3.017113566	1.959976608	7.574225677	1.513125535	106	39.48110044	6.779981405	0		24.53253269	0	8.348116279	2.366488613	0	0	12.12482676	6.366954744	0
