Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	9	0	74.06012416		1.630497165		0.354703679	0.600832794		2.10766457	2.259851806	2.534268424	2.882122993	3.516227379	4.412987828	5.640713125
2		QR02_01	PM10	6.816441761	2.946008012	11.15976511	1.453926708	172	55.18072248	1.472493354		18.35651696		0.371350208	0		18.57798696	6.040934473	0	0	0	0	0
1		QR02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	21	27.94073522	0		0		0.059362443	0.091681106		0	0	28.40512097	0	12.40631565	24.06138778	7.035387307
5		QR02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	42	94.76454258	0		0		0.069120666	0.125238823		0.451349095	0.485004438	0.546070794	0.621725619	0.759995403	0.954702497	1.222245768
3		QR02_01	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	32	95.06705403	0		0.940262061		0.052587606	0.095464947		0.344336219	0.36996433	0.416646199	0.474243611	0.579543458	0.727961212	0.931946281
6		QR02_01	PM2.5	2.234898938	1.68687928	6.120898673	1.33402088	67	60.19139886	30.46660721		0		0.014143912	0		6.557717919	1.376189012	0	1.393933035	0	0	0
7		QR02_01	PM2.5	3.575838301	2.133752265	8.022418106	1.432263251	94	51.11815929	15.73059112		0		4.802249745	0.012686658		2.15953365	3.686460108	3.351538628	0	0	0	19.13878471
9		QR02_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	29	93.94692183	0		0		0.687498087	1.915812492		0.3095689	0.332420715	0.374293746	0.425770413	0.519847777	0.652657077	0.835213717
10		QR02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	17	0	0		79.46967483		2.820668183	0.465962617		1.584088244	1.689879224	1.890082471	2.139079757	2.590448409	3.233849257	4.116265476
13		QR02_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	42	95.12502551	0		0		0	0.118126033		0.425882731	0.457641063	0.515298778	0.586674502	0.717135705	0.900868606	1.153345406
14		QR02_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	7	77.80947685	18.1170702		0.031224589		0.053480885	0.096786505		0.348745193	0.374648487	0.42188256	0.480141211	0.586637016	0.736778975	0.943132397
12		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	85.07782221	0		10.77411473		0.055903499	0.099951099		0.358547224	0.384922791	0.433280133	0.492799468	0.601536827	0.755054038	0.966061745
15		QR02_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	18	96.1294353	0		0		0.050844171	0.092465407		0.333734788	0.358600565	0.40387772	0.459736679	0.561867561	0.705803605	0.903631281
18		QR02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	11	0	91.95443392		4.658433422		0.169742736	0.300511997		2.916876972	0	0	0	0	0	0
19		QR02_01	PM10	6.14597208	2.79737282	13.06128454	2.208875989	133	85.57311296	0		9.396822006		0.195049751	4.654001817		0	0	0	0.181012379	0	0	0
