Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
14		QR02_02	PM10	6.48120692	2.872651902	9.290097728	1.059680187	228	44.20870841	12.33391613		20.93919516			1.710426435		0		0	0	6.3565813	12.0966129	0	0	2.354565263
15		QR02_02	PM2.5	3.017113566	1.959976608	7.913668387	1.651787494	115	60.9474659	13.28615099		4.699156806			2.356848121		2.285938151		7.150833309	7.546827942	0	0.963201933	0	0.763573917	0
16		QR02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	49.91999269	0		32.97393024			0.260025961		0		1.525377575	1.633929834	1.832920685	2.082007006	2.535659447	3.177819028	4.058338702
17		QR02_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	66	0	18.8398242		28.90755534			0		16.68042243		2.32339669	4.526393488	3.705921024	1.2522934	0	1.064638328	22.69956023
24		QR02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	16	72.03097939	0		0			0.029843985		0.050756073		0.201750966	0.801646337	0.768265547	0.238492386	0	0	25.8782655
25		QR02_02	PM2.5	3.464093354	2.100147767	10.07773287	2.333061747	142	35.9082371	0		0			0		0.01425589		18.46316308	20.49836218	18.78605783	0	2.81108357	0.985426828	2.533414029
29		QR02_02	PM2.5	2.793623673	1.88598837	6.754738484	1.29968861	116	44.09120679	0		0	46.51756585		3.672454879		0.005652876		2.044377103	0.308352942	0	0	3.360380232	0	0
42		QR02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	49	78.72914672	0		0.088379823			0		20.57328522		0	0	0.082124904	0.093060423	0.11291866	0.141128898	0.17995846
43		QR02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	31	49.88669157	42.55152345		4.555475712			2.070056275		0.022878488		0.082146109	0.088149018	0.099273038	0.112817297	0.137568358	0.172611815	0.220808154
47		QR02_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	56	31.35455549	0		5.842392892			3.18675302		6.895472854		8.538576216	13.49088103	20.78579366	0	4.11885865	2.809830941	2.976883948
46		QR02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	40	10.40607095	0		0			4.879681021		10.05202085		12.00466827	49.61259067	8.867487311	0	0	4.177492857	0
48		QR02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	43.74043643	49.84051883		2.342755347			0.054873119		0.098151714		0.352243613	0.378189725	0.425717328	0.484246202	0.591182057	0.742117688	0.949570443
49		QR02_02	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	39	49.43487644	27.7759552		21.88111842			0.201108796		0.090350112		0.05561327	0.059629994	0.067116728	0.076220068	0.092836807	0.116389606	0.148788688
51		QR02_02	PM10	46.82113275	7.721043825	32.69166018	1.816444661	1330	57.66077042	0	5.381082371	11.55505776	12.90736347		0.255641597		7.988019288		0	0	0.226147659	4.025921226	0	0	0
53		QR02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	13	60.51966548	0		3.168778121			0.991861708		13.63748759		0	0	0	8.140856028	7.888769358	5.652577803	0
52		QR02_02	PM2.5	2.793623673	1.88598837	6.044001009	1.040569974	88	40.63570797	0		17.52191186			0.658606831		1.981252618		0	0	0	0.934914965	23.76900911	5.958948284	8.539649844
54		QR02_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	55	57.61833191	38.97404969		0			2.622286044		0		0.058846909	0.063161278	0.07114812	0.080869277	0.098661042	0.123824738	0.288830395
55		QR02_02	PM10	54.75502398	8.349626447	38.10182138	2.109879419	1196	62.63690591	0		0.552637316			0		1.314517949		14.03596848	6.836207211	0	0	9.058966488	0	5.564790592
57		QR02_02	PM2.5	2.90536862	1.923338301	7.126033249	1.390863734	90	35.96602678	0		1.173972804			0		1.206765044		22.26949036	4.739936441	0	6.093081087	0	24.2534861	4.297236726
61		QR02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	0	0		27.94662416			0.060521933		67.18946099		0.68871188	0.456652837	0.507565262	0.569898495	0.680883694	0.840179157	1.059495565
60		QR02_02	PM10	46.03891812	7.656276585	32.16657009	1.788440663	1218	52.14890242	6.918376684		2.267208137	13.66482526		0.485522766		10.92867255	10.180825	0	0	0	0.384774478	0	3.020887263	0
62		QR02_02	PM2.5	2.90536862	1.923338301	6.67784082	1.22140873	108	75.95636249	8.503273875		0			0		0.807112083		0	0	7.585242391	0	7.148010284	0	0
66		QR02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	30.85909486	4.509815201		0			0.010478778		0.888559408		0	0.05699941	1.266863756	0.330285728	4.69471328	0	57.38319159
64		QR02_02	PM2.5	0.782214628	0.997971241	3.956834194	1.592795084	33	0	6.749244779		0			0.026805539		0.039887862		25.64481795	46.64188921	0	0	0	20.89735419	0
65		QR02_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	29	59.57369208	0		16.56105816			0.019833817		12.02250347		1.511202659	1.650306396	0	0	0	8.661393821	0
68		QR02_02	PM2.5	3.575838301	2.133752265	7.202930912	1.154597898	118	51.95060968	6.416851282		10.97092405			0		1.527491305		6.436671317	19.07672733	3.620729223	0	0	0	0
69		QR02_02	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	36	40.32378495	35.37862003		6.920456886			0.009387675		0.016101875		0	0.105195341	0	0	0	4.66956906	12.57687509
71		QR02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	73.15648794		1.788998954			1.644722186		0.588059891		2.061033994	2.209406719	2.477606572	2.817074396	3.435816243	4.311137646	5.509657785
70		QR02_02	PM2.5	2.458388832	1.769213915	6.120898673	1.212746254	87	38.26808631	21.10797465		3.641057387			0.304726977		13.32012266		0	1.872637868	11.90873235	4.777057096	0	0	4.799610004
72		QR02_02	PM2.5	2.011409044	1.600314199	5.410161198	1.158004236	64	62.54081726	23.85600507		11.184109			0.995194726		0		0	0	0.590850785	0	0.197678013	0.318059139	0.317289936
80		QR02_02	PM2.5	1.117449469	1.192803778	4.776321387	1.624610762	38	47.35639393	0		20.2518478			0.011969203		0.074150413		7.624790817	0.861269236	0	6.262384355	9.273532033	0	8.283662051
75		QR02_02	PM10	13.96811836	4.217198201	14.85405425	1.257020155	554	50.41165948	0		2.664316632	33.90983939		0.229581352		0.526858727		6.872144341	3.57209444	1.59951672	0	0	0	0.213990151
76		QR02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	33.76323283	0		17.9601118			0.010629149		0.234689261		13.24704587	28.13393474	0	0	0	0	6.650359929
79		QR02_02	PM2.5	2.570133779	1.808976496	6.120898673	1.160018156	83	42.34153032	30.49723804		18.07974279			0.332009164		4.560966417		0.908922963	2.06801258	0.562294992	0.144973258	0	0.221422035	0.282888114
78		QR02_02	PM10	6.592951867	2.89731031	9.552642774	1.101431025	212	51.27003193	0.393831776		0			0		3.271831945		17.50386655	21.16765827	0	0	0	3.151858971	3.240928799
82		QR02_02	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	22	31.54974282	7.33204037		0			0		7.144360989		0	0	0	14.16740716	1.414426044	0	38.39202225
81		QR02_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	21	97.01086879	0		0.064389716			0.034705075		1.424689498		0.231121876	0.248283055	0.279814098	0.31805113	0.388081069	0	0
84		QR02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	27	51.76075697	6.216408685		0			0.032348192		4.511354491		5.383244529	20.12711912	11.96876392	0	0	0	0
85		QR02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	54.92178202	0		0.725778006			1.234859228		1.097837184		3.806193173	4.076934233	4.562029988	5.18489182	6.320311874	7.934201509	10.13519019
86		QR02_02	PM2.5	3.24060346	2.03127164	7.126033249	1.246981279	97	69.69607472	8.347204328		5.210886896			3.835138306		8.826607466		2.895601653	0	0	0	1.188483741	0	0
88		QR02_02	PM2.5	0.782214628	0.997971241	3.322994383	1.123371539	30	29.77187335	42.03112125		8.970157057			0.760152424		0.023227985		0	0	7.154338062	0	3.420620784	6.106540933	1.761965826
92		QR02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	46	61.11285686	19.48793232		5.678465962			0.075272517		2.685964853		4.757742584	0	0	0	0	6.201766804	0
93		QR02_02	PM2.5	1.340939363	1.306651072	5.038866433	1.506769045	62	42.85372794	17.93445349		12.8118813			0		8.358220756		0	0	0.15074003	3.076684847	6.32827729	7.606276125	0.879747421
96		QR02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	0	0		20.87411433			3.843928874		5.772949383		45.11232078	23.45594764	0	0.940737966	0	0	0
98		QR02_02	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	23	0	9.008671343		11.89645007			0.587378303		0.090999942		0	0	0	13.62104863	27.06071734	37.73473203	0
94		QR02_02	PM10	24.47214337	5.582015826	18.39454807	1.100262655	664	53.86109352	0		13.76902163	23.03650826		0		0		0	0.692728534	5.047824606	0	0	0	3.592817858
95		QR02_02	PM10	17.8791915	4.771215113	17.91450359	1.428406496	467	54.07503247	5.198298022		14.29726928	12.84889579		0.431868108		0		3.077181056	0	0	8.338548243	0	1.73291266	0
97		QR02_02	PM10	37.76979205	6.934694863	37.25048213	2.923542008	1139	50.88777542	9.255994111		6.524600089	25.67301095		0		0.032851199		0.644429075	0	0	0	0	6.98133558	0
101		QR02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	65.35109282	29.10698652		0.053912774			0.073293236		0.131767592		0.473601092	0.508727925	0.572635839	0.651752762	0.796308462	1.000010595	1.279905066
100		QR02_02	PM10	6.257717027	2.822688927	8.841905299	0.994182087	220	44.33823824	22.62335271		1.335508935			0		0		19.33624595	12.36665845	0	0	0	0	0
102		QR02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	41	26.30392611	0		41.4658308			1.908723824		6.438618153		15.40790945	7.546643168	0	0.9283402	0	0	0
103		QR02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	48	69.25294995	23.90149087		5.39920032			0.816063676		0.012072724		0	0	0	0.325263129	0	0.292964047	0
104		QR02_02	PM10	55.87247345	8.434396402	43.81957323	2.734818602	1442	53.46295834	6.072714552		9.394022822	10.21689773		0.843871944		5.14392443		0	0	5.53718172	6.741128862	0	0	2.587293088
106		QR02_02	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	92	93.68615746	0		1.017905585			0		0		1.013792679	0.702292752	0.50372472	3.076128475	0	0	0
110		QR02_02	PM2.5	2.793623673	1.88598837	6.754738484	1.29968861	124	23.03273976	34.9214226		0			1.478937361		0		0	0	0	40.56689143	0	0	0
109		QR02_02	PM10	45.92717318	7.646979343	29.58616523	1.516693332	1316	49.9440968	1.790256612		0		18.4123382	0.267897639		20.27437091		0	0	3.49147059	3.677845001	1.755409874	0.38631151	0
