Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	P Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		QR02_03	PM2.5	1.005704522	1.131593022	3.956834194	1.238840621	35	23.50486517	49.52989221		21.44936621			3.483356908		0.050570787	0.179209479	0.192023662	0.215941574	0.245132949	0.298350351	0.373777328	0.477516139
3		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	94.64828372	0		0			0.070675125		0.128032186	0.461374456	0.495777698	0.558190653	0.635528658	0.776872039	0.975895673	1.249363646
2		QR02_03	PM2.5	1.229194416	1.251023157	7.324874185	3.473520739	82	71.09794021	0		0.059364049			0		0	0	0	0	7.544766366	0	8.917869627	12.38006726
4		QR02_03	PM2.5	1.564429257	1.411344463	5.672706244	1.636872287	83	24.29905385	11.52897254		3.495124727			0.876804255		0	7.143947482	19.87160593	13.33147883	14.70155418	4.028635845	0	0.722832931
6		QR02_03	PM2.5	2.681878726	1.847883667	6.306546055	1.180141667	100	46.66804373	0		23.82261604			1.385867037		0	0	0	0	8.813044429	19.31043714	0	0
9		QR02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	12	46.78744376	36.46406531		0.852004066			0.221355143		0.386690861	1.373637281	1.474758983	1.656717435	1.885889471	2.303919755	2.892901935	3.700621799
12		QR02_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	84	42.47755408	29.27507758		8.697954565			0.024866496		2.767659351	0	0	0	13.5036096	0	3.253279999	0
13		QR02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	9	0	0		0.593905197			0.01701883		0.026155962	60.63864231	33.76086056	0	4.963413998	0	0	0
15		QR02_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	20	27.40150094	0		0.540200807			0.012408789		1.883622259	11.00308821	27.98439562	15.13058543	6.860294938	4.731712118	0	4.452200606
16		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	42.01826453	52.01047063		0.267621223			0.07692682		0.137376366	0.492614228	0.528991129	0.595307862	0.677379267	0.827292539	1.038661785	1.329084951
14		QR02_03	PM10	15.53254762	4.447094991	18.99653583	1.848826955	453	47.02296853	5.482236668		11.52972728	11.26053035		0		0.447011366	0	0	0	0	1.022656821	8.938419074	14.29644078
17		QR02_03	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	28	55.68438768	0		0.172820257			0		39.46708739	0.45274524	0.458245724	0.512560923	0.578974327	0.6987934	0.869657751	1.104715653
20		QR02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	42.09294319	39.68790472		0			0.056194002		0.097142655	0.340651581	0.364745385	0.718628429	0.46506729	0.836172886	2.027479373	13.31307143
