Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Zn Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		QR03_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	34	1.784959435	11.21545285		1.309052762			0	2.851231769			24.99143183	44.73507702	11.77689657	1.335885469	0	0	0
3		QR03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	34.2113018	0		0			0.021520845	0.033559155			4.961415008	3.571376204	0	0	0	55.18472791	2.016096003
4		QR03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	32	47.77459502	0		16.79430157			0.460310187	9.945273399			3.565165773	10.01445949	4.493278265	0	0	6.952617317	0
2		QR03_01	PM2.5	4.134563035	2.294403878	8.995700627	1.557508789	139	36.1653626	47.69529104		5.074979737			0	0			0	0	0	0	0	11.06436998	0
5		QR03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	63	44.36792135	0		0			0.828981586	0.270156795			0	0	25.87328553	19.34641302	0	0	9.313245863
6		QR03_01	PM2.5	1.229194416	1.251023157	4.405026622	1.256222687	40	41.22879803	2.513276599		0			0.082197692	0			0	0	21.87544554	18.69836897	0	15.60191363	0
8		QR03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	0	21.80397213		11.90963462			37.75278628	0.024539288			0	0	0	0	0	28.50907147	0
11		QR03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	22.90607095	35.19464135		0			38.12028766	0.09113315			0.141035218	0	0	0.29121784	2.966873348	0.288738264	0
9		QR03_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	49	31.70468509	0		5.167682469			0.228225254	4.301148281			21.93177193	18.44405234	10.2669701	7.955463976	0	0	0
12		QR03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	3	77.0065546	0		0			0.323141203	0.561073516			1.986589096	2.132944763	2.394199185	2.726146579	3.331457078	4.184678569	5.353214219
10		QR03_01	PM2.5	3.464093354	2.100147767	8.733155581	1.752035667	144	63.72504234	23.54003489		8.504097164			0.774157001	3.06667164			0.178989652	0	0	0	0	0.211010478	0
15		QR03_01	PM2.5	1.005704522	1.131593022	4.21937924	1.408694622	51	2.726373821	43.53196025		15.59245288			0	0.038368959			17.42916107	0	0	0	5.324897915	11.59511507	3.761674836
17		QR03_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	53	0	8.422828466		0			2.303394303	0			23.31409454	7.345046848	13.07303458	9.034331143	20.62014937	8.20896253	7.678171992
18		QR03_01	PM2.5	4.134563035	2.294403878	9.443893055	1.716574431	148	25.11775792	24.07348156		0.758819329			30.23068011	1.31901158			0	0	0	2.753091604	0	14.88881111	0.858346839
19		QR03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	37	60.19639969	0		0			1.133479085	0			4.810525477	3.835171461	2.831196785	13.72109801	0	0	13.47213238
23		QR03_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	65	57.71225095	0		1.902818307			7.921105623	7.082686573			0	0	0	0	0	25.38113594	0
21		QR03_01	PM10	8.157381124	3.22277834	10.52592529	1.080836367	302	7.811954618	2.322903462		3.473157063			12.10558638	0		51.06116533	0.857491326	6.532251835	5.148952082	6.97433874	1.319537312	0	2.392668091
20		QR03_01	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	100	0	14.67698961		0.727571966	27.90754437		37.26515472	0.691707386			9.640178829	7.84047693	0	0	0	1.250376087	0
24		QR03_01	PM2.5	2.346643885	1.728536893	5.781455963	1.133489214	105	39.68932927	13.41252476		1.9302072			23.00361693	0.141677726			0	0	0	8.115467429	11.84191108	1.865259558	0
27		QR03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	28	53.55308056	22.59519249		4.910143465			3.09651345	1.656118408			0	0	0	0.57605342	0	13.61289322	0
25		QR03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	0	57.09121823		15.10424763			23.64464551	0			2.078234777	1.415942609	0	0.66571706	0	0	0
26		QR03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	0	36.8963629		4.073991999			33.15181732	0.028327771			0.094727613	0.521520292	0.869075768	0.126982771	0	1.659822091	22.57736176
29		QR03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	41	18.84218454	44.01393533		2.135026082			14.89533335	0			14.56076652	0	0	0	3.993020579	1.559731457	0
31		QR03_01	PM2.5	2.011409044	1.600314199	5.410161198	1.158004236	85	31.85635209	13.92577291		0			16.44931883	0			0	1.859086193	13.72808963	11.898233	4.168480635	6.114661321	0
30		QR03_01	PM10	32.85301439	6.467592835	23.47846012	1.335224003	964	49.32679832	0	8.407083154	0	5.480656028	14.68017697	7.831832767	12.30519935			0	1.968250051	0	0	0	0	0
32		QR03_01	PM2.5	4.805032717	2.473450559	8.208065488	1.115771881	154	37.31957376	18.95948499		2.177945338			10.3854768	5.883586034			5.220583454	9.425413609	0.375080924	7.816116512	0	0	2.436738461
34		QR03_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	45	33.22716355	0		0			56.09515905	10.67767516			0	0	0	0	0	0	0
35		QR03_01	PM2.5	1.45268431	1.360005555	6.383443719	2.232178689	80	43.9270407	17.23883897		2.229839005			25.93219578	0			0	1.065120846	6.654986739	2.951975167	0	0	0
36		QR03_01	PM10	10.39228006	3.637562637	12.35054706	1.168023778	348	38.7249738	0		0			2.32840348	1.75229013	47.60841131		1.787429489	0	0	0.837485027	6.961008161	0	0
37		QR03_01	PM2.5	3.799328195	2.199421492	7.651123341	1.226122132	122	60.03017426	12.90314645		5.360067636			0.929092709	8.422398567			0	0	1.431761496	0	0	0	10.92335433
41		QR03_01	PM10	13.52113858	4.149174415	15.93608649	1.494652485	401	53.2720089	30.50945997		3.117906116			1.91401206	3.881508857			0	0	0	0	0	7.305098325	0
39		QR03_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	76	13.44904602	7.649383694		8.05894509			0	0			2.378484607	8.86746347	26.02197528	6.471637636	5.659129471	3.155045211	18.28888059
