Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		QR03_02	PM10	48.27381706	7.839906432	33.21675027	1.818832804	1381	51.77960396	5.675387383		0		15.34079164	2.934983931		20.90980709	0.43116482	0	0	1.798144542	0	1.13011701	0
2		QR03_02	PM10	43.02180456	7.401152805	42.73754099	3.378473943	1393	47.18253911	3.018458001		9.223327041	12.72140294		6.55554831	3.876578063	12.60246485	0	0.796401128	0	0.555512076	0	3.115697764	0.352064939
8		QR03_02	PM2.5	2.346643885	1.728536893	5.93525129	1.194596313	59	72.79129028	0		0			0		11.1428462	0	0	0	0	0	0	16.06587023
10		QR03_02	PM2.5	3.799328195	2.199421492	9.181348009	1.76561587	112	67.10060239	7.178746909		0			6.91453144		11.377839	4.968371242	0	0	0	1.693794504	0.766114285	0
9		QR03_02	PM10	8.045636177	3.200628398	10.89722006	1.174522088	322	13.51148188	5.031996593	34.01274681	0			24.66065288		0.046419841	11.52293682	7.720381021	3.493383154	0	0	0	0
11		QR03_02	PM2.5	1.676174204	1.46088031	5.224513816	1.295873913	64	70.73404789	1.692058891		0			11.84464172		1.354014594	0	0	0	3.153982386	5.554784462	5.378056318	0.288409251
13		QR03_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	29	0	20.42126358		0			77.56678462		0	0.187933701	0.199630763	0.222803629	0.251085963	0.301829143	0.374377053	0.474293437
14		QR03_02	PM10	10.28053512	3.617952992	12.45929678	1.201604309	340	16.41713381	5.406608433	26.31005943	0			29.78449166		0	1.628542691	2.172779664	1.252392493	0	4.33966592	0	12.68832088
12		QR03_02	PM2.5	2.90536862	1.923338301	8.733155581	2.088965603	86	67.80027151	10.04461274		0			0.006320955		7.55405426	0	0	5.447659269	1.010854263	3.32731083	3.738446906	1.070465706
17		QR03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	2	21.09431177	0		0			0.087432191		0.132889615	0	0	31.83362484	0	14.87219632	24.67785627	7.301677763
22		QR03_02	PM10	9.163085646	3.415670212	11.15976511	1.081579625	308	23.05211574	4.258292168	30.06550074	0			32.06744194		0.523294881	3.365668654	0	0	0	0	0	6.667693704
24		QR03_02	PM2.5	3.24060346	2.03127164	7.75987306	1.478677547	91	77.34007239	0		0			7.278354466		0	0	0	6.635831296	1.412722562	3.563589975	1.544634905	2.224787883
27		QR03_02	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	94	0	29.91015017		0			52.90257335		1.976159774	6.59950003	2.811544389	0	0	4.022450373	0	1.77761782
28		QR03_02	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	41	48.7799108	0		0.981869176			32.28165507		4.383029789	3.108848259	0	0	0	0	10.46468168	0
29		QR03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	15.70261717	77.44833231		0			0.093593978		0.165641459	0.592018664	0.635544211	0.714919623	0.813334063	0.993018597	1.246428676	1.594546437
30		QR03_02	PM2.5	3.464093354	2.100147767	7.126033249	1.166530874	131	16.45405143	0	32.76826441	0			30.75462282		5.616686493	1.072808728	0	0	0	0	10.43136865	2.902200259
34		QR03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	31	34.84232128	7.029872388		16.93780869			0		0.028233198	15.53781033	13.06560636	0	0	4.74675335	7.454956323	0.356642064
35		QR03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	20	40.74728489	2.126119286		0.138118281			0.012261218		2.068883739	0	0	15.54026008	20.41154951	11.72129288	5.422463641	1.811768673
36		QR03_02	PM10	9.163085646	3.415670212	11.45416221	1.139396939	304	12.77195811	0	30.53114712	0			22.22335488		0	10.86248383	7.654620707	1.093147043	10.71256697	2.010703459	1.537606679	0.602408964
37		QR03_02	PM10	22.23724443	5.321028	23.35651684	1.952204547	588	37.91784644	0	29.20190692	1.43723581			16.19682461		1.591636054	1.172349323	3.545749933	3.572641686	4.32423763	0	1.039572805	0
38		QR03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	63.39303851	0		17.21946597			0		0.575652905	3.152162209	14.09164816	1.568031684	0	0	0	0
42		QR03_02	PM10	7.486911443	3.087496027	10.26338025	1.119613892	228	22.12832272	0	44.38235164	1.296585146			30.64703047		0	0	0	1.545708906	0	0	0	0
43		QR03_02	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	49	70.73741555	0		7.681270689			9.268786013		0.017277614	0.761792623	0.540664047	0	0	0	10.9928064	0
44		QR03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	0	1.743609272		12.61054128			0		0.026880423	0	0	12.44547293	71.17641568	1.997081935	0	0
