Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		QR03_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	71	35.34987569	17.44850427			0			18.21905226	0.654751668	10.39308086	0	5.491443351	12.44330183	0	0	0
5		QR03_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	16	44.30725276	7.704829425			0.073756353			45.47615945	0	0.413177535	0.362426578	0.22523154	0.254787528	0.308350101	0.384587399	0.489438372
1		QR03_03	PM2.5	0.446979788	0.754395348	2.689154571	1.287460114	20	0	62.06409931			9.971998632			25.42557418	0.065079599	0.225824723	0.24133462	0.27077368	0.306701474	0.371912168	0.464596413	0.592107559
2		QR03_03	PM2.5	3.017113566	1.959976608	6.940385866	1.270473795	133	41.28727019	30.48897982			6.878702343			15.94559103	0	0	0	0	0	5.399453267	0	0
3		QR03_03	PM10	5.475502398	2.640383718	11.34541249	1.870711185	201	25.73346794	32.7265203			0			25.45388043	0	0	0	0	0	0.390305696	15.6958282	0
6		QR03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	11	48.99004698	0			3.979161009			5.956276134	36.18799746	0.223759422	0	0	0.397640746	3.818276152	0.446849363	0
8		QR03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	45	16.11781865	11.36664823			0			19.69038099	0	5.434682965	11.3737613	7.862748951	6.396494806	0.837631896	16.19942188	4.720420018
7		QR03_03	PM2.5	4.134563035	2.294403878	8.841905299	1.504708023	185	27.96441019	13.02349418	19.13849711		0.639157789	9.717235714		21.98129892	0	0	0	0	7.06711933	0.468785781	0	0
11		QR03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	18	37.19569445	13.65266293			0			0	0.013498521	0.582571002	3.223880008	1.597405411	0	0	0	43.73428822
10		QR03_03	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	42	41.73714221	12.82625496			25.47677457			0	0.501698256	12.7854228	0	0	6.672713161	0	0	0
9		QR03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	40	21.74326181	28.89766991			0			0.342847174	0.648812624	1.651276276	5.012547225	2.202542685	0.045214177	2.511921152	0	36.94390059
13		QR03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	24	46.01424336	27.40090489			0			6.494499743	0	4.655006528	4.122683778	2.423703671	0	8.888953924	0	0
14		QR03_03	PM2.5	2.90536862	1.923338301	6.754738484	1.249700586	101	29.86552715	17.73035973			0			20.73257864	5.99701032	6.64190501	3.187927231	0	0	13.7054041	0	2.139285207
15		QR03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	23	21.13395035	13.60511929			22.23423868			0	0.161687215	0	0	0.648922333	0	7.912808657	34.30328071	0
16		QR03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	10.86777076	17.76018143			1.05473632			13.08614463	4.905435815	0.888956245	1.532582659	3.471055254	4.460723698	0	34.92372036	7.048686594
17		QR03_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	62	29.12873924	16.27862602			0			18.84337664	0	0	0	0	30.98770678	3.627350926	1.13420235	0
18		QR03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	0	46.74993157			2.757113241			31.84466958	11.38126478	0	0	0	0	7.267029583	0	0
19		QR03_03	PM10	7.151676602	3.017581393	14.03456706	2.191695967	236	31.65072799	29.61167097			1.690559648			20.21151781	0	0	0	0	0	0	1.697246172	15.13827741
21		QR03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	29	0	0			0.504737999			71.55999541	0	3.322090581	3.882965818	0	0	0	20.73021233	0
20		QR03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	22	23.33559394	10.38452536			0			12.33671755	0.016401192	0	0	7.815966755	44.84474361	1.266052853	0	0
22		QR03_03	PM10	8.716105859	3.331319657	12.31869501	1.385469743	338	22.57547528	0	38.85436952		4.283478856			26.79367661	0	0	0.759445457	2.592653595	0.01070034	0.843488425	3.286707401	0
23		QR03_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	18	23.10901582	2.605937421			0			0	0	29.42310274	0	0	0	36.82304025	7.636665553	0.40223524
25		QR03_03	PM2.5	2.011409044	1.600314199	5.333263534	1.125319451	76	13.0621478	22.25467265			2.83107236			11.05047017	0	3.10526602	0.404998008	0	0	3.551360965	19.62237954	24.11763817
27		QR03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	24	55.72929382	28.12202573			1.063523162			14.52406794	0	0	0	0.059744465	0.142188021	0.12376504	0.103353115	0.132044789
28		QR03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	44.75386143	11.67950034			8.601783216			27.89642215	0.014832083	0	0	0	0	2.025586925	5.028018355	0
24		QR03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	17	0	24.79746789			6.086126342			64.41147327	0.127584499	0.425710436	0.452711387	0.505651347	0.570419943	0.686945301	0.853418279	1.082503423
30		QR03_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	43	3.729660064	59.8554492			1.736177504			28.9057076	0.022940144	0.07918927	0.084571698	0.238015456	0.10736977	0.27320548	0.664953981	4.302760214
31		QR03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	41.47998095	0			0			24.82546568	0.012889208	18.41816902	14.08793926	0	1.175555866	0	0	0
32		QR03_03	PM2.5	3.352348407	2.065996747	6.754738484	1.083073842	143	13.4906888	31.7525506			3.69925797			37.92323768	0.770895556	0	0	0	0.5276707	0.279803923	0	11.55589595
33		QR03_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	34.06567276	1.52178565			0.877550244			16.03914201	0.012142694	10.91187522	18.55146438	18.02036315	0	0	0	0
34		QR03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	0	46.12006545			2.234110422			49.25912321	0.063071249	0.214308803	0.228413381	0.255682971	0.288953423	0.349044404	0.434681773	0.552552519
36		QR03_03	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	96	33.24424326	21.59604281			0.227670558			27.50523686	7.334242761	0	0	0	3.548528627	3.70685868	2.837171592	0
35		QR03_03	PM2.5	2.793623673	1.88598837	7.202930912	1.47788531	97	22.78589159	22.32071012			0	19.07666624		12.98999488	6.558971107	0.017457668	0.261418708	0.848098379	0.269542821	1.796914078	0	13.07433248
37		QR03_03	PM2.5	0.558724735	0.84343964	3.399892046	1.646351232	42	0	0			8.576711267			53.52836251	12.95170188	0	0	0	0	0	24.94321913	0
38		QR03_03	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	71	23.10625464	35.1758033			0			23.35723341	0	16.33551419	0	0	0.597778661	0	0	1.427417248
39		QR03_03	PM2.5	1.340939363	1.306651072	6.460341383	2.476805665	80	21.18046135	38.94353509			0			29.4677645	0.49093226	4.304380342	0	0	0	0	5.61292246	0
