Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		SF01_02	PM10	5.587247345	2.667190332	8.393712871	1.003460903	154	62.76163459	16.03990346	16.3644582		0		1.819249615		0.217812485	0.957670342	0.516095478	0	0	1.323169749	0
1		SF01_02	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	76	49.07590449	1.348914858	4.431437328		0.831819605		5.269780755		0	0	8.369482309	17.68382937	0	4.861210287	8.127617836
8		SF01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	35	28.55796814	12.87491918	5.897037685		0.590114249		2.089142427		1.664628647	0.432480825	0	0	35.63282788	9.52649191	2.734389529
7		SF01_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	38	64.54356313	23.59625399	3.722897172		0.012109687		0.46486049		1.445021294	2.489541657	0	0	0	3.72575447	0
6		SF01_02	PM10	29.94764577	6.174992054	23.88160694	1.515495114	1201	47.9922384	4.316099361	0.134701957	38.86783123	0		0.401592581		0	0	3.177379072	0.158654875	3.049133532	0.957330037	0.945045613
2		SF01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	43	34.29212868	41.29303396	1.290212665		0.006724043		7.077588886		0.395135628	1.271142811	1.44728478	0.303977402	3.579678014	2.785599045	6.257502735
4		SF01_02	PM10	8.045636177	3.200628398	11.9792523	1.419348914	223	55.79749346	1.117848419	10.30239314	18.60575527	0		1.472148299		0	0	6.485882401	0	3.759017959	0	2.459451929
9		SF01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	52.70442963	45.39602399	0		0.025181769		0.045530792		0.164086092	0.176198443	0.198477786	0.225729868	0.275561819	0.345982192	0.442807097
10		SF01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	21	44.15746927	54.19009328	0.495125167		0.217576977		0.029897978		0.107770716	0.115711801	0.130371121	0.148227124	0.180794706	0.226972299	0
15		SF01_02	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	41	37.01861799	38.06169629	15.0431022		0.773305725		1.157453004		0	0.10465926	0	0	0	0	7.841166109
16		SF01_02	PM10	43.3570394	7.42993251	24.51544675	1.10308795	1210	53.23209167	5.789362267	9.406220913	20.19291967	0		2.305118553		0	0	2.344612591	0	4.33161743	2.398063242	0
17		SF01_02	PM2.5	2.681878726	1.847883667	6.492193438	1.250644575	117	53.80039811	22.90740013	18.98976564		0.003024429		1.227487158		0.422443124	1.728488132	0.714880507	0.20611214	0	0	0
23		SF01_02	PM2.5	2.011409044	1.600314199	5.595808581	1.238840621	92	66.51203632	0	9.446703643		0		0		15.07140845	3.847208247	0	0	0	5.122639984	0
21		SF01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	53	38.65375519	21.55677676	1.234966796		0		6.221405044		0	2.376608364	10.51415727	4.205407947	0	15.23692906	0
22		SF01_02	PM2.5	4.69328777	2.444520318	8.470610535	1.216584783	207	46.3820219	0	0	36.94360554	3.028549999		1.46523146		5.966028571	0	0	0	5.218244717	0	0.996311754
24		SF01_02	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	120	57.91389942	14.35728222	11.46569103		0.940766931		3.075440973		7.234660536	0	0	5.012258515	0	0	0
25		SF01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	76.59615278	0	1.266971603		1.616740786		4.18721661		9.653247148	6.679677963	0	0	0	0	0
27		SF01_02	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	85	69.68610287	7.541047782	4.614031687		0		18.01051646		0	0	0	0.148305541	0	0	0
28		SF01_02	PM2.5	4.469797876	2.385607556	8.470610535	1.277414022	230	40.53829908	3.109225817	8.096437901	14.55073059	0.625979202		0.229597394		7.492363453	7.983212173	4.946656898	1.694166288	0.429538451	6.728827208	3.57497409
29		SF01_02	PM10	9.274830593	3.436434356	13.06128454	1.463713004	316	39.54160511	11.86250672	5.579584092	17.21474081	3.874053061		1.706245355		5.256516114	7.315915078	0	0	4.239360243	3.409477696	0
30		SF01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	52.92508602	0	30.71411252		0.209246692		2.332851477		1.252060942	1.340889558	1.504549943	1.708474383	2.079814486	2.605679072	3.327237815
32		SF01_02	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	39	78.94877195	0	15.57212472		0		0		0	0	0	0	5.479099229	0	0
