Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		SF01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	38	53.23746204	0	7.877027243		0		15.08645266			0	7.0369564	8.72412622	0	2.515090443	5.522885546	0
2		SF01_03	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	114	68.1397438	0	13.87976259		3.140730411		2.618080564			0	0	0	0	10.71197167	1.50971245	0
5		SF01_03	PM2.5	1.005704522	1.131593022	4.328128958	1.482245422	36	34.94848311	0	0.758148124		1.723406464		0			0	0	0	0	0.076638593	5.43833375	57.05499053
4		SF01_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	34	84.69084501	0	1.416965108		0.011179997		13.13190609			0	0	0.245027011	0.087221892	0.106050796	0.141251867	0.16955802
3		SF01_03	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	34	66.56611562	0	2.568446286		0.01630503		0.014677084			0	0	17.22680479	13.60766143	0	0	0
7		SF01_03	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	61	55.80182672	21.13474011	2.022855729		4.86815311		10.92024297			0	0	0	5.252188072	0	0	0
8		SF01_03	PM10	5.810737239	2.72001111	11.15976511	1.70556787	206	52.11931467	0	12.56177574		0		16.32368118			0	1.18551692	11.24941111	6.192389503	0	0.367919402	0
9		SF01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	35	68.21963787	0	5.354181677		2.278878726		14.80219364			0.898136664	1.135384943	0	0	0	7.311581075	0
10		SF01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	17	95.51734328	0	0.284851156		0		0.101669494			0.366775319	0.394103676	0.443822797	0.505228713	0.617488241	0.775663462	0.993046351
11		SF01_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	51	41.35064781	44.24476922	9.850886464		0.006873177		3.447310999			0	0	0.095840637	0.060825644	0.850030594	0.092816364	0
12		SF01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	28.0133158	33.9977324	35.23023427		0.039625078		0.067911152			0.239960896	0.25704822	0.288962503	0.327971298	0.39905454	0.499809766	0.638372172
16		SF01_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	53	27.56534219	37.58554459	5.181389675		8.805644512		0.191675359			6.477648765	5.49303703	0	3.352028131	0	5.347684398	0
14		SF01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	89.85037804	1.703290269	6.600780785		0.024448102		0.044238468			0.15943785	0.171202223	0.192852772	0.219321973	0.267722458	0.336132268	0.430196011
15		SF01_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	43	37.54371703	14.50456977	3.245878965		0		0.019302781			0	20.91243863	18.53203475	1.354661118	0.867644884	0.654023699	2.365722321
18		SF01_03	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	110	48.84985089	10.58307216	9.874343127		0		0.640574144			2.024010941	10.25448367	8.18361342	9.590051323	0	0	0
13		SF01_03	PM10	71.62851097	9.549882339	43.74267557	2.125763276	2552	50.48543215	2.984679304	7.080453634	26.28993392	0	2.555288188	0.595308514			1.73258204	3.061405197	0	0	0	2.955746278	2.259179391
21		SF01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	33.78118277	11.07017025	0.036902275		0.006978353		0.10211902			36.19263768	15.67416191	0	3.135846928	0	0	0
23		SF01_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	21	23.41029793	51.35325193	0.677920831		1.172065362		0.087717187			0	0	1.009376533	0	2.702868916	12.87240386	6.714092195
20		SF01_03	PM10	18.54966119	4.859852072	18.02325331	1.393543492	552	42.26676524	0.270654075	0		0		1.004017424	37.61347234	18.84508729	0	0	0	0	0	0	0
24		SF01_03	PM2.5	4.358052929	2.35559872	7.836770723	1.121429348	107	45.90378404	4.698808864	1.102247275		0		0			0	11.51637062	11.27854586	13.8649717	0	11.63526475	0
26		SF01_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	17	62.51915693	26.73209012	8.662472665		0.811086316		0.031146919			0.111853459	0.120037817	0.135182147	0.153645419	0.18738691	0.235140207	0.300812349
25		SF01_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	94	44.02323067	21.2307319	9.334354103		1.922459714		3.891199827			0	0	2.817839384	16.3195461	0.460638246	0	0
27		SF01_03	PM2.5	4.581542823	2.415243569	8.022418106	1.117864001	174	55.66146374	0	9.450590611	28.20347846	0		5.887121335			0	0	0	0	0.79735741	0	0
28		SF01_03	PM10	42.35133488	7.343255023	32.95420523	2.040538139	1076	61.36343479	0	0	18.6526373	0.473073311		2.59184204			5.184540525	2.575910464	0	0	0.148264214	8.456983417	0.553305307
29		SF01_03	PM2.5	1.899664097	1.555225852	4.853219051	0.986672692	63	65.7305479	0	0		1.436834689		20.09637952			6.750328839	5.985901505	0	0	0	0	0
30		SF01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	20	48.98948371	24.01883751	24.65982735		0.114991353		0			0.200020592	0.214449363	0.241262396	0.274022459	0.33379728	0.418446632	0.534855342
31		SF01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	28	92.57495403	0	0		0.026038033		5.82815595			0.141415873	0.151713681	0.170798181	0.194073597	0.236581638	0.296758814	0.37951516
34		SF01_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	31	40.79377651	22.29187191	9.271090478		0		26.99261308			0	0	0.140122348	0.090359192	0.109305163	0.137449359	0.173412391
