Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		SF02_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	33	43.04125607	4.382556677	0		0	0	0	0	0	10.90416908	29.88989055	8.897034079	2.885095589
4		SF02_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	70	47.9287833	3.851041943	0		0.337712397	30.88839948	8.161345124	5.946128443	0.082032644	0.676005008	0	0	2.12855693
5		SF02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	22	73.81167412	0	18.5705319		0.130647956	6.511709839	0.088269514	0.09456207	0.106346211	0.120685378	0.146817509	0.183882343	0.234871707
6		SF02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	25	44.96918917	0	0		6.152858213	1.17847994	0	0	0	0	38.19968104	0	9.499785304
8		SF02_01	PM2.5	1.676174204	1.46088031	6.306546055	1.888226667	81	70.01063824	0	0.920732971		2.957315184	8.632757515	0	0	7.662627846	9.815927595	0	0	0
11		SF02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	63	57.96684027	0	0		5.63653782	25.7458806	0	0	5.85350804	4.797238111	0	0	0
12		SF02_01	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	89	48.67314994	27.52825618	0.595956901		0.732488465	3.968654573	0.18463803	0.31896641	2.767811529	4.826000333	1.151043363	9.25303027	0
10		SF02_01	PM10	16.87348698	4.635082619	20.06537452	1.898802678	693	49.50113893	2.378522418	0.381047372	40.11080861	0.016879423	0.091961597	0	2.641637437	0	0	2.006357163	0	2.871636301
17		SF02_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	37	68.51887703	18.44578236	0		0.261401292	12.77393848	0	0	0	0	0	0	0
16		SF02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	40	65.95336795	0	16.62564129		0.36210625	1.364059187	0.212683738	0.227586157	0.63807955	0.289886002	0.743401144	1.814378798	11.76880077
18		SF02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	86.05064154	0	0		0.055339473	0	10.1772964	1.088560373	0	1.061855443	0.60034073	0	0.965971593
20		SF02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	11.57162264	0	0.159553648		0.008429892	0	2.381681465	4.677036777	4.731971025	0	0	32.48329759	43.98640692
19		SF02_01	PM2.5	2.346643885	1.728536893	6.415295774	1.395649345	120	43.41919124	11.68586239	2.455409616		0	37.07385659	4.554815218	0.520412065	0.271056616	0.019399231	0	0	0
21		SF02_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	46	50.92004538	31.20212257	0		0.007387005	10.25873721	1.670231111	3.204764798	1.075545698	0.403109798	0	1.258064341	0
22		SF02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	14	43.71475577	6.230689958	0.441728858		3.32721062	9.637586772	0	0	0	21.24180496	10.18034592	5.225878954	0
