Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		SF03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	78.64792347	0	0.035506161	0.060399913	16.71596915	0.412469357	0.44141626	0.495702634	0.562188635	0.683124131	0.854702853	1.09060239
3		SF03_01	PM2.5	0.893959575	1.066876133	4.513776341	1.813645185	40	56.42800927	18.71683151	0.369988452	0.102142582	0	0	0	0	0	0.843164325	23.53985906	0
10		SF03_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	42	0	0	11.25765592	17.67414808	1.999168098	0	34.33400095	28.60544622	0	0	2.107472904	4.022108391
13		SF03_01	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	35	60.30381918	0	1.358716004	0	9.35061872	0	7.640488446	20.20536959	1.140984241	0	0	0
14		SF03_01	PM2.5	2.570133779	1.808976496	5.93525129	1.090718373	65	83.64819288	0	0	0	11.67752743	0	1.453525666	0.23860787	0	2.982142009	0	0
15		SF03_01	PM2.5	2.793623673	1.88598837	8.284963152	1.95525496	101	85.10554433	5.234077573	1.883989759	2.814907394	0	1.107937284	0	0	0	0	3.853545338	0
12		SF03_01	PM2.5	2.458388832	1.769213915	6.044001009	1.18246588	102	78.68188024	0	13.20301741	0.010008311	7.745751739	0.303918286	0	0	0.055425626	0	0	0
16		SF03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	26	42.27992296	21.25211358	0.273755775	7.671105117	0	0	0	0	0	0	18.60516369	9.917940944
18		SF03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	48.84948134	49.45755005	0.594277401	0.014563168	0.026338809	0.094947626	0.10194137	0.114849093	0.130583427	0.159357849	0.200062268	0.256037852
17		SF03_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	34	38.64020407	43.92697811	14.92676437	1.74294319	0.018793139	0.067110464	0.071964465	0.08100344	0.09199921	0.112072623	0.140519242	0.179648388
19		SF03_01	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	70	45.14187276	5.432003736	0	1.791869104	0	1.146114711	6.415200233	12.11714596	27.95579433	0	0	0
21		SF03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	16	0	0	18.10358614	1.470070146	2.191731334	7.234867662	7.697909325	8.555498719	9.66880545	11.7050916	14.67678249	18.69565398
22		SF03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	23	40.76004326	0	20.45625597	0.079856673	0.036200351	0	0	0	0	32.67515004	0	5.992502719
23		SF03_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	77	25.15523732	2.81943772	4.707536846	0.096863718	12.13652417	0.131330255	0.28944239	0	0	0	42.80828238	11.85533777
25		SF03_01	PM2.5	3.575838301	2.133752265	7.126033249	1.130076784	122	45.67536116	15.53626359	0.266000745	0	16.50480479	0	1.700334251	9.987877309	0	0	10.32936126	0
26		SF03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	32.6631099	57.48050809	3.710337728	4.199353978	0.102914171	0.16607953	0.178143231	0.200507022	0.227814028	0.277673802	0.34825271	0.445310213
27		SF03_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	31	77.14870572	0	12.72494197	0.054615847	0.095812225	0.339773623	0	0	0.720252935	8.200181276	0.715713063	0
