Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Zn Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
5		SF03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	86.23476624	0	0.172235037		0.184999441	0.328125223		1.17235845	1.259559672	1.415916067	1.612729207	1.971881092	2.477117255	3.170308098
2		SF03_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	42	29.0663451	0	5.399811268		0.776063977	0.01476451		0	0	23.14939499	19.83340681	12.51238436	5.482923985	3.764907271
3		SF03_03	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	78	56.07141256	37.94297576	0.246363645		0	1.488990802		0.497768866	0.114851585	0	2.042623051	1.595010981	0	0
4		SF03_03	PM10	6.257717027	2.822688927	8.918802963	1.01155	180	62.88297176	0	0		0	9.463325143		0	10.54118648	6.611735374	0	0	0	10.50077751
1		SF03_03	PM2.5	4.805032717	2.473450559	8.950655018	1.326793772	143	66.97899699	0	6.594623625		3.329667076	1.044225693		0	8.963220567	10.04731432	0	1.987195574	0	1.054748334
6		SF03_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	49	49.3014425	12.04077974	0		0.005504419	5.257964879		5.256034806	15.24758488	9.090996534	2.937462367	0.862232223	0	0
7		SF03_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	77	45.92523277	0	16.59103334		3.542805836	3.25717926		0.266839517	19.47278976	7.774701715	0	0	3.169412166	0
8		SF03_03	PM2.5	0.670469681	0.923941834	4.065583912	1.961809578	23	22.24166542	32.3271066	3.189089894		12.89366484	0		5.388262868	12.99583614	3.541817889	2.123825811	0	0	5.298731104
9		SF03_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	70.60915828	0	0		29.39083874	0		0	0	0	0	0	0	0
11		SF03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	65.14534354	0	0.018621547		0.015979292	27.35531032		2.021504566	4.530400038	0.621295068	0	0	0	0.291538076
12		SF03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	30	89.69102502	0	2.599231713		0	3.349994123		0.080292718	0.086109014	0.166868244	0.110104971	0.198145467	0.472909957	3.245317563
10		SF03_03	PM10	49.61475643	7.948048181	29.10612075	1.358776183	1704	48.55811298	4.84351702	4.826846346	33.43551457	0	0.966943428	3.844456002	0	0	0	3.524601087	0	0	0
13		SF03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	9.188374877	5.695498362	0.060071191		0.010825035	18.40346456		0.631565182	0.488731684	1.655584015	2.738951333	4.528513551	0	56.59841299
16		SF03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	65.18355012	0	0.012581806		0	32.3528111		0.749348197	0.336178159	0.185158977	0.209388882	0.253347377	0.315855234	0.401793187
19		SF03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	46	57.78280497	0	0		0.140773261	11.08391359		0	0	8.949615061	11.2562947	6.58538267	3.136143833	1.065076515
22		SF03_03	PM2.5	1.564429257	1.411344463	4.405026622	0.987032111	90	19.88124996	26.32143795	0		4.118972272	7.435150445		23.73023182	10.94767153	0	0	0	7.565274835	0
