Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		SH01_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	65.68543911	0		0		0.018936208	32.60474503	0.346608646	0.145176798	0.162652577	0.183937803	0.222472823	0.277299201	0.352743897
2		SH01_01	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	57	40.89865685	11.12160534		0		0	9.911797941	3.355609998	9.164492786	10.38836464	12.66800612	0.486952439	0	2.004512958
5		SH01_01	PM10	12.40368911	3.97402409	29.18301841	5.463861499	480	60.02135873	10.84446982		0		4.237580299	0.51284167	3.95324938	10.16488075	0.263239956	2.170819789	0	6.616277248	1.215286646
9		SH01_01	PM10	12.29194416	3.956082581	14.03456706	1.275168563	369	64.24276233	8.291172981		15.41860104		2.752950601	0	0	0	0	0	9.294509143	0	0
7		SH01_01	PM2.5	0.893959575	1.066876133	3.322994383	0.982950097	68	70.77023387	0		16.26300961		8.757416904	0.629825238	0.866660196	2.219307236	0.345887314	0	0	0	0.147666188
8		SH01_01	PM10	18.21442635	4.815737525	35.41266681	5.478881464	620	53.82980704	8.306287229		3.074232861		1.487255748	1.387047209	6.815345585	7.775811851	2.568497136	0	0	11.16064638	3.595064953
11		SH01_01	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	29	11.00576222	20.80982774		0		16.25642329	0.024462354	2.837475203	11.21758074	0.812404603	0	0	23.61152768	13.42453957
15		SH01_01	PM2.5	1.340939363	1.306651072	4.513776341	1.20909679	62	76.59880519	0		3.265225142		0.176602229	19.01492923	0.329596852	0.135818915	0.064545247	0.073142833	0.088786962	0.110998855	0.141549727
14		SH01_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	66	41.43799543	0		8.645700663		0	0	3.361514956	25.14776587	5.222256854	16.18476212	0	0	0
12		SH01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	53	34.34155583	34.17460322		0.404743152		0.655421009	6.157199666	20.45056522	0	0	3.815915063	0	0	0
16		SH01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	16	9.438796341	15.32957256		0.380626717		0.015739404	0.024181863	0	0	0	72.06613421	2.744946629	0	0
18		SH01_01	PM2.5	4.581542823	2.415243569	8.656257917	1.301483785	209	55.40305972	0		1.338092797		0	24.60872978	0.52115093	10.5550766	7.0077084	0	0	0.566182099	0
20		SH01_01	PM2.5	1.78791915	1.508790696	5.038866433	1.130076784	78	33.59861076	13.84400427		14.67374414		1.529785153	3.50535512	0	0	0	3.945571184	10.64575016	18.25718135	0
17		SH01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	36	78.12821269	0		0		0	18.26046258	2.69488804	0.121621776	0	0.305866264	0.18838594	0	0.30056464
19		SH01_01	PM10	7.822146283	3.15586216	10.34027791	1.087748831	338	46.66438699	10.46022996		7.6212883	20.57585418	0	0.648633298	1.612345316	0.072302535	0	1.427275408	0	10.91768667	0
