Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
5		SH01_02	PM2.5	3.911073142	2.231531534	8.09931577	1.334722128	108	62.25705147	8.691695333	0.81800567			0		15.78976959	1.102485973	2.958757058	0	0	8.382233232	0	0
4		SH01_02	PM10	24.69563327	5.607446554	21.94823545	1.552276882	649	65.74207544	0	0			0.382362469		30.88257611	2.992986888	0	0	0	0	0	0
3		SH01_02	PM2.5	1.676174204	1.46088031	4.96196877	1.168904516	70	47.45681584	6.559634209	0			0.160764065		22.11266607	2.848866768	1.960387453	0.446834136	0.374662271	0	0	18.07937026
2		SH01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	23.72435629	6.703153998	0			0		9.821625054	50.4496634	0	0	9.301194549	0	0	0
8		SH01_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	65	2.337949909	12.4617435	2.270705998			0		21.41631842	0	0	34.45868492	8.481740206	12.25948632	0	6.313365698
6		SH01_02	PM2.5	3.464093354	2.100147767	7.388578295	1.254071529	116	65.00352621	0	5.142705142			0.029985979		29.73238826	0.091391208	0	0	0	0	0	0
9		SH01_02	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	81	2.545514144	0	0			0.070988969		17.27727652	6.695660949	22.1296221	16.0743624	13.19161206	2.510627545	4.490532726	15.01380354
7		SH01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	13.81988674	78.07868123			0.13244719		0	0.729207648	0.778783392	0.872678962	0.988269597	1.197969075	1.496154163	1.905922219
11		SH01_02	PM10	6.704696814	2.92176062	9.923937539	1.168904516	143	62.88995743	0	2.898063697			1.110167895		21.82629406	0	0.166108599	4.453049228	3.665400296	0	0	2.990959957
12		SH01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	40	0	0	0			1.779934019		37.25834191	4.554247111	10.32735333	4.868350923	0	0	29.18297648	12.02878803
13		SH01_02	PM10	40.33992583	7.166755807	28.39538328	1.590561664	1358	45.69702744	2.509419061	18.25582981	20.11401206		0.318899308	8.345873654	0.782223418	2.089865692	1.733264141	0	0	0.153584534	0	0
16		SH01_02	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	134	0	11.95210516	23.41094464			25.54366589		28.65646482	1.316747349	0	0	0	0	8.068746328	1.051324513
17		SH01_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	76	72.87322879	16.0132885	3.779039904			6.924169511		0.410268409	0	0	0	0	0	0	0
18		SH01_02	PM10	55.76072851	8.425957784	31.82712738	1.4456281	925	66.34537578	0	9.418424219			0		7.705486566	0	0	0	3.272546455	5.248488486	0	8.0096744
15		SH01_02	PM2.5	1.899664097	1.555225852	5.410161198	1.226122132	81	71.54900432	0	0			0.097509404		18.27381998	0.126651884	0.256745261	2.13954635	3.529755399	4.026965424	0	0
14		SH01_02	PM10	6.369461974	2.847779989	10.0008352	1.249568097	255	40.83104432	0.994358677	1.772908866		21.63599283	0		18.17053556	0	6.793470681	1.851336658	0	0	7.950349897	0
19		SH01_02	PM10	42.35133488	7.343255023	31.71837766	1.890361937	1329	56.21910691	0.187211158	1.187045686			0.122796372		27.19496489	4.367327318	5.707413703	0	5.014134571	0	0	0
25		SH01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	53.99468541	0	0.210938649			0.332236663		42.26434529	0.796803366	0.336247939	0.281467498	0.317770522	0.383370603	0.476811081	0.605321815
29		SH01_02	PM2.5	2.793623673	1.88598837	8.284963152	1.95525496	112	47.41665721	0	3.559954837			0.481214793		11.40250191	10.47801971	3.336732462	9.85301584	7.122451067	3.43061164	1.460936666	1.457906142
26		SH01_02	PM2.5	0.558724735	0.84343964	3.399892046	1.646351232	22	35.01680493	39.32050765	9.716490656			9.68496725		5.530907214	0.066332653	0.07099043	0.079771527	0.090450927	0.109880336	0.137466285	0.175423257
27		SH01_02	PM2.5	1.899664097	1.555225852	6.044001009	1.530249962	99	69.5445776	0	8.017648011			0		0	10.8606793	9.821164608	1.295786444	0.460147439	0	0	0
28		SH01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	42	44.69587803	40.98253548	0			1.454741042		11.47931293	0	0.130839541	0.309075159	0.166834728	0.202795165	0.253874948	0.324125029
32		SH01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	30	38.94342482	0	0			0.065883918		0.105495879	14.29748088	25.78561604	0	0	0	20.80210596	0
37		SH01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	64	31.78355396	15.49060941	24.14718717			2.607401833		0.755288033	0.056706939	0.623225328	1.38091445	0.398867298	2.715737	0	20.0405091
39		SH01_02	PM10	7.822146283	3.15586216	10.0008352	1.01750545	220	46.05900943	0	1.362877339			0.822870713		6.264953315	0.214482401	10.14615372	6.976227462	3.140377253	1.297749206	6.681969017	17.03332812
35		SH01_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	31	72.03038335	0	11.97965145			9.083081037		0	0	0.759647414	2.517039515	0.970173348	1.179439109	1.480587851	0
38		SH01_02	PM2.5	3.799328195	2.199421492	10.0008352	2.094864162	138	0	21.53117955	0			7.939668		23.75880778	5.515513197	27.52151489	4.044680297	0	0	3.116782568	6.571854651
