Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	Mo Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		SH01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	48	50.13495088	22.02612907	1.124828216	0.499712536	20.97410858		0.810566265	0.178275839	0	0	0.670667738	3.58075574	0
4		SH01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	26	64.10679817	20.06006837	0.210912828	0.50338516	14.24760371		0.139098661	0.078213942	0.087907974	0.099697406	0.121161574	0.151621131	0.193525734
2		SH01_03	PM10	12.06845427	3.919953216	14.06641912	1.304684772	417	53.33776474	6.445930153	0.363954576	0	32.05498159		1.665017009	0	0	3.395174071	1.632484607	1.104688365	0
3		SH01_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	80	23.56054336	0	0	5.265055224	7.167480141		0	0	8.486130089	55.52079678	0	0	0
8		SH01_03	PM10	8.157381124	3.22277834	11.9792523	1.399905778	326	51.62027478	17.6304549	20.60223818	1.17456438	0		0	0	0	2.515854686	1.882731915	0	4.573876411
5		SH01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	37.14798093	53.82729769	5.024244636	0	0.097889476		0.350693893	0.376430573	0.423672376	0.4818046	0.587990647	0.7379435	0.944053009
7		SH01_03	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	40	46.38308287	0	13.57163042	0.305354013	0.010705407		0	0	13.38919699	18.27883422	5.909124389	1.101852581	1.050219871
6		SH01_03	PM2.5	3.017113566	1.959976608	9.181348009	2.223368133	119	63.31966519	0	11.15631312	7.416976243	0		11.10448763	0	0	0	0	7.002566755	0
10		SH01_03	PM10	9.498320487	3.477590725	13.1381822	1.446151784	384	66.9049263	0	1.964679547	0	0.816587359		5.159242079	0	0	0	0	8.277013898	16.87754542
9		SH01_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	46	20.75013369	0	0	0.105685974	16.33252352		0	6.033318117	5.411716178	0	13.17431927	30.81701994	7.3752895
11		SH01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	16	0	0	0	64.58963156	0		3.314878047	3.517569229	3.912815079	4.408820346	5.303418636	6.594531238	8.358328044
13		SH01_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	17	15.58587402	18.83546561	0.210927636	0.557315396	3.758933395		5.873437598	0	0	47.21921682	0	7.958825678	0
14		SH01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	43.99516881	0	0	0.015561124	0.024609675		0	0.38661079	0	0	0.134946988	0.167309854	55.27579784
15		SH01_03	PM2.5	2.570133779	1.808976496	5.672706244	0.996357044	89	53.71684432	27.42502987	13.44182044	4.651028663	0		0	0	0.269173831	0.173966994	0.119687035	0.088852306	0.113588746
17		SH01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	75.82582235	0	12.63734996	0.399982696	0.030787993		5.236042663	0	0	0	0	5.870012939	0
16		SH01_03	PM2.5	4.022818089	2.263186044	9.366995392	1.735642815	137	57.52358437	20.97306848	3.949017823	0	17.41438508		0	0	0	0	0.139941124	0	0
19		SH01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	11	0	0	29.9839586	2.520319819	0.046332236		0	0	42.57605374	0	7.550485432	10.73229611	6.590544432
18		SH01_03	PM10	15.08556783	4.38264093	14.51461154	1.111320456	448	53.97788286	1.006583311	0.315152365	0.839157775	12.48822436	23.33760262	4.045922309	0	0	0	0	0	3.989473358
20		SH01_03	PM10	5.475502398	2.640383718	9.104450346	1.204685341	189	76.6225636	0	0	1.745047048	7.822345942		5.997005478	0	0	0	0	7.813031971	0
24		SH01_03	PM2.5	3.799328195	2.199421492	7.388578295	1.143418159	132	27.56017148	0	6.302818656	0	0		9.354219586	6.129499897	0.436831126	16.17118865	1.836711727	32.2085619	0
22		SH01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	46	11.04687974	11.05786711	0	0.110579655	4.648745432		2.087847516	13.97030801	20.48538476	9.9363029	2.68656034	1.190242823	22.77927995
23		SH01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	24	56.31843805	29.73102033	0.36376433	5.991238728	0.028775999		0.101935153	0.109235523	0.308032986	0.139493577	0.357842282	0.874408614	5.67580238
21		SH01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	0	13.75390887	0	6.205577776	55.1359117		0.219920324	1.199404616	2.734087594	11.53370813	0	0	9.21748206
27		SH01_03	PM10	24.91912316	5.632762469	18.65709312	1.111591809	573	74.01680946	0	0	2.083397098	0		0	0.064359547	0	0	23.83542806	0	0
26		SH01_03	PM10	5.922482186	2.746040517	11.45416221	1.762840546	171	47.99374044	0	0	0.370427407	4.794463888		0	1.466308255	9.58757326	31.50417805	4.283305258	0	0
25		SH01_03	PM2.5	1.78791915	1.508790696	5.410161198	1.302754765	67	85.65399647	0	1.235432923	1.312413625	0		0	0	0	0	0.372454571	11.42569706	0
31		SH01_03	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	81	48.91867936	5.564687774	9.213864058	0.003403921	1.467168704		0.517427316	7.139601558	10.25247276	15.33116698	1.59152858	0	0
29		SH01_03	PM2.5	2.346643885	1.728536893	6.229648392	1.316042815	97	61.39442325	0	9.083229303	0	1.613582298		7.120216638	9.357733279	0.270149601	0	1.030316483	0	10.13035253
30		SH01_03	PM10	26.81878726	5.84352124	23.74100516	1.672434838	723	62.73072362	0	21.69136703	1.979327574	0.74268803		0	7.197686285	5.658206344	0	0	0	0
