Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		SH02_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	57	40.02626538	0	17.51263738		1.525749359	0.014357467	11.1106649	4.365878925	0	0	25.44444501	0	0
4		SH02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	52.5485754	11.19289398	0.076522632		0	0.051658903	16.97221398	0	0	0	2.843428403	16.31470621	0
3		SH02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	26	71.07176781	0	0		0	26.8874675	0.270141312	0.190544431	0.213685958	0.24188708	0.293021649	0.365725462	0.465756748
5		SH02_01	PM10	5.810737239	2.72001111	8.470610535	0.982626171	222	54.76306677	0	1.748731732		0	23.24972749	0	0	0.301848189	10.17248705	0	0	9.764135629
6		SH02_01	PM10	5.922482186	2.746040517	8.656257917	1.006808211	208	27.57632732	0	2.514865249		0.066322554	0.297836238	2.253423817	3.550077602	0	0	0	11.05625927	52.6848793
7		SH02_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	46	7.390319556	9.235326946	0		0.248118048	0.036359928	1.814141124	3.112672642	4.669992253	7.35212639	0	33.33576918	32.80517161
8		SH02_01	PM2.5	3.017113566	1.959976608	6.754738484	1.20341538	89	43.21881235	12.25025654	0		1.692491025	1.329188701	0	0	7.890436053	8.148294687	0	0	25.47051609
9		SH02_01	PM2.5	2.90536862	1.923338301	7.388578295	1.495239131	122	38.90968859	8.519869298	1.078835037		0.139052968	12.88934499	3.723476455	6.002023816	9.347078204	0	1.199341752	14.33382779	3.857462108
11		SH02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	23	79.25191522	0	8.209080994		0.050710666	0.089142908	5.36381714	0	0	0	0	7.035333663	0
14		SH02_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	83	29.99472916	12.37682626	5.39249517		1.684674248	14.98300582	1.925092377	0.39738263	14.77203816	12.54632622	2.290890366	0	3.63653861
12		SH02_01	PM2.5	3.799328195	2.199421492	7.574225677	1.201599689	132	0	35.60582101	15.88379741		7.488632947	5.006217211	0	0	28.10340822	1.845001616	6.067123637	0	0
10		SH02_01	PM2.5	2.346643885	1.728536893	5.672706244	1.091248192	102	44.94038522	0	9.427755326		0	0	7.918773592	16.13999307	13.36117238	1.833608933	0.989549421	0	5.388759077
16		SH02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	62.75390983	2.035480551	1.176855713		0.013365597	17.80309528	0	0	0	16.21728987	0	0	0
15		SH02_01	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	71	78.4096539	0	0		3.59034352	0.174987258	2.882487327	1.600188203	0	0	11.58869117	1.753644831	0
18		SH02_01	PM10	7.710401336	3.1332392	10.37212997	1.110322273	290	45.7651794	9.213393182	3.236054629		1.577339321	19.76210922	0	0	0	0	7.013338804	5.298316851	8.134272695
17		SH02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	27	10.44356823	19.66000646	1.11491885		0.008484423	7.823584974	40.73443413	16.18600637	0	4.029004648	0	0	0
19		SH02_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	53	35.28391421	0	0		0	4.894806817	0	0	0	59.82127786	0	0	0
20		SH02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	9	32.39685893	1.15109589	0		0.131877861	0.206219102	7.454951853	8.788792044	0	0	0	49.87020493	0
23		SH02_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	55	66.49931669	0	3.865829483		0	14.61115628	0	0	0	0	0	15.02369791	0
24		SH02_01	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	26	74.45092797	22.0926255	1.162249688		0.035377595	0.373654836	0.977244228	0.907918159	0	0	0	0	0
25		SH02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	79.32243347	0	11.35727987		0.128106982	0.225900859	0.805737451	0.864935108	0.972559955	1.106555201	1.351114456	1.695934311	2.169445343
26		SH02_01	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	59	26.93457603	3.673374653	7.913088799		0.198634714	6.986076385	1.272979658	1.575061679	0	0	33.24328661	18.20292026	0
27		SH02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	0	0	0		0	34.21718776	0	0	0	0	52.92168856	0	12.86112368
28		SH02_01	PM2.5	1.676174204	1.46088031	5.224513816	1.295873913	58	18.56989264	0	0		1.197978575	7.212171704	29.8297286	15.44530243	0	0	27.74493098	0	0
29		SH02_01	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	63	24.95063543	12.92898953	0.100855145		0.05618367	0.693467539	4.003507271	5.489417166	9.637167305	0	0	20.72508931	21.41468674
30		SH02_01	PM10	15.86778246	4.494829042	15.85918883	1.261350659	562	58.60481858	0	11.66273803	13.4193942	0.58545256	9.224364907	0	0	0	0	0	6.503218412	0
33		SH02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	54	43.36057007	4.477089643	4.988976568		0.004175646	0	1.556944568	8.945509791	12.1611312	18.12293977	1.933201402	0	4.449448362
31		SH02_01	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	96	29.20942605	0	5.813369155		1.528047584	15.69547206	0.780018419	0	0	3.959036991	14.59406018	2.893411182	25.5271703
32		SH02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	61.50120497	8.356264979	0.031184577		0.022803567	5.08370623	0.26643991	11.49964482	13.2387504	0	0	0	0
34		SH02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	80.29502034	0	0.423976826		0.021686411	0.037949561	3.194215894	8.115866035	3.11219506	1.043793373	0	3.755293041	0
