Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		SH02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	16	75.16303658	0	0		6.199175492	14.12365884		0	0	1.225126814	0.545742363	0.66253948	1.023444347	1.057277992
3		SH02_02	PM2.5	2.458388832	1.769213915	6.120898673	1.212746254	89	76.42884254	0	0		0	7.838971168		0.307382504	0	7.342252135	6.923530251	0	1.15901893	0
4		SH02_02	PM2.5	3.464093354	2.100147767	7.126033249	1.166530874	123	0	12.33432293	25.27633905		20.1284349	0		0	0	0	0	42.2609061	0	0
1		SH02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	0	83.73731375	1.998658665		0.207181508	0		1.2652684	1.357629336	1.524831075	1.734772325	2.117667906	2.657850832	3.39882113
5		SH02_02	PM2.5	1.45268431	1.360005555	7.990566051	3.497630937	63	24.38979	13.95311952	0		2.476909384	0		0.588080287	37.7364397	15.04309475	0	0	5.812572688	0
6		SH02_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	15	42.65640974	22.52856344	0		0.014334354	33.50543678		0.671901833	0.353294774	0	0.270055002	0	0	0
7		SH02_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	52	100	0	0		0	0		0	0	0	0	0	0	0
8		SH02_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	31	51.52497888	0	0		0	17.16567576		16.74246192	12.8629297	0.900760572	0.803192239	0	0	0
9		SH02_02	PM10	44.02750908	7.48716005	28.73482599	1.492392863	987	66.16611481	0	1.059239544		1.70837082	20.52847743		2.439952083	8.097847551	0	0	0	0	0
11		SH02_02	PM2.5	2.234898938	1.68687928	6.754738484	1.624610762	87	75.76671839	5.908638611	12.78771907		0	0.602339767		0	0	0	0	4.934583232	0	0
10		SH02_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	49	32.18397796	10.88279262	7.839540392		10.92890501	0		18.79715919	0	0	0	9.992307425	8.07428807	1.30103156
13		SH02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	11	9.345530719	22.5989297	0.106365816		0.157156365	12.3493813		0	0	1.31141413	0	11.31431535	42.81690419	0
14		SH02_02	PM2.5	2.793623673	1.88598837	6.831636147	1.329449024	82	38.67917955	5.152944848	0.337948068		0	24.32300001		0	0	0	0	0	0	31.50693178
12		SH02_02	PM2.5	1.564429257	1.411344463	5.672706244	1.636872287	55	16.3436085	2.730798721	6.479161233		0	0		0	0	0	0	22.21876383	18.80714148	33.42053294
20		SH02_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	61	72.39713669	0	0		0	0		0	0	3.990381211	3.175588697	5.523730442	14.9131611	0
19		SH02_02	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	38	0	14.11959529	0		0.093835185	1.962888241		70.81512809	0	0	13.00855279	0	0	0
17		SH02_02	PM10	8.492615965	3.288333086	13.77202201	1.777231764	261	54.3637991	0	8.163503557		0	0		4.530513287	0	0	0	0	32.94218481	0
21		SH02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	10	3.781895712	11.41164377	3.686871752		0.018065689	0.02689168		0	0	0	0	64.69139457	16.38323218	0
24		SH02_02	PM10	32.85301439	6.467592835	29.18301841	2.062886484	1029	16.27186686	0	3.502639011		1.942906901	1.181795076	73.09184074	4.008946195	0	0	0	0	0	0
27		SH02_02	PM10	10.9510048	3.734066465	13.58637463	1.341353782	303	43.45460832	0	2.429299615	30.46076894	0.101628236	0		0	0	10.3393741	0	10.93945131	2.274862863	0
28		SH02_02	PM2.5	4.358052929	2.35559872	7.836770723	1.121429348	121	52.21817493	0	15.93568474		0	17.22240597		0	0	0	0	0	9.916923195	4.706811532
29		SH02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	34	65.83015919	1.227437519	27.42413282		0.035151033	3.044186905		0.220569968	0.236332091	0.265738973	0.301660411	0.367137813	0.459933095	0.58755097
30		SH02_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	56	40.20313025	22.60010839	11.68581024		0.005478842	0		0	0	1.121182926	0	12.68592179	8.713885397	2.98448205
31		SH02_02	PM10	5.922482186	2.746040517	10.0008352	1.343875123	192	53.0482769	0	13.84706497		0.232233061	3.46053876		0	0	0	0	0	1.67371612	27.7381748
32		SH02_02	PM2.5	2.346643885	1.728536893	5.672706244	1.091248192	74	39.59952295	2.887181751	0		0	7.105051726		2.757495269	3.148436174	1.612920873	2.035479248	0	34.41067338	6.443234533
33		SH02_02	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	18	55.88606	0	10.57124212		0.021052401	12.96972632		0	0	0	7.716871798	7.477410883	5.357633159	0
34		SH02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	34.86715555	0	0.085053185		0.118095614	0.185679668		8.846837282	6.980607659	0.748525327	20.12904882	0	0	28.03899646
36		SH02_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	18	0	0	35.18620729		42.58758426	0.605479442		2.009959146	2.137217484	2.383525483	2.689922787	3.242853656	4.035483673	5.121769011
35		SH02_02	PM10	8.492615965	3.288333086	11.26851482	1.189822044	236	69.31118965	4.724000767	0.423152372		0.996018481	13.95865232		3.142221645	5.948998034	0	0	0	0	1.495761611
37		SH02_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	39	79.40145731	0	0		0	0		0	0	8.310604095	0	2.926476672	5.720644072	3.640824556
38		SH02_02	PM2.5	2.793623673	1.88598837	6.120898673	1.067216704	90	28.40463519	9.896060079	9.385503083		0	0		8.49705115	0	0	0	32.82133043	10.99541783	0
39		SH02_02	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	48	0.34192251	11.9063504	0		0.858528819	0.009095354		16.78878814	34.09543335	7.571234554	0	0	18.66291612	9.765725583
40		SH02_02	PM10	29.72415588	6.151907891	23.88160694	1.526889814	720	67.74228811	0.477920473	1.092016418		2.743800171	0.796359405		18.94256026	0	0	3.781956062	4.423091188	0	0
41		SH02_02	PM2.5	2.346643885	1.728536893	6.940385866	1.633466308	73	29.60189879	0	8.068135381		0.141839636	7.118056715		6.971623003	3.263212368	0	3.697875887	0	41.13736153	0
43		SH02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	49	59.64742303	0	18.56641173		0	2.796228789		8.517238498	0	0	0	3.104747273	7.367949188	0
44		SH02_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	29	0	2.562175505	4.894606397		26.75756812	0		0	0	42.18240082	0	7.513197511	10.22918969	5.860864371
45		SH02_02	PM10	38.21677184	6.975607872	25.1174345	1.313671244	937	45.03953755	4.776440188	0		0	27.87706852		2.48938445	1.986612938	6.689614058	1.051660348	1.961014979	5.53348437	2.595175803
46		SH02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	79.00956869	0	0		0.292983348	0.510978932		1.812718064	1.946593449	2.185685001	2.488988638	3.042126447	3.821365908	4.888996109
47		SH02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	97.3297596	0	0		0.034920388	0.063718372		0.230291067	0.247430359	0.278754695	0.317232031	0.387610402	0.486898376	0.623389846
48		SH02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	26	41.63314104	0	0		0.010314788	0		44.99464929	7.548508793	0	5.813387781	0	0	0
