Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		SH02_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	70	39.96458948	0	0		0	17.11330414		7.991615683	13.83658946	19.90158707	0	0	0	1.192315575
4		SH02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	30	43.08250844	0	9.517127275		0	7.415569574		0	0	14.38617855	18.40011775	0	7.198502123	0
1		SH02_03	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	57	19.97086853	6.680960953	9.671003371		0.525009166	12.4791123		0	3.468549997	2.559044957	0	21.60249203	0	23.04295748
5		SH02_03	PM10	6.369461974	2.847779989	12.24179735	1.872310006	258	72.64819741	0	3.63195017		0	16.59303159		0	0	0	0	0	7.126821578	0
2		SH02_03	PM2.5	0.446979788	0.754395348	2.689154571	1.287460114	23	90.59870243	0	2.267913707		1.078487094	4.348582774		0.153591647	0.164781464	0.185507745	0.210798322	0.256988453	0.322368601	0.412278017
7		SH02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	24	26.10561252	51.18536353	0.015910096		3.135988861	1.296274923		9.558869153	8.701974154	0	0	0	0	0
8		SH02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	34	70.491153	0	1.296498161		0	27.45969296		0.278297346	0.078805251	0	0.07005306	0.084844721	0.105867116	0.134798745
10		SH02_03	PM2.5	1.564429257	1.411344463	6.383443719	2.072737354	79	5.401747674	0	4.693356529		0.72041708	3.285414353		0	4.048628733	20.58493793	0	1.585733704	16.31130725	43.36846173
12		SH02_03	PM10	75.53958411	9.807139526	49.78667658	2.611210118	1813	39.77686763	13.30557913	1.402500924		1.415673271	4.454544187		6.763487309	0	0	0	0	32.88135231	0
11		SH02_03	PM10	35.42314817	6.715813655	24.11229993	1.306111503	983	53.48315835	5.420326442	1.986767724		0.681314431	32.27635324		0	0	0	4.146353528	0	0	2.005735785
14		SH02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	37	33.24079514	0	0		0.999265257	11.07478961		0.669711642	1.66622065	0	0	0	6.892070919	45.45715153
13		SH02_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	63	57.24084973	17.35505313	1.64368134		4.666807503	15.72692692		0	0	0	0	0	3.366680071	0
15		SH02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	46	3.906432167	56.87602162	0		22.79874533	4.007741809		0	11.71269193	0.698367693	0	0	0	0
16		SH02_03	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	96	69.24671531	7.341966033	1.554517075		1.325144991	7.751259208		0	2.848719433	8.62217024	0.36126615	0	0	0.948242098
17		SH02_03	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	87	24.65059012	13.22095245	0		0.848038867	17.96448529		13.10887337	9.763083607	12.98357546	4.990517348	0	2.469880506	0
18		SH02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	7.18184039	0	0		0	0.039650229		29.87747192	62.90103197	0	0	0	0	0
19		SH02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	30	19.15249377	0	0		0.006035551	10.57662442		2.396019176	10.41065007	41.24337137	12.98531294	0	0	3.229485452
21		SH02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	61	60.86044908	0	0		0	0.617644843		0	0	0	0	0.067483308	3.404460847	35.04996598
22		SH02_03	PM10	6.48120692	2.872651902	9.81518782	1.182854913	242	49.51052368	0	0.61129285		0.25024761	30.8329761		7.848230004	5.245528743	0	0	2.599254064	0	3.101945668
24		SH02_03	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	48	56.56933188	2.097112313	2.862756327		0	0.161333242		4.994502664	4.814714938	0	0	0	2.765771933	25.73447824
23		SH02_03	PM10	32.85301439	6.467592835	21.9800875	1.170236787	1127	43.97630095	0.855771452	10.28085127	19.17025	0	1.905872114	14.99214917	0	1.028274465	3.699604794	2.053096332	0	2.037821151	0
25		SH02_03	PM2.5	4.69328777	2.444520318	7.75987306	1.02099164	224	41.49341881	0	0	23.00395072	0	1.263130084		0	0.979345664	10.61474085	15.75509459	4.166030139	0	2.724280208
