Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
3		SH03_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	35	36.15697324	18.65470111	0			0	0.03632369		0	0	8.530145139	0	0	36.62185669	0	
2		SH03_01	PM2.5	3.017113566	1.959976608	6.044001009	0.963490717	85	37.71229684	1.556636766	0			0.322691607	3.780115768		19.58399117	30.52212298	0	0	0	6.522149593	0	
5		SH03_01	PM10	62.35368037	8.910172367	39.18385362	1.959486764	1809	47.2756207	0	0.54087569		20.30924261	0	24.73469824		2.389726974	0.474847201	0	2.730905078	0	1.502042357	0.042043417	
7		SH03_01	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	45	32.68345296	2.906113118	3.718933836			0	0.780852651		7.914564013	12.87956387	20.57150006	0	5.930428952	2.776119485	9.838473052	
8		SH03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	0	24.49876964	2.129884996			0.055176049	0		15.74278921	43.89079511	12.39651591	0	0	0	1.286054868	
11		SH03_01	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	99	48.07323217	0	11.0637702			0	0		0	2.349387109	0	0	0	14.69907165	23.81453663	
12		SH03_01	PM2.5	3.128858513	1.995942481	7.728021005	1.518940629	74	32.49265254	17.494528	1.449659839			0.936803501	19.74526495		0	0	4.737579077	0	1.940192282	21.20331973	0	
13		SH03_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	21	38.89924884	0	0			0	9.538326412		0	0	3.619273379	0	2.278098464	3.175109252	42.48994291	
10		SH03_01	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	77	50.96910596	11.27428189	0			1.970622689	27.57574022		0	0	0	0	8.210254461	0	0	
15		SH03_01	PM2.5	4.134563035	2.294403878	8.918802963	1.530994595	150	51.11448169	22.2610414	4.701686651			0.289145485	8.893966675		0	0.19482458	9.254874289	0	0	3.289979696	0	
14		SH03_01	PM10	18.1026814	4.800942597	17.04997079	1.277893045	641	47.11911678	2.897762135	5.214349926	23.42814207		0.86224284	5.140721798		1.59910731	0	2.783084847	0.645108102	0	5.141077191	5.169282481	
22		SH03_01	PM2.5	2.570133779	1.808976496	6.492193438	1.305020426	79	41.87740088	10.05456224	6.39404431			0.003810453	7.83624053		0	16.65293872	6.624706089	0	0	4.484219104	6.072076038	
17		SH03_01	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	143	35.12056768	4.237570614	3.885036707			0	9.952700138		5.075288564	7.804570347	20.20796686	7.750153542	4.490365088	1.475782972	0	
21		SH03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	3.64584662	0			0	0.06691512		0.515801413	7.072758675	0	0	0	0	88.69868517	
23		SH03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	27.3407042	48.13002348	3.383313119			16.86633974	0.034412401		0	0	0	0	4.245213419	0	0	
20		SH03_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	63.74018788	0	0.130326988			0.010218288	14.02056664		15.0752008	0	0	5.420078337	1.603429019	0	0	
18		SH03_01	PM2.5	2.570133779	1.808976496	9.443893055	2.761445823	128	71.89174294	3.287167475	0.044172944			0.511785736	2.197817154		5.097900704	0	0	0	3.591435403	8.553286642	4.824697226	
16		SH03_01	PM2.5	2.90536862	1.923338301	6.940385866	1.319338172	113	44.98868287	0	0.682037976			0	0.709047541		1.420554612	1.112518553	0	1.87394172	0	0.957360305	0	48.25586677
24		SH03_01	PM2.5	2.234898938	1.68687928	6.492193438	1.50077349	75	53.75171304	0	7.660150528			9.68805328	4.050864652		0	14.76291269	0	0	0	0	10.08630842	
27		SH03_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	27	34.63476002	11.73265353	0			0	14.60859925		0	0	5.615634099	32.49989748	0.908456463	0	0	
25		SH03_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	26	0	27.47541964	4.19433862			0	0.032606156		0	0	38.65764737	29.63998318	0	0	0	
28		SH03_01	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	89	69.70869303	0	0			2.269813605	11.48131713		0	0	12.11352721	0	0	4.426658526	0	
29		SH03_01	PM2.5	1.564429257	1.411344463	5.333263534	1.446839294	75	61.02805734	0	0			10.51729023	7.367494702		0.486668805	0	0	15.45865536	1.136926468	0	4.004899785	
30		SH03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	67.27285981	0	2.065241337			4.003309831	23.66382927		0.214353227	0.214940892	0.240983604	0.272771437	0.330495951	0.412422931	1.308789756	
33		SH03_01	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	93	41.77794456	10.86212769	1.965017617			0.77444273	15.79362899		0	0	6.645422429	0	1.818323322	17.16536433	3.197731078	
35		SH03_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	71	57.97068477	0	3.625228629			0.467774784	0		0	0	0	9.322766215	3.632408381	24.98113811	0	
31		SH03_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	33	0	50.1997292	23.1177032			0.778018543	23.77130538		0.226926897	0.206170557	0.230875821	0.261002523	0.315459818	0.393023854	0.49977242	
34		SH03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	0	9.090664238	0.291899056			0.01643124	0.023628428		0	0	0	0	2.120123245	16.35284126	72.10440636	
37		SH03_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	78	36.15529239	18.50541979	0.262857811			0	2.406116948		7.830393314	13.25563192	13.84201199	0	0	7.742283493	0	
36		SH03_01	PM2.5	3.464093354	2.100147767	6.754738484	1.048135976	141	50.03886819	32.26644695	4.392093793			6.860307604	2.257244661		0	0	0	0	0	4.18503955	0	
38		SH03_01	PM10	12.18019921	3.938059332	14.40586182	1.355858082	506	33.74773264	6.813553721	11.77291423	33.72631967		0	0.170361949		0	5.54403998	5.685350671	0	0	2.539735287	0	
41		SH03_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	46	25.32850802	0	5.533594638			1.232419442	2.997204475		1.202379446	45.5324769	17.73516685	0	0	0.438251207	0	
39		SH03_01	PM2.5	2.234898938	1.68687928	7.202930912	1.847356637	75	73.74215722	0	0			7.310245186	1.038217172		0	0	0	0	17.62991101	0	0.279466365	
40		SH03_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	58	73.839432	0	9.600464255			8.005014807	0.014310866		0.790524203	1.500364207	0	0	0	6.249887496	0	
42		SH03_01	PM2.5	3.464093354	2.100147767	8.733155581	1.752035667	152	66.15562439	19.1451937	5.582843348			0	3.0370377		0	0	0	0	4.775727913	0	1.303575002	
43		SH03_01	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	52	0	0	0			0.046723301	0		0	0	10.693831	86.88473105	0	2.374703065	0	
44		SH03_01	PM2.5	3.911073142	2.231531534	7.202930912	1.055632364	152	67.36100316	20.81706971	0			0.609449483	0		4.633850232	0	0	0	0	6.578616798	0	
45		SH03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	7.302521914	0	0.050435966			4.177993909	3.405059129		0	8.862962574	52.69081593	23.51020724	0	0	0	
49		SH03_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	21	73.45509529	0	2.947456576			0.02450553	21.53474987		0.344666326	0.181722711	0.203955593	0.231046416	0.280271447	0.350181572	0.44634873	
46		SH03_01	PM2.5	2.234898938	1.68687928	5.595808581	1.114956559	103	39.32349682	18.99510622	3.20532769			0	3.054457717		0.817361753	0	7.324518263	27.27973163	0	0	0	
47		SH03_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	40	58.42779279	0	1.351861469			1.981498487	0		0	0	0	0	0	15.41371197	22.82514125	
