Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		SH03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	0	0	18.1520775		0.092258095		0			6.327061355	0	0	0	0	75.42860508	0
5		SH03_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	27	42.60247946	12.8127262	8.960841596		0.027646479		0			0	0	0	7.82102868	13.76004219	13.29230666	0.72293221
1		SH03_02	PM2.5	2.458388832	1.769213915	7.836770723	1.98798839	86	81.61658049	0	0.876038428		0		7.125312835			0	0	0	0	2.095476352	8.286594599	0
3		SH03_02	PM2.5	4.69328777	2.444520318	7.836770723	1.041327252	162	64.6522522	3.137312457	6.835441291	21.9990626	0		2.276705392			0.768746901	0.330491527	0	0	0	0	0
4		SH03_02	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	51	88.94950747	0	0.680855755		0.066023436		9.62972939			0.206506415	0.121963827	0	0.155782979	0.189633237	0	0
9		SH03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	0	0	0		85.33001542		0			1.378950104	1.462087221	1.627598703	1.83192715	2.198205888	2.724345587	3.446872905
12		SH03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	40	31.8412751	14.39819187	1.205522753		0		11.23038307			0	0	6.997734308	30.81535697	3.511541337	0	0
11		SH03_02	PM2.5	2.011409044	1.600314199	5.410161198	1.158004236	74	65.38669467	0	0		0		3.559411317			1.775014028	0	0	0	16.3000524	12.97882497	0
13		SH03_02	PM10	7.710401336	3.1332392	10.63467501	1.167243858	322	47.88638353	4.05915305	9.224509448	15.40942937	1.540177222		6.007293612			0	4.637766257	2.922285534	0	1.337833982	6.975160539	0
15		SH03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	25	43.04921627	0	0		0.006056604		10.31841785			25.55331588	13.44434619	0	2.000071853	5.628579482	0	0
18		SH03_02	PM2.5	2.123153991	1.644166543	6.120898673	1.404232505	64	57.532233	0	0		0.068695541		0			0	0	0	24.80263859	17.59643555	0	0
17		SH03_02	PM10	47.60334738	7.785272272	32.87730756	1.806945826	1453	59.36737657	0	4.312707484	26.84701085	0		3.560701758			0	0	0	1.014417224	2.87548136	2.022300474	0
20		SH03_02	PM2.5	3.128858513	1.995942481	6.229648392	0.987032111	110	47.83818722	0	0		0.16147733		10.92864498			0	0	7.65792802	5.213205889	8.256414533	19.94414777	0
19		SH03_02	PM10	17.09697688	4.665677556	21.19245236	2.090418513	531	48.48848283	2.701759525	0.257921848		0.829267967		35.88977754			0	0	1.093329769	0	0	4.899951443	5.839518085
16		SH03_02	PM10	17.32046677	4.696073171	17.65195854	1.431582372	733	45.20109594	7.226410508	0	14.51711506	0		0		29.85545397	0	0	0	1.57561712	0	0.523477979	1.100849174
24		SH03_02	PM2.5	3.911073142	2.231531534	9.366995392	1.78523261	213	49.92922544	19.84621286	16.84695333		0.3160452		0			0	1.4330904	5.103179067	0	0	6.525283307	0
25		SH03_02	PM2.5	3.017113566	1.959976608	6.044001009	0.963490717	115	36.97392941	0	10.81857309		0		15.93245119			1.397215761	7.751055807	8.460025489	8.560523391	2.973018587	0.142643764	6.990562379
29		SH03_02	PM10	5.810737239	2.72001111	9.366995392	1.201598872	208	37.4487251	1.919218153	15.41001648		3.063307144		0			0	0	0	2.50688158	3.58537659	25.80315173	10.26332676
30		SH03_02	PM2.5	3.128858513	1.995942481	6.940385866	1.225099731	91	38.3692652	12.64318228	9.466462582		0		2.735140547			6.585188955	14.2400071	9.588126838	0	6.372637302	0	0
31		SH03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	43	70.6212759	6.805039197	0		0.006435867		21.9324261			0.223216764	0.063862791	0	0.061434082	0.074521179	0.093106291	0.11868088
28		SH03_02	PM10	34.19395375	6.598264477	23.13901741	1.246036148	1065	51.18203163	5.69197908	9.259007871	20.69848627	0.705913967	5.906285718	3.834743053			0	0	0	0	0	2.721565776	0
32		SH03_02	PM2.5	2.123153991	1.644166543	5.93525129	1.320343293	121	48.11157286	3.665117174	0.985307898	25.44171214	0.248208316		1.250640489			0	0	3.900488093	0	2.403255366	0	13.99369985
35		SH03_02	PM10	9.274830593	3.436434356	12.68998977	1.381677529	405	55.47121167	2.308123931	1.108124852	31.72036409	0.895647611		1.475046389			0	0	0	2.124226093	0	0.407186849	4.490068555
33		SH03_02	PM10	9.274830593	3.436434356	13.32382959	1.523148646	314	48.18575978	6.260817498	9.112520516		3.916409612		3.9378196			3.371826187	5.058483779	2.82679908	3.494704142	5.548445135	8.286415786	0
