Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		SH03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	37	37.20072508	39.17909563	3.124339692			18.32687855	0.035977832		0.126622454	0.135543826	0.152303791	0.172752945	0.210091774	0.262916787	1.072745025
2		SH03_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	40	47.30854034	8.338391781	0			0	0.182333263		3.586007655	12.37257347	11.9568184	13.12507987	2.211518958	0	0.91873901
4		SH03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	34.15279984	31.68887496	0			0.053855986	0.090844068		20.11869103	7.339239866	1.352984365	3.769956529	0.5472288	0	0.885529537
5		SH03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	13	2.270962484	74.09706712	0			0.053954055	0.532667851		3.607364744	2.99726706	0	5.091034621	0	0	11.34968102
3		SH03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	28.1327039	3.510102257	0.026067175			0.040058829	1.563009992		0	40.52283168	22.70680517	0	0	0.269609503	3.22881341
6		SH03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	11	0	51.22972131	5.060597882			0.032295601	41.68436825		0	0	0.272439048	0.307384622	0.370166637	0.459777052	0.583251705
10		SH03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	30	53.82534266	0	0			3.534376249	7.773646712		0	0	0	0	0	4.86786589	29.99877036
11		SH03_03	PM10	7.710401336	3.1332392	10.44902763	1.126846881	236	60.06153822	0	18.87849271			0	4.073783383		0	0	3.663073853	0.241077016	2.55878102	1.055229641	9.468029439
9		SH03_03	PM10	13.52113858	4.149174415	19.73912536	2.293151155	341	25.85008144	2.960402519	0	29.38191593		3.927595541	5.633198842		0	0.364421401	6.699290872	8.583412319	14.24552798	0.900571886	1.453592256
13		SH03_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	22	73.06011915	0	0			13.54372054	0.05003952		0	0	0.58086901	0	1.546871383	7.37067461	3.847708181
15		SH03_03	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	44	49.17629659	0	6.759051234			0.006489574	0		27.82213092	15.00586718	0	1.230165549	0	0	0
14		SH03_03	PM2.5	3.687583248	2.166835669	7.126033249	1.095832033	146	60.40527225	0	5.297076702			0.220285123	2.467223257		0.082866492	15.9651652	9.297588468	0	0.12369724	0	6.140843034
16		SH03_03	PM10	8.269126071	3.244777082	13.06128454	1.641732154	236	31.39937818	21.34677172	0			0	3.16962935		0	0	0	0	6.561604887	31.24126792	6.281357259
18		SH03_03	PM2.5	1.45268431	1.360005555	5.410161198	1.60339048	63	5.955138803	18.82325411	9.828038514			1.174261421	1.62457414		0	0	0	0	0	62.59473562	0
17		SH03_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	83	0	0	11.73703894			0	16.84911698		0	0	30.93520999	40.34208953	0	0	0.136538618
19		SH03_03	PM10	5.475502398	2.640383718	9.552642774	1.326212867	191	53.27727199	0	7.739108801	25.83366036		4.409472272	0.220826268		0	0	0	0	0	8.519649506	0
20		SH03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	84.80278254	0	2.035607584			0.016874429	0.23025386		6.897233427	6.01724647	0	0	0	0	0
23		SH03_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	22	46.70799077	0	33.94376636			0	0		10.15822962	9.190007299	0	0	0	0	0
21		SH03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	33	43.16656888	0	0			0	2.569471858		0.77834269	0	6.361494213	20.52412778	11.23313755	0	15.36685973
24		SH03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	7	34.69023705	0	5.728954822			51.92928314	0.203229138		0.687680906	0.732703367	0.819525495	0.926096458	1.118596457	1.393125765	1.770561747
22		SH03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	5	0	12.82981485	0.725305779			0.099651585	0.147858309		0	0	34.92141068	0	16.25686288	27.02703178	7.992053032
