Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		TT01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	48.98318052	0		0.00332803		0.005208547		17.50923991	0	0.521029299	0.626762211	0	3.288725764	0	29.06252742
2		TT01_01	PM10	5.587247345	2.667190332	10.8203224	1.6675261	154	65.51517248	0		5.741548166		0.002618627		7.239394635	0	0.061566668	6.960790604	5.158740655	0	0	9.320167452
5		TT01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	52.48017311	14.93540406		22.96249717		0.019740556		0	7.131381333	1.549624745	0	0.9211828	0	0	0
6		TT01_01	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	130	44.37654018	19.50414628		10.21583527		0.327600492		0.576353306	0	0	0	0	0	8.325393498	16.67413861
11		TT01_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	47	50.4388988	15.09972364		1.053739432		0.91282092		15.80397487	0	0	6.776303798	0	3.618133068	4.869772866	1.426638663
8		TT01_01	PM10	8.269126071	3.244777082	10.8203224	1.126706824	362	43.54706109	0		0.397676323	45.15134096	0		0	7.161866874	3.742045909	0	0	0	0	0
9		TT01_01	PM10	9.721810381	3.518265684	12.95253482	1.37325923	432	49.54642653	0		1.448079851	38.11620772	0		0	4.748596251	4.768357798	0	1.372340135	0	0	0
13		TT01_01	PM2.5	4.022818089	2.263186044	7.01728353	0.974087097	145	36.97694838	13.17981035		0.624134019		0.16281401		21.00113034	0.387523044	10.97132117	0.612485269	0	2.634157613	2.975293621	10.47437862
12		TT01_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	89	54.25749421	0		9.880112112		0		0	0	0.027741207	1.253712177	1.996751316	3.655826673	0	28.92836928
15		TT01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	2.93977093	0.62682936		0.021752503		0.034705002		69.61582303	0	0	0	0	0	26.76112354	0
16		TT01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	17	92.32313037	0		0		0		6.154062226	0.137125561	0.147100375	0.165597163	0.188150606	0.229336112	0.28764829	0.367841567
17		TT01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	23	33.62514675	4.556143656		0.663581584		0.857511442		8.922424912	19.89081353	31.48437738	0	0	0	0	0
18		TT01_01	PM10	18.99664097	4.918055968	16.75557369	1.176066624	619	64.04678822	0		0.326955691		0		32.44323134	3.076299839	0.10671902	0	0	0	0	0
